,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10
0,X,False,50.356,50.329,50.44,50.601,50.497,50.519,50.635,50.621,50.859,50.918
1,X,False,50.115,50.201,50.097,49.974,49.751,49.746,49.843,49.637,49.636,49.84
2,X,False,38.993,39.151,39.317,39.399,39.261,39.188,39.279,39.22,39.266,39.307
3,X,False,43.866,43.994,43.996,43.732,44.165,44.152,44.101,43.962,44.199,44.445
4,X,True,39.761,39.341,39.202,39.252,38.756,39.043,38.829,38.889,38.859,39.081
5,X,False,41.175,40.776,40.9,40.485,40.714,40.702,40.635,40.399,40.267,40.313
6,X,False,24.542,24.25,24.494,24.535,24.592,24.635,0.0,24.717,25.039,25.341
7,X,True,44.422,44.898,44.984,44.424,44.609,44.532,44.248,44.408,43.869,43.906
8,X,False,45.82,45.717,45.734,46.155,45.898,45.938,46.017,45.675,45.84,45.895
9,X,False,45.938,46.017,45.675,45.84,45.895,46.017,45.935,45.983,45.908,45.878
10,X,False,39.981,40.172,40.235,40.609,40.685,40.023,40.201,40.368,40.528,40.142
11,X,False,45.286,45.451,45.516,45.648,45.703,45.79,45.792,45.767,45.671,45.7
12,X,False,38.886,37.619,37.761,37.395,37.576,37.475,37.243,37.14,36.739,36.676
13,X,True,47.638,44.498,44.741,44.979,46.014,45.682,47.369,44.442,44.875,44.928
14,X,True,37.736,37.491,37.391,37.855,37.918,37.975,37.669,37.757,37.648,37.44
15,X,False,35.581,35.609,35.381,35.478,35.56,35.59,0.0,35.929,35.598,35.845
16,X,False,38.599,38.622,38.601,38.657,38.533,38.35,38.432,38.469,38.348,38.462
17,X,False,44.19,44.219,44.121,44.2,44.32,44.359,44.373,44.584,44.644,44.676
18,X,False,44.453,44.461,44.499,44.707,44.403,44.668,44.736,44.856,44.889,45.056
19,X,False,32.363,0.0,32.224,32.77,32.398,32.253,32.622,32.553,32.621,32.51
20,X,False,48.282,48.385,48.266,48.143,48.267,48.225,48.382,48.341,48.377,48.202
21,X,False,13.479,13.787,13.292,13.561,14.056,14.961,14.474,13.979,14.844,14.777
22,X,False,26.058,25.632,25.84,26.22,25.925,25.829,25.567,26.004,26.243,25.947
23,X,False,44.793,42.833,42.925,42.74,42.862,42.23,41.619,41.672,41.783,41.516
24,X,False,38.165,38.071,37.772,38.12,37.459,37.438,37.632,37.434,37.734,37.658
25,X,True,46.185,46.162,46.038,46.002,46.001,46.005,45.978,45.826,45.799,45.816
26,X,True,49.106,49.16,49.2,49.159,49.285,49.304,49.262,49.3,49.21,49.243
27,X,True,44.958,44.918,44.801,44.727,44.658,44.603,44.596,44.52,44.52,44.427
28,X,True,39.494,39.545,39.655,39.563,39.607,39.621,39.605,39.587,39.619,39.605
29,X,False,33.325,33.123,33.325,33.076,33.251,33.19,33.16,33.015,32.857,32.946
30,X,False,36.603,36.428,36.377,36.386,36.235,36.364,36.229,36.202,36.253,36.158
31,X,True,39.5,39.706,39.643,39.796,39.867,39.559,39.47,39.695,39.835,39.732
32,X,False,44.594,40.079,42.416,44.943,51.721,46.15,47.95,47.671,46.273,47.234
33,X,True,49.695,49.148,49.141,48.902,48.839,48.866,49.065,49.064,49.221,49.113
