,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10
0,X,False,55.174,54.882,54.821,55.433,55.593,55.865,55.842,56.092,56.363,56.608
1,X,False,55.66,55.631,55.423,54.975,55.123,54.939,55.317,55.289,55.08,55.157
2,X,False,33.172,33.547,33.902,33.937,33.86,33.437,33.668,33.601,33.763,33.974
3,X,False,42.602,42.655,43.072,42.583,43.507,43.313,42.822,42.849,43.0,43.551
4,X,True,37.082,36.709,36.529,36.374,35.829,35.829,35.423,35.682,35.441,35.921
5,X,False,40.261,39.492,39.747,39.218,39.299,39.356,39.193,38.573,38.697,38.477
6,X,False,15.206,14.909,15.235,15.068,15.199,15.393,15.533,15.266,15.93,15.951
7,X,True,44.289,44.744,45.286,44.338,44.448,43.944,43.299,43.667,42.289,42.537
8,X,False,45.871,45.651,45.66,46.562,46.167,46.158,46.386,45.643,46.15,46.067
9,X,False,46.158,46.386,45.643,46.15,46.067,46.381,46.257,46.581,46.288,46.072
10,X,False,35.976,36.217,36.195,36.963,37.059,35.946,36.081,36.618,36.616,35.984
11,X,False,45.404,45.809,45.863,46.051,46.246,46.403,46.49,46.402,46.328,46.496
12,X,False,37.485,35.289,35.719,34.736,35.351,35.752,34.946,34.66,33.601,33.855
13,X,True,50.854,47.141,47.0,46.791,47.992,48.562,49.866,44.943,45.671,45.296
14,X,True,31.767,31.243,31.072,31.775,32.037,31.914,31.395,31.34,31.194,31.031
15,X,False,30.339,30.642,30.539,30.485,30.813,30.886,31.44,31.333,31.04,31.332
16,X,False,33.748,33.614,33.657,33.645,33.508,33.26,33.296,33.302,33.088,33.128
17,X,False,44.852,44.917,44.772,44.838,45.2,45.298,45.443,45.747,45.538,45.716
18,X,False,44.647,44.663,45.096,45.138,44.961,45.399,45.482,45.68,45.696,45.924
19,X,False,23.587,23.6,23.446,24.2,23.524,23.339,24.044,23.918,24.178,23.834
20,X,False,50.851,51.036,50.854,50.73,51.009,50.864,51.182,51.234,51.4,51.063
21,X,False,1.0121,1.2916,0.58131,0.80114,1.2225,2.5651,1.7765,1.0789,2.3818,1.9309
22,X,False,14.163,13.513,13.64,13.809,13.199,12.693,12.45,13.395,13.968,13.161
23,X,False,47.12,44.666,43.844,43.835,43.838,42.868,41.108,41.957,41.336,40.662
24,X,False,35.096,35.57,34.604,35.646,34.051,33.743,33.896,33.602,34.773,34.403
25,X,True,46.875,46.827,46.814,46.684,46.632,46.63,46.579,46.249,46.154,46.197
