,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10
0,X,False,8.3512,8.2119,8.3359,8.1024,8.0681,8.2002,8.0741,7.9812,7.8867,7.9414
1,X,False,10.507,10.328,10.417,10.417,10.418,10.33,10.481,10.627,10.557,10.559
2,X,False,16.635,16.25,16.296,16.426,16.243,16.108,16.207,16.333,16.523,16.569
3,X,False,6.1238,5.6126,5.7595,5.728,5.9154,5.5557,5.6875,5.1481,5.0755,5.1296
4,X,True,3.8323,4.0007,3.7176,3.7828,3.8962,3.8883,3.7107,3.5106,3.5298,3.5992
5,X,False,16.769,14.482,14.761,15.593,14.265,12.218,14.84,11.778,12.762,12.496
6,X,False,93.228,84.052,94.419,78.04,75.995,75.833,67.558,64.19,62.829,63.193
7,X,True,6.1526,5.9407,6.0077,5.9413,6.3093,6.3883,6.2191,6.1103,6.2698,6.014
8,X,False,6.7598,6.5545,5.4491,7.0448,7.109,7.1218,6.8063,6.8011,6.7412,6.6831
9,X,False,7.1218,6.8063,6.8011,6.7412,6.6831,6.683,6.8061,6.913,7.0739,7.1297
10,X,False,10.802,10.946,10.893,11.033,10.973,10.922,10.882,11.043,11.131,11.081
11,X,False,14.609,14.545,14.638,14.805,14.827,14.809,15.027,14.871,14.9,14.816
12,X,False,51.302,46.622,48.453,52.042,40.9,44.841,41.887,41.471,40.018,41.227
13,X,True,4.445,5.5973,2.8484,5.1099,7.4807,10.603,11.253,11.012,12.517,16.928
14,X,True,12.389,12.592,12.603,12.539,12.469,12.492,12.26,12.482,12.189,12.355
15,X,False,4.7405,4.4006,4.8004,4.8317,4.6458,4.7609,4.5688,5.0512,4.7227,5.0772
16,X,False,11.084,11.09,11.113,11.054,10.869,10.896,11.005,10.859,10.655,10.656
17,X,False,11.565,11.621,11.623,11.763,11.684,11.701,11.761,11.761,11.913,11.983
18,X,False,14.31,14.574,14.452,14.44,14.306,14.39,14.359,14.225,14.123,14.335
19,X,False,12.916,13.222,13.023,13.027,13.089,13.081,12.91,15.771,15.736,15.679
20,X,False,9.0822,9.1165,9.0347,9.1052,8.9693,8.9536,8.9245,8.9361,8.9435,8.9229
21,X,False,5.3424,6.9044,7.2251,10.054,8.1797,8.1443,6.3168,3.2416,3.0508,2.7812
22,X,False,65.202,34.685,31.288,29.959,31.371,31.878,29.498,26.992,26.443,26.524
23,X,False,10.216,9.9285,9.9773,11.591,10.71,10.42,13.207,10.89,13.335,14.249
24,X,False,5.9906,6.1028,7.4041,7.0416,6.9674,6.738,6.5066,5.9242,6.0035,7.8692
25,X,True,4.554,4.5484,4.5601,4.5263,4.5182,4.5014,4.4075,4.4059,4.4491,4.4245
26,X,True,5.1474,5.1483,5.1123,5.1878,5.2024,5.1926,5.2314,5.2217,5.2991,5.2384
27,X,True,5.5954,5.6135,5.5466,5.5563,5.5173,5.5965,5.5841,5.5549,5.5876,5.58
28,X,True,5.6907,5.6809,5.7182,5.7204,5.7319,5.7619,5.7682,5.8048,5.8835,5.8206
29,X,False,12.86,12.739,12.952,12.713,12.64,12.616,12.616,12.553,12.55,12.314
30,X,False,20.113,20.227,19.949,20.01,20.101,20.158,20.352,20.379,20.441,20.308
31,X,True,6.0971,5.9439,6.0267,6.024,5.9887,5.9592,6.0399,6.0183,5.9645,5.9225
32,X,False,2.6744,2.8009,3.4646,2.9676,2.9536,3.1535,4.0043,2.6849,2.4126,2.4412
33,X,True,4.3183,4.3321,4.3425,4.2676,4.2655,4.3258,4.4004,4.3518,4.388,4.0073
34,X,True,3.9757,4.2932,4.275,3.877,3.8842,3.8463,3.9011,3.8851,3.8969,3.9439
35,X,False,3.4197,3.3798,3.3567,3.3181,3.2933,3.3191,3.3304,3.3613,3.3563,3.3867
36,X,False,26.514,27.197,25.721,24.841,22.853,26.305,31.73,22.226,21.36,21.586
37,M,False,14.308,12.97,14.187,13.961,13.5,13.42,14.217,14.528,14.774,15.196
38,M,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,M,False,19.656,19.279,19.234,19.203,19.248,19.143,19.098,0.0,18.716,18.707
40,M,True,2.4091,2.744,9.8021,13.366,11.001,9.1348,6.1023,9.742,5.2808,4.8021
41,M,False,2.8339,307.1,249.42,305.36,272.32,2.9742,250.84,304.4,3.3238,302.81
42,M,False,38.3,38.636,38.373,39.737,38.941,38.993,39.091,39.06,39.572,41.292
43,M,False,43.323,44.174,45.072,44.895,45.798,43.684,42.3,47.491,42.759,42.532
44,M,True,25.025,23.917,23.092,24.262,24.327,23.242,22.239,22.444,22.404,21.095
45,M,True,8.4887,8.5338,8.6114,8.7296,8.6781,8.5818,8.6001,8.6365,8.6315,8.551
46,M,False,23.262,23.215,22.857,22.976,20.009,19.924,20.231,19.91,19.741,20.434
47,M,False,8.3769,8.4692,8.3067,8.2312,8.324,8.3376,8.3482,8.15,8.3001,8.0938
48,M,True,10.331,10.549,10.551,10.567,10.518,10.451,10.25,10.277,10.379,10.412
49,M,True,14.748,14.785,15.025,15.322,15.214,15.378,15.378,15.258,15.249,15.142
50,M,False,10.189,10.077,10.226,10.199,10.172,10.248,10.175,9.9303,9.9542,10.142
51,M,False,15.56,15.644,15.728,15.916,15.71,15.557,15.693,15.515,15.675,15.602
52,M,False,17.768,17.738,17.676,17.739,17.829,18.138,18.164,18.207,18.164,18.166
53,M,False,23.029,14.077,13.935,23.187,23.192,22.777,23.329,23.524,13.832,23.112
54,M,True,8.2684,8.4063,8.3583,8.4011,8.4103,8.3415,8.2085,8.2796,8.2646,8.1546
55,M,True,21.918,22.119,21.622,21.691,22.084,21.319,22.744,22.849,22.34,20.52
56,M,False,8.3308,8.1822,8.1958,8.3372,8.317,8.2762,8.1602,8.2877,8.2307,8.1824
57,M,False,8.1602,8.2877,8.2307,8.1824,8.3787,8.307,8.37,8.2566,8.2904,8.4485
58,M,False,15.774,15.583,15.49,15.463,15.458,15.562,15.6,15.44,15.479,15.533
59,M,False,9.0885,9.1335,9.1552,9.2033,9.2464,9.4219,9.2685,9.336,9.2988,9.4213
60,M,True,21.508,21.955,22.822,22.828,23.511,24.231,25.112,24.813,26.215,26.093
61,M,False,21.493,22.768,22.53,23.363,22.845,22.719,22.618,24.382,23.328,24.133
62,M,False,15.609,16.028,15.588,14.415,14.196,14.224,14.799,15.287,14.198,13.797
63,M,False,12.512,28.3,23.496,16.777,10.755,17.396,49.22,44.389,45.255,45.536
64,M,False,45.255,45.536,41.852,43.244,46.214,43.607,45.474,43.064,45.051,43.986
65,M,True,9.3085,9.2829,9.1859,9.2611,9.2625,9.5231,9.3808,9.6898,9.5344,9.5134
66,M,False,9.8042,9.659,9.7592,9.6,9.4294,9.4415,9.4771,9.4563,9.4998,9.3607
67,M,False,10.521,10.491,10.676,10.456,10.543,10.575,10.437,10.487,10.449,10.603
68,M,True,5.4263,3.8066,3.7794,3.6798,3.8557,3.8831,3.8285,3.8231,3.8762,3.8579
69,M,False,4.2047,3.8864,4.09,3.9383,4.0587,4.0232,3.9135,3.935,3.9661,4.0036
70,M,False,25.551,25.387,26.482,28.155,22.837,24.019,21.897,19.823,16.267,29.433
71,M,False,15.591,23.745,25.14,19.601,16.546,20.27,20.283,18.333,19.357,16.577
72,M,False,15.81,15.783,15.812,16.217,16.08,16.548,16.526,16.31,16.303,16.299
73,M,False,15.772,15.746,15.376,15.61,15.613,15.416,15.511,15.155,15.385,15.068
74,M,True,22.666,21.857,20.756,15.791,16.865,17.494,16.426,23.787,26.456,27.333
75,M,False,30.215,30.585,31.6,31.763,33.235,34.245,33.468,35.48,35.375,33.606
76,M,True,51.368,47.611,53.676,49.8,52.443,51.068,53.983,52.081,54.737,48.73
77,M,False,41.26,42.979,38.156,38.181,37.18,34.177,40.952,41.209,41.566,38.173
78,M,False,54.804,54.33,54.769,55.193,55.463,58.042,56.924,57.514,56.003,56.928
79,M,False,12.149,11.76,12.292,11.167,13.369,12.089,12.338,10.848,10.221,9.9144
80,M,False,19.51,18.666,18.931,19.429,18.67,18.261,18.394,17.835,18.016,18.262
