,FLARE_TYPE,COINCIDENCE,USFLUX_1,USFLUX_2,USFLUX_3,USFLUX_4,USFLUX_5,USFLUX_6,USFLUX_7,USFLUX_8,USFLUX_9,USFLUX_10
0,X,False,2.2347e+22,2.2461e+22,2.2477e+22,2.2463e+22,2.2548e+22,2.2682e+22,2.2787e+22,2.2838e+22,2.2854e+22,2.2893e+22
1,X,False,3.071e+22,3.0608e+22,3.0666e+22,3.0647e+22,3.0692e+22,3.0601e+22,3.0512e+22,3.0684e+22,3.0586e+22,3.0674e+22
2,X,False,3.7925e+22,3.7978e+22,3.7873e+22,3.7857e+22,3.7764e+22,3.7563e+22,3.7436e+22,3.693e+22,3.6631e+22,3.6236e+22
3,X,False,1.7717e+22,1.7588e+22,1.769e+22,1.7736e+22,1.7525e+22,1.7377e+22,1.7197e+22,1.7284e+22,1.7252e+22,1.6956e+22
4,X,True,1.5746e+22,1.5836e+22,1.5753e+22,1.5509e+22,1.5381e+22,1.545e+22,1.5466e+22,1.5483e+22,1.5418e+22,1.5366e+22
5,X,False,8.2251e+22,8.2968e+22,8.2805e+22,8.3479e+22,8.3521e+22,8.4022e+22,8.4435e+22,8.4974e+22,8.5555e+22,8.5938e+22
6,X,False,4.3263e+22,4.3423e+22,4.3423e+22,4.3093e+22,4.2561e+22,4.2388e+22,4.175e+22,4.1333e+22,4.0302e+22,4.0537e+22
7,X,True,3.7589e+22,3.765e+22,3.7415e+22,3.7812e+22,3.7567e+22,3.7631e+22,3.7702e+22,3.7738e+22,3.7901e+22,3.79e+22
8,X,False,5.3177e+22,5.3154e+22,5.3328e+22,5.3297e+22,5.3473e+22,5.3603e+22,5.3729e+22,5.3986e+22,5.3848e+22,5.409e+22
9,X,False,5.3603e+22,5.3729e+22,5.3986e+22,5.3848e+22,5.409e+22,5.4238e+22,5.4207e+22,5.4138e+22,5.4305e+22,5.4443e+22
10,X,False,5.8973e+22,5.8904e+22,5.9041e+22,5.9162e+22,5.902e+22,5.9469e+22,5.9617e+22,5.9636e+22,5.9538e+22,6.0212e+22
11,X,False,8.6688e+22,8.6234e+22,8.637e+22,8.5996e+22,8.5594e+22,8.5426e+22,8.5134e+22,8.5067e+22,8.48e+22,8.4575e+22
12,X,False,2.4442e+22,2.5005e+22,2.5214e+22,2.5152e+22,2.524e+22,2.5499e+22,2.553e+22,2.5403e+22,2.544e+22,2.5418e+22
13,X,True,2.5646e+21,2.842e+21,3.0198e+21,3.2127e+21,3.4002e+21,3.471e+21,3.6242e+21,3.8221e+21,3.9319e+21,3.9326e+21
14,X,True,5.2401e+22,5.2582e+22,5.2415e+22,5.2282e+22,5.2423e+22,5.2415e+22,5.2539e+22,5.2747e+22,5.2877e+22,5.3107e+22
15,X,False,6.7741e+22,6.7913e+22,6.7243e+22,6.7186e+22,6.6938e+22,6.6765e+22,6.6125e+22,6.5881e+22,6.5285e+22,6.4999e+22
16,X,False,7.1163e+22,7.1447e+22,7.1406e+22,7.1588e+22,7.1844e+22,7.1925e+22,7.1833e+22,7.1993e+22,7.2144e+22,7.2065e+22
17,X,False,4.7765e+22,4.789e+22,4.788e+22,4.7764e+22,4.7745e+22,4.7841e+22,4.7638e+22,4.7534e+22,4.7501e+22,4.747e+22
18,X,False,3.4688e+22,3.4361e+22,3.417e+22,3.4057e+22,3.4155e+22,3.4096e+22,3.4245e+22,3.4279e+22,3.4368e+22,3.4165e+22
19,X,False,5.2006e+22,5.204e+22,5.2122e+22,5.1761e+22,5.2055e+22,5.2216e+22,5.2077e+22,5.2147e+22,5.2067e+22,5.2301e+22
20,X,False,8.9208e+22,8.9111e+22,8.8961e+22,8.8875e+22,8.8594e+22,8.8897e+22,8.8553e+22,8.841e+22,8.8331e+22,8.8204e+22
21,X,False,4.2591e+21,4.3219e+21,4.3714e+21,4.4773e+21,4.6519e+21,4.8034e+21,4.9561e+21,4.939e+21,5.0002e+21,5.1744e+21
22,X,False,3.7209e+22,3.6997e+22,3.6646e+22,3.5569e+22,3.5395e+22,3.5174e+22,3.5014e+22,3.4533e+22,3.4274e+22,3.4183e+22
23,X,False,1.5205e+22,1.557e+22,1.5811e+22,1.6154e+22,1.6347e+22,1.6866e+22,1.6969e+22,1.7148e+22,1.7478e+22,1.7792e+22
24,X,False,1.1706e+23,1.1686e+23,1.1847e+23,1.174e+23,1.1994e+23,1.2093e+23,1.2172e+23,1.2284e+23,1.2212e+23,1.229e+23
25,X,True,1.2769e+23,1.2813e+23,1.2873e+23,1.2895e+23,1.2993e+23,1.3038e+23,1.3142e+23,1.3269e+23,1.336e+23,1.3429e+23
26,X,True,1.4203e+23,1.4203e+23,1.422e+23,1.423e+23,1.422e+23,1.4237e+23,1.4258e+23,1.4245e+23,1.4269e+23,1.4269e+23
27,X,True,1.6319e+23,1.6333e+23,1.6352e+23,1.6348e+23,1.6392e+23,1.645e+23,1.6464e+23,1.6499e+23,1.6495e+23,1.6527e+23
28,X,True,1.8469e+23,1.8416e+23,1.8417e+23,1.8414e+23,1.841e+23,1.8401e+23,1.8374e+23,1.8388e+23,1.8358e+23,1.8379e+23
29,X,False,4.7366e+22,4.745e+22,4.7204e+22,4.7105e+22,4.6665e+22,4.6164e+22,4.5895e+22,4.5508e+22,4.5229e+22,4.4699e+22
30,X,False,9.7678e+22,9.7938e+22,9.7809e+22,9.7853e+22,9.8112e+22,9.819e+22,9.8366e+22,9.8423e+22,9.8406e+22,9.8433e+22
31,X,True,2.6646e+22,2.6659e+22,2.668e+22,2.6613e+22,2.644e+22,2.6286e+22,2.609e+22,2.5792e+22,2.5404e+22,2.537e+22
32,X,False,1.349e+21,1.6207e+21,1.8909e+21,2.0895e+21,2.103e+21,2.4752e+21,2.7418e+21,2.8742e+21,3.1236e+21,3.3675e+21
33,X,True,3.7078e+22,3.6799e+22,3.6766e+22,3.6831e+22,3.6958e+22,3.7043e+22,3.7303e+22,3.7376e+22,3.7373e+22,3.732e+22
34,X,True,3.766e+22,3.7889e+22,3.7805e+22,3.7994e+22,3.8172e+22,3.8216e+22,3.8143e+22,3.8117e+22,3.8206e+22,3.8468e+22
35,X,False,4.8634e+22,4.8669e+22,4.873e+22,4.8635e+22,4.884e+22,4.9049e+22,4.9278e+22,4.9266e+22,4.929e+22,4.9644e+22
36,X,False,4.5546e+22,4.4086e+22,4.3277e+22,4.2845e+22,4.1966e+22,4.0902e+22,4.0472e+22,3.9454e+22,3.8934e+22,3.8095e+22
37,M,False,5.9002e+21,5.9875e+21,6.1943e+21,6.3268e+21,6.4014e+21,6.4175e+21,6.4023e+21,6.3962e+21,6.3807e+21,6.3976e+21
38,M,False,2.3558e+21,2.4558e+21,2.3362e+21,2.4588e+21,2.5449e+21,2.5977e+21,2.8103e+21,3.1055e+21,3.2251e+21,3.3897e+21
39,M,False,1.6341e+22,1.6307e+22,1.628e+22,1.6189e+22,1.6083e+22,1.5949e+22,1.5911e+22,1.5613e+22,1.5409e+22,1.5349e+22
40,M,True,2.3827e+21,2.5089e+21,2.4162e+21,2.5239e+21,2.5259e+21,2.5292e+21,2.552e+21,2.4805e+21,2.5549e+21,2.372e+21
41,M,False,2.2346e+22,2.2503e+22,2.2573e+22,2.3008e+22,2.336e+22,2.3854e+22,2.3956e+22,2.3954e+22,2.4116e+22,2.4201e+22
42,M,False,1.8496e+22,1.8128e+22,1.8033e+22,1.7788e+22,1.7636e+22,1.7451e+22,1.7276e+22,1.7086e+22,1.7042e+22,1.708e+22
43,M,False,1.0055e+22,1.0171e+22,1.0101e+22,1.0237e+22,1.0285e+22,1.0372e+22,1.0549e+22,1.0576e+22,1.0642e+22,1.0901e+22
44,M,True,5.3807e+21,5.4665e+21,5.5546e+21,5.6049e+21,5.692e+21,5.7861e+21,5.8084e+21,6.0152e+21,6.1225e+21,6.2214e+21
45,M,True,1.8798e+22,1.8862e+22,1.9111e+22,1.9208e+22,1.9338e+22,1.946e+22,1.9575e+22,1.9632e+22,1.9795e+22,1.9905e+22
46,M,False,1.1431e+22,1.1715e+22,1.1974e+22,1.2165e+22,1.2309e+22,1.2511e+22,1.2571e+22,1.2805e+22,1.3065e+22,1.3259e+22
47,M,False,2.6059e+22,2.6175e+22,2.6205e+22,2.6287e+22,2.6258e+22,2.6369e+22,2.6433e+22,2.6492e+22,2.6579e+22,2.6654e+22
48,M,True,3.1465e+22,3.1396e+22,3.1224e+22,3.1245e+22,3.1337e+22,3.1381e+22,3.1501e+22,3.1842e+22,3.1838e+22,3.1826e+22
