,FLARE_TYPE,COINCIDENCE,AREA_ACR_1,AREA_ACR_2,AREA_ACR_3,AREA_ACR_4,AREA_ACR_5,AREA_ACR_6,AREA_ACR_7,AREA_ACR_8,AREA_ACR_9,AREA_ACR_10,AREA_ACR_11,AREA_ACR_12,AREA_ACR_13,AREA_ACR_14,AREA_ACR_15
0,X,False,942.44,945.31,946.55,947.42,946.52,952.37,956.45,961.74,962.37,964.36,967.04,972.08,974.66,977.48,987.6
1,X,False,1395.5,1401.9,1407.3,1400.0,1403.0,1400.9,1394.0,1391.5,1393.2,1402.8,1403.5,1403.3,1407.7,1406.7,1407.3
2,X,False,1095.0,1098.4,1088.3,1080.2,1072.5,1068.5,1067.0,1065.7,1060.9,1067.1,1068.1,1057.4,1055.7,1049.4,1048.0
3,X,False,1386.9,1386.2,1382.2,1379.6,1383.7,1374.7,1375.0,1373.1,1367.6,1366.2,1370.8,1367.5,1364.2,1355.4,1354.7
4,X,True,1212.4,1213.1,1209.6,1208.1,1209.1,1207.2,1209.3,1205.2,1198.6,1193.4,1194.3,1199.2,1194.6,1194.6,1194.3
5,X,False,2655.3,2643.5,2650.9,2666.4,2653.7,2677.6,2665.3,2675.5,2685.6,2672.9,2670.2,2676.8,2666.4,2683.9,2672.8
6,X,True,1139.0,1143.0,1148.1,1152.5,1139.4,1141.1,1151.3,1150.2,1152.7,1156.0,1161.1,1163.3,1167.0,1169.1,1171.5
7,X,False,1704.3,1713.0,1720.5,1724.5,1730.8,1737.0,1736.2,1744.9,1751.8,1754.5,1765.4,1765.0,1769.2,1771.8,1769.6
8,X,False,1737.0,1736.2,1744.9,1751.8,1754.5,1765.4,1765.0,1769.2,1771.8,1769.6,1774.8,1794.5,1803.3,1813.3,1820.7
9,X,False,4558.6,4560.0,4566.9,4569.7,4568.4,4577.0,4573.3,4577.3,4588.0,4584.5,4589.8,4576.3,4578.4,4572.3,4577.1
10,X,False,827.95,838.45,846.02,842.72,844.96,844.17,848.82,855.06,855.22,855.09,857.4,849.34,852.39,854.7,853.81
11,X,True,411.93,429.1,431.68,451.05,460.05,471.16,488.28,500.65,511.52,522.36,542.84,535.65,543.37,545.45,559.03
12,X,True,1909.1,1909.1,1930.8,1933.3,1923.0,1923.1,1911.3,1915.0,1927.2,1930.3,1925.7,1928.7,1926.2,1921.8,1917.1
13,X,False,2157.9,2143.0,2145.5,2129.3,2143.0,2130.9,2143.4,2129.2,2119.7,2153.2,2142.3,2149.7,2134.4,2145.9,2150.3
14,X,False,2338.0,2334.4,2333.7,2322.2,2331.7,2330.6,2329.5,2330.5,2341.4,2348.8,2335.4,2346.9,2346.0,2338.5,2340.2
15,X,False,2366.6,2373.5,2376.2,2379.1,2375.3,2382.6,2373.1,2373.9,2378.5,2375.9,2389.5,2388.3,2385.5,2389.6,2381.6
16,X,False,2177.5,2171.4,2176.2,2170.5,2169.6,2172.4,2156.9,2162.0,2163.1,2160.8,2153.3,2150.3,2154.7,2143.4,2143.0
17,X,False,1513.6,1504.7,1490.5,1504.4,1515.5,1520.5,1513.4,1515.6,1522.4,1530.7,1526.7,1540.3,1543.5,1549.3,1563.5
18,X,False,4538.5,4545.5,4556.8,4566.7,4556.3,4563.3,4552.4,4542.2,4552.1,4541.3,4540.3,4534.5,4523.9,4524.5,4515.7
19,X,False,89.82,89.58,103.24,108.87,112.23,116.21,127.03,146.89,148.47,172.25,184.82,196.32,216.42,228.94,239.73
20,X,False,1443.5,1410.5,1388.7,1368.6,1357.7,1313.1,1307.9,1268.6,1256.4,1215.1,1170.7,1166.5,1113.7,1130.9,1086.4
21,X,False,408.5,402.58,400.8,386.99,383.22,380.21,385.79,391.58,388.11,369.87,361.2,367.25,366.53,367.46,355.51
22,X,False,3656.5,3642.1,3649.7,3652.5,3648.5,3618.7,3639.0,3642.6,3627.4,3663.8,3640.4,3615.8,3609.5,3624.0,3618.7
23,X,True,5911.5,5936.1,5950.8,5953.5,5966.9,5943.3,5967.2,5977.6,5993.4,5987.3,6006.0,6019.0,6030.6,6029.4,6034.1
24,X,True,7153.5,7126.6,7138.2,7136.3,7138.4,7142.9,7123.0,7132.4,7127.3,7134.1,7145.1,7145.7,7145.3,7145.6,7144.8
25,X,True,6808.2,6833.4,6837.2,6823.0,6802.2,6818.7,6800.4,6793.5,6787.0,6775.5,6772.6,6789.2,6801.7,6794.2,6768.0
26,X,False,1408.9,1417.1,1412.1,1404.9,1410.3,1421.9,1411.1,1405.2,1414.8,1415.7,1421.1,1424.3,1429.1,1420.3,1424.1
27,X,False,4611.6,4591.7,4591.9,4591.2,4591.1,4591.1,4580.7,4575.2,4551.7,4530.2,4531.2,4528.6,4531.4,4518.8,4514.1
28,X,True,1213.8,1218.6,1229.8,1233.9,1236.6,1238.1,1235.1,1235.2,1248.2,1250.0,1251.1,1243.8,1245.9,1247.1,1249.6
29,X,False,188.9,215.99,242.22,259.14,277.4,306.41,320.53,342.53,365.3,380.2,402.92,428.13,443.41,468.13,494.22
30,X,True,1483.2,1492.0,1492.9,1494.1,1500.9,1491.2,1493.9,1495.1,1502.2,1502.3,1507.4,1500.1,1496.6,1499.5,1506.8
31,X,True,1506.8,1510.1,1509.8,1512.0,1516.2,1523.8,1536.0,1541.4,1540.6,1550.5,1550.6,1554.4,1556.7,1552.5,1556.2
32,X,False,1720.3,1725.2,1730.7,1735.6,1749.3,1749.7,1752.2,1757.9,1763.3,1776.5,1778.4,1783.4,1771.6,1788.2,1788.8
33,X,False,1763.1,1759.3,1756.6,1767.5,1767.5,1776.2,1764.9,1778.9,1772.9,1781.5,1789.1,1782.0,1766.0,1742.9,1732.3
34,M,False,164.03,171.01,171.18,169.53,173.93,174.22,175.39,174.06,179.17,177.46,180.69,179.62,180.73,183.35,186.05
35,M,False,48.476,50.121,51.489,51.712,53.285,60.28,68.363,70.523,79.266,81.741,84.341,85.827,94.964,91.788,86.795
36,M,False,471.86,473.45,470.63,468.91,471.01,467.64,468.27,466.94,468.47,474.34,468.43,467.53,468.07,468.53,478.99
37,M,True,63.677,65.126,61.973,61.163,63.613,60.48,61.802,65.313,65.083,63.054,68.145,68.555,67.272,65.431,66.757
