,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15
0,X,False,90177.0,95488.0,99707.0,126350.0,112640.0,106220.0,96951.0,97643.0,103450.0,94982.0,109330.0,95691.0,112320.0,101980.0,115740.0
1,X,False,53345.0,57244.0,56641.0,63109.0,61677.0,58080.0,56071.0,49778.0,49333.0,51625.0,44968.0,44570.0,51049.0,48191.0,53662.0
2,X,False,22712.0,23823.0,23979.0,26990.0,21875.0,23738.0,23418.0,23965.0,23624.0,26158.0,23084.0,27902.0,28855.0,20865.0,24441.0
3,X,False,10917.0,13983.0,11363.0,10125.0,10222.0,10653.0,11185.0,11847.0,11977.0,11992.0,15913.0,16693.0,19112.0,17787.0,13530.0
4,X,True,12555.0,13425.0,14097.0,12308.0,10512.0,10762.0,13336.0,11171.0,10936.0,10181.0,11655.0,10302.0,8320.8,9432.0,13474.0
5,X,False,49339.0,47697.0,47923.0,54234.0,49323.0,45237.0,44540.0,42944.0,43192.0,52557.0,36415.0,44766.0,34623.0,44541.0,42623.0
6,X,True,23349.0,28456.0,29320.0,33442.0,24647.0,25665.0,29184.0,26569.0,29355.0,37315.0,26551.0,34445.0,28060.0,25810.0,21700.0
7,X,False,221090.0,236750.0,226620.0,189810.0,196940.0,214480.0,257940.0,215360.0,233140.0,231980.0,246280.0,219720.0,233750.0,216070.0,207880.0
8,X,False,214480.0,257940.0,215360.0,233140.0,231980.0,246280.0,219720.0,233750.0,216070.0,207880.0,218700.0,224730.0,203010.0,200950.0,179470.0
9,X,False,244100.0,231390.0,232280.0,249480.0,209150.0,233610.0,189030.0,215390.0,237730.0,239080.0,248650.0,268590.0,249360.0,264770.0,245430.0
10,X,False,7449.7,9904.1,8980.2,5607.6,21075.0,9382.0,12223.0,14247.0,9075.4,3116.2,7939.1,4351.9,8752.1,3107.2,6536.5
11,X,True,95548.0,85436.0,40320.0,38986.0,50456.0,16037.0,37907.0,23325.0,24707.0,17085.0,13676.0,10863.0,8294.3,3421.8,7713.3
12,X,True,25912.0,24478.0,25105.0,35705.0,27379.0,24756.0,25006.0,26789.0,25984.0,25693.0,28074.0,34194.0,38224.0,30427.0,27731.0
13,X,False,24856.0,25737.0,22603.0,23067.0,22632.0,22883.0,23127.0,21941.0,17445.0,16363.0,17640.0,15873.0,16080.0,17572.0,20296.0
14,X,False,83967.0,96688.0,81706.0,82330.0,95764.0,96638.0,89377.0,93289.0,73115.0,84001.0,91194.0,73034.0,74864.0,80976.0,80752.0
15,X,False,101400.0,94005.0,89694.0,91240.0,84401.0,90458.0,82658.0,86565.0,80578.0,76976.0,88225.0,90233.0,86882.0,92482.0,92195.0
16,X,False,52072.0,45661.0,56666.0,55626.0,54202.0,52519.0,57957.0,55585.0,55079.0,53495.0,61246.0,58330.0,62203.0,52621.0,53698.0
17,X,False,22304.0,21432.0,25951.0,23128.0,17262.0,18676.0,20715.0,17964.0,21112.0,25149.0,21824.0,19351.0,23448.0,26721.0,20368.0
18,X,False,162470.0,148760.0,174190.0,169030.0,199840.0,197010.0,211780.0,187180.0,199180.0,202400.0,185200.0,176290.0,170330.0,214460.0,196280.0
19,X,False,107860.0,93479.0,117600.0,68881.0,61844.0,83856.0,42785.0,55766.0,44179.0,98645.0,97480.0,152540.0,21573.0,78623.0,80735.0
20,X,False,53159.0,60625.0,81995.0,123820.0,107890.0,88053.0,102580.0,138050.0,79860.0,87707.0,103590.0,158960.0,119870.0,111810.0,166960.0
21,X,False,5970.3,5257.3,4988.3,4809.8,4722.4,4393.1,4160.9,2901.2,2896.3,1477.9,0.0,0.0,0.0,0.0,0.0
22,X,False,104340.0,97915.0,103660.0,156690.0,138730.0,187460.0,171290.0,204600.0,191090.0,112540.0,119680.0,165830.0,128260.0,187660.0,196750.0
23,X,True,477420.0,450030.0,441660.0,495270.0,497580.0,520710.0,528000.0,580590.0,516820.0,509870.0,627410.0,596860.0,604120.0,551480.0,521910.0
24,X,True,770740.0,749020.0,716840.0,745510.0,774570.0,743510.0,673050.0,705000.0,769260.0,778350.0,746020.0,776700.0,796260.0,711640.0,746910.0
25,X,True,750370.0,778250.0,741590.0,815620.0,727960.0,734910.0,793070.0,682130.0,668760.0,754590.0,840890.0,779860.0,888910.0,817420.0,767490.0
26,X,False,26973.0,26975.0,25944.0,27661.0,27747.0,27282.0,32251.0,31366.0,26958.0,28324.0,31080.0,31964.0,29729.0,30793.0,35071.0
27,X,False,189060.0,194210.0,166940.0,157390.0,169300.0,176510.0,174480.0,172550.0,172050.0,190880.0,186550.0,184470.0,174290.0,178010.0,168140.0
28,X,True,26519.0,30901.0,32613.0,32845.0,30427.0,23525.0,22322.0,23669.0,36058.0,33312.0,26940.0,31101.0,28130.0,30096.0,28184.0
29,X,False,48210.0,23363.0,51788.0,62205.0,52863.0,48458.0,34970.0,48169.0,44157.0,45479.0,20107.0,6666.7,11950.0,13803.0,6876.8
30,X,True,184650.0,177750.0,177630.0,182420.0,186190.0,194180.0,171020.0,207800.0,208140.0,213770.0,196500.0,181950.0,178420.0,201650.0,166180.0
31,X,True,166180.0,175930.0,194590.0,187340.0,186860.0,212140.0,204530.0,198650.0,219050.0,220260.0,209540.0,196820.0,239450.0,191130.0,205160.0
