,FLARE_TYPE,COINCIDENCE,MEANGAM_1,MEANGAM_2,MEANGAM_3,MEANGAM_4,MEANGAM_5,MEANGAM_6,MEANGAM_7,MEANGAM_8,MEANGAM_9,MEANGAM_10,MEANGAM_11,MEANGAM_12,MEANGAM_13,MEANGAM_14,MEANGAM_15
0,X,False,59.703,59.541,59.598,59.828,59.809,59.849,59.948,59.983,60.104,60.195,60.311,60.497,60.522,60.685,60.597
1,X,False,58.046,58.109,57.919,57.67,57.611,57.61,57.571,57.417,57.358,57.464,57.545,57.4,57.301,57.258,57.291
2,X,False,44.545,44.628,44.86,44.816,44.704,44.465,44.52,44.492,44.475,44.515,44.527,44.599,44.661,44.57,44.814
3,X,False,54.46,54.615,54.686,54.626,55.074,55.023,54.843,54.796,54.992,55.318,55.076,54.947,55.007,55.184,55.023
4,X,True,49.86,49.305,49.1,49.004,48.641,48.787,48.444,48.42,48.437,48.631,48.547,48.35,48.66,48.338,48.588
5,X,False,46.821,46.47,46.395,46.265,46.05,46.16,46.006,45.749,45.698,45.753,45.73,45.577,45.732,45.605,45.873
6,X,True,49.695,50.19,50.4,49.849,50.084,50.055,49.934,49.769,49.339,49.118,49.197,49.763,49.362,48.604,48.526
7,X,False,51.12,51.085,51.177,51.43,51.252,51.237,51.243,51.013,51.202,51.129,51.182,51.151,51.26,51.149,51.051
8,X,False,51.237,51.243,51.013,51.202,51.129,51.182,51.151,51.26,51.149,51.051,51.086,51.448,51.392,51.16,51.314
9,X,False,52.792,53.062,52.998,53.146,53.166,53.263,53.253,53.224,53.128,53.224,53.243,53.357,53.212,53.073,52.9
10,X,False,45.346,44.391,44.611,44.45,44.264,44.239,44.1,43.61,43.268,43.326,43.449,43.464,43.028,42.215,42.106
11,X,True,53.922,52.433,51.169,52.966,52.654,52.599,53.075,51.024,51.031,51.261,50.738,50.659,51.338,50.7,50.451
12,X,True,43.291,43.003,43.1,43.349,43.461,43.526,43.214,43.36,43.347,43.205,43.243,43.086,42.82,42.657,42.48
13,X,False,42.289,42.369,42.153,42.335,42.515,42.589,43.007,43.055,42.878,43.038,43.196,43.392,43.419,43.056,43.621
14,X,False,43.912,44.001,43.915,43.899,43.817,43.677,43.751,43.731,43.522,43.633,43.565,43.632,43.562,43.615,43.75
15,X,False,51.549,51.619,51.623,51.616,51.797,51.89,52.017,52.11,52.162,52.164,52.33,52.39,52.369,52.357,52.468
16,X,False,53.168,53.227,53.247,53.475,53.408,53.75,53.964,54.011,54.063,54.341,54.218,54.136,54.219,54.364,54.285
17,X,False,38.64,38.59,38.486,39.387,38.915,38.617,38.943,38.909,39.232,39.104,39.011,39.167,39.181,38.955,38.882
18,X,False,55.159,55.197,55.187,55.09,55.206,55.077,55.165,55.109,55.101,54.975,54.739,54.655,54.601,54.68,54.908
19,X,False,18.296,18.394,18.375,18.403,18.75,19.213,19.015,18.764,19.357,20.364,21.041,21.992,22.316,22.201,23.761
20,X,False,33.175,32.857,33.109,32.89,32.79,32.512,32.453,32.8,33.116,32.912,33.142,32.861,32.705,32.985,32.507
21,X,False,50.411,50.534,49.523,49.536,48.845,48.471,48.165,48.245,47.691,47.001,47.283,46.752,46.447,46.216,45.783
22,X,False,44.472,44.318,44.351,44.328,44.101,43.988,44.186,43.985,44.345,44.06,43.617,43.337,43.21,42.94,42.967
23,X,True,51.552,51.49,51.38,51.368,51.35,51.335,51.272,51.242,51.16,51.15,51.158,51.141,51.168,51.182,51.139
24,X,True,49.983,49.909,49.839,49.72,49.636,49.566,49.565,49.503,49.476,49.414,49.349,49.367,49.383,49.245,49.245
25,X,True,44.4,44.465,44.492,44.46,44.427,44.427,44.431,44.356,44.338,44.299,44.154,44.167,44.133,44.049,43.903
26,X,False,38.634,38.421,38.679,38.426,38.669,38.614,38.595,38.414,38.364,38.525,38.479,38.427,38.294,38.195,38.318
27,X,False,42.777,42.605,42.598,42.655,42.503,42.597,42.443,42.446,42.463,42.437,42.312,42.386,42.316,42.271,42.227
28,X,True,45.869,46.022,46.047,46.133,46.319,46.081,46.094,46.194,46.464,46.415,46.389,46.337,46.366,46.495,46.157
29,X,False,48.097,47.294,48.095,51.416,55.766,52.51,53.774,53.785,53.779,54.022,52.889,51.907,50.677,51.056,49.79
30,X,True,56.951,56.723,56.637,56.445,56.431,56.605,56.556,56.46,56.562,56.532,56.408,56.479,56.488,56.239,56.076
31,X,True,56.076,56.122,55.901,56.02,56.014,55.895,55.854,56.153,56.122,56.081,56.068,56.007,56.124,56.048,55.937
32,X,False,49.883,49.661,49.75,49.842,49.83,49.525,49.381,49.545,49.853,49.59,49.573,49.375,49.243,49.314,49.021
33,X,False,43.448,43.76,44.034,43.021,42.637,42.219,42.13,42.616,42.209,42.596,41.987,42.825,43.204,42.529,42.746
34,M,False,42.369,43.847,42.395,42.381,41.93,42.306,41.574,40.541,40.701,40.495,40.716,40.047,39.406,39.493,39.31
35,M,False,33.674,33.349,31.421,32.828,32.827,34.778,34.507,33.51,32.115,31.753,32.207,33.806,32.049,34.401,34.589
36,M,False,37.383,37.251,37.157,36.977,36.986,37.012,36.879,37.008,36.877,36.824,37.16,37.301,37.052,37.105,37.228
37,M,True,43.799,42.844,41.779,42.907,42.411,41.739,41.884,41.99,41.81,42.733,41.734,41.638,42.345,41.979,41.258
38,M,False,27.084,27.317,27.79,27.825,27.895,28.404,28.503,28.082,28.371,28.274,28.43,28.984,28.871,28.71,28.699
39,M,False,40.286,40.577,40.539,41.007,40.88,41.358,41.974,41.934,42.581,42.433,42.613,43.008,42.484,42.283,42.126
40,M,False,33.293,32.987,33.238,33.934,34.209,33.54,33.83,33.837,34.175,34.411,34.346,34.141,34.415,35.58,35.442
41,M,True,53.933,53.747,54.303,54.794,54.908,54.669,55.438,55.02,55.843,55.611,54.576,54.056,54.676,55.48,56.165
42,M,True,60.309,60.268,59.885,59.714,59.757,59.917,59.829,59.765,59.688,59.497,59.474,59.473,59.599,59.766,59.928
43,M,False,37.464,36.63,36.257,36.637,36.888,36.942,37.745,38.222,38.565,38.36,38.048,38.007,37.792,38.554,39.599
44,M,False,58.373,58.245,58.199,58.322,58.267,58.299,58.314,58.088,58.08,58.212,58.143,58.129,57.958,57.866,57.633
45,M,True,48.681,48.513,48.811,48.917,48.908,48.792,48.663,48.464,48.328,48.587,48.309,48.184,48.1,48.105,48.116
46,M,True,49.773,49.745,49.937,50.09,49.96,49.831,49.951,49.885,49.747,49.968,49.964,49.952,50.165,50.095,50.11
47,M,False,47.826,47.382,47.578,47.534,47.714,47.378,47.612,47.51,47.345,47.393,47.497,47.492,47.042,46.997,47.074
48,M,False,49.881,49.839,49.923,50.292,50.117,49.925,50.019,49.997,49.841,49.606,50.012,49.886,50.1,50.192,50.185
49,M,False,51.099,51.352,51.328,51.48,51.867,51.523,51.845,52.291,51.99,52.046,52.17,51.084,51.339,51.682,51.632
50,M,False,33.122,33.477,33.123,32.884,33.072,33.072,33.178,32.924,32.684,32.921,32.786,33.05,33.282,33.168,33.176
51,M,True,45.936,45.657,45.57,45.5,45.436,45.053,44.775,44.488,44.447,44.472,44.549,44.15,44.225,44.195,44.229
