,FLARE_TYPE,COINCIDENCE,MEANGBH_1,MEANGBH_2,MEANGBH_3,MEANGBH_4,MEANGBH_5,MEANGBH_6,MEANGBH_7,MEANGBH_8,MEANGBH_9,MEANGBH_10,MEANGBH_11,MEANGBH_12,MEANGBH_13,MEANGBH_14,MEANGBH_15
0,X,False,77.032,77.983,78.456,77.285,77.846,77.209,76.979,75.615,75.668,75.677,75.705,74.292,74.487,73.89,74.337
1,X,False,72.767,72.836,72.742,72.625,72.476,71.903,71.951,71.819,71.611,70.733,70.66,71.185,70.878,71.055,70.651
2,X,False,43.583,43.314,43.31,43.411,43.413,44.212,44.314,44.205,44.153,44.346,44.235,44.404,44.121,44.297,44.006
3,X,False,68.637,69.47,69.624,69.945,69.497,70.11,71.31,70.927,70.188,70.1,69.802,70.722,70.838,70.673,70.19
4,X,True,69.928,69.586,70.441,70.751,70.922,70.149,70.51,69.82,69.844,69.147,69.491,69.318,69.632,69.656,69.392
5,X,False,39.934,40.32,41.281,40.263,41.194,40.751,40.811,40.672,40.577,40.507,41.048,41.072,40.656,40.766,40.625
6,X,True,43.407,42.791,42.537,42.434,41.737,41.973,42.245,42.072,42.751,42.476,42.608,42.622,43.172,43.715,43.627
7,X,False,59.814,60.255,59.904,60.302,59.895,60.067,60.44,60.837,60.315,60.779,60.331,60.482,60.682,60.807,60.313
8,X,False,60.067,60.44,60.837,60.315,60.779,60.331,60.482,60.682,60.807,60.313,60.153,60.041,59.504,58.999,59.119
9,X,False,56.958,56.773,57.003,57.085,57.313,57.702,57.943,58.21,58.573,59.076,59.271,59.248,59.625,59.644,60.247
10,X,False,39.573,39.463,39.73,39.197,39.719,39.464,39.49,40.768,40.963,41.242,41.374,42.004,42.553,42.452,43.484
11,X,True,49.429,45.02,42.869,38.761,35.353,35.481,33.626,30.971,30.886,31.346,30.315,29.885,30.151,30.789,30.705
12,X,True,50.418,50.548,50.835,50.851,50.882,50.874,51.241,50.841,50.822,50.957,50.85,49.984,49.537,49.41,48.913
13,X,False,35.407,34.687,34.5,34.861,34.72,34.37,34.753,34.359,34.195,33.888,33.738,33.638,33.322,32.988,33.265
14,X,False,49.664,49.558,49.519,49.283,49.522,49.588,49.233,49.592,49.435,49.498,49.816,49.642,49.899,50.117,50.518
15,X,False,65.067,64.835,65.433,65.911,66.286,65.857,65.549,65.149,64.817,64.593,64.127,63.324,62.82,62.39,62.028
16,X,False,66.801,67.613,67.692,67.809,68.519,68.463,68.679,68.908,69.229,69.543,69.802,69.759,69.369,68.807,68.474
17,X,False,45.517,45.372,45.092,44.697,44.45,44.875,44.8,45.0,44.784,44.252,44.336,44.11,44.392,44.314,44.454
18,X,False,57.091,57.434,57.763,58.229,58.611,59.005,59.11,59.437,59.077,59.391,59.427,59.034,59.052,58.475,58.112
19,X,False,21.894,22.405,22.366,22.389,22.851,22.67,22.886,22.887,22.363,21.824,22.786,22.991,22.348,23.938,24.573
20,X,False,34.002,33.589,33.961,34.578,34.815,35.071,35.225,35.254,35.599,35.821,35.833,36.854,37.032,37.741,37.564
21,X,False,35.537,35.819,35.407,36.21,36.717,35.913,37.365,36.743,37.661,38.608,38.231,37.941,38.387,38.28,38.633
22,X,False,35.53,36.956,35.529,37.085,35.66,35.633,35.436,35.715,36.464,36.837,35.472,35.81,35.88,35.92,35.996
23,X,True,59.806,59.724,59.802,59.927,59.76,59.798,59.568,59.549,59.143,58.998,58.599,58.392,58.324,57.948,58.039
24,X,True,54.653,54.574,54.571,54.396,54.151,53.888,53.916,53.864,53.833,53.819,54.033,54.139,54.212,54.019,54.026
25,X,True,49.835,50.002,50.147,50.314,50.554,50.721,50.862,51.038,50.91,50.925,51.035,50.755,50.419,50.164,49.843
26,X,False,47.999,47.512,47.682,47.83,47.714,47.685,48.317,48.467,48.996,49.521,49.743,50.439,50.508,51.129,51.965
27,X,False,54.681,54.694,54.308,54.097,54.124,53.877,53.801,53.757,53.821,53.712,53.855,53.767,53.91,53.843,53.816
28,X,True,57.209,56.84,56.312,56.113,56.536,57.481,57.781,58.074,58.883,59.933,60.962,61.966,62.251,62.781,63.102
29,X,False,42.29,41.744,44.034,42.796,53.705,40.268,36.808,33.895,32.327,30.482,30.866,31.482,31.618,31.095,31.929
30,X,True,74.477,75.662,74.949,74.852,74.526,74.188,74.256,74.826,74.013,74.403,75.308,75.253,75.175,75.054,75.674
31,X,True,75.674,75.092,74.88,74.591,74.171,74.436,74.477,74.116,73.992,73.054,74.334,74.15,73.62,73.759,73.696
32,X,False,73.185,74.428,74.397,73.623,74.297,74.668,73.863,73.292,73.713,75.045,74.286,74.417,74.722,74.369,73.832
33,X,False,38.984,39.558,39.402,39.114,38.879,40.53,40.141,39.554,39.588,38.472,37.65,37.855,37.093,37.54,38.219
34,M,False,62.333,62.781,62.429,61.171,61.188,60.876,61.378,60.703,61.127,61.566,62.524,61.423,63.167,63.936,63.102
35,M,False,48.468,46.638,48.74,50.162,49.295,48.858,47.116,44.778,44.561,44.841,44.347,43.214,45.003,43.606,43.587
36,M,False,39.771,39.371,39.346,39.4,38.819,38.981,38.73,38.951,39.222,39.686,39.466,39.769,40.125,40.357,41.094
