,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15
0,X,False,0.022205,0.021724,0.022539,0.023239,0.024222,0.023233,0.023516,0.023874,0.024104,0.023511,0.024399,0.024345,0.023762,0.023774,0.023181
1,X,False,-0.0036212,-0.0037767,-0.0037094,-0.0030731,-0.0026788,-0.0031772,-0.0034954,-0.0033839,-0.0033109,-0.0036003,-0.0035588,-0.0038925,-0.0037955,-0.0036588,-0.0042898
2,X,False,0.014918,0.014699,0.014306,0.014452,0.014625,0.014985,0.014894,0.015452,0.015311,0.015436,0.015486,0.015837,0.015543,0.015458,0.015603
3,X,False,0.006875,0.006112,0.0059356,0.0061404,0.0065258,0.0058851,0.0060678,0.0056883,0.0059153,0.0051044,0.005381,0.0074065,0.0062071,0.0073228,0.0057741
4,X,True,0.014583,0.016122,0.016697,0.01694,0.017502,0.016689,0.01741,0.017551,0.018187,0.018166,0.018761,0.018381,0.018528,0.018143,0.017456
5,X,False,0.0011629,0.0021336,-0.00037754,0.0011515,0.0011015,0.00055166,0.00024627,0.00079262,0.00073111,0.00049679,0.0012203,0.00075533,0.00081466,0.001262,0.0014914
6,X,True,-0.020673,-0.019924,-0.020424,-0.020339,-0.021371,-0.020168,-0.021251,-0.020736,-0.020737,-0.022603,-0.021677,-0.021321,-0.021134,-0.022053,-0.022586
7,X,False,-0.033816,-0.03346,-0.032106,-0.032672,-0.032561,-0.031694,-0.033009,-0.032496,-0.031975,-0.032008,-0.031481,-0.031985,-0.032647,-0.032105,-0.031374
8,X,False,-0.031694,-0.033009,-0.032496,-0.031975,-0.032008,-0.031481,-0.031985,-0.032647,-0.032105,-0.031374,-0.031293,-0.030815,-0.030465,-0.030643,-0.029413
9,X,False,0.0095649,0.0095283,0.0095258,0.0098069,0.0095646,0.0097648,0.00983,0.010058,0.010259,0.010167,0.010054,0.010618,0.010714,0.010963,0.011221
10,X,False,-0.004922,-0.0095317,-0.008448,-0.007431,-0.0095639,-0.010024,-0.021119,-0.010747,-0.011063,-0.022133,-0.011239,-0.022146,-0.011593,-0.0099597,-0.0078664
11,X,True,0.00066591,0.0018514,0.0026573,0.0010243,0.0016997,2.3025e-05,0.0020141,0.0013774,0.0025724,0.0021338,0.001605,0.0012581,0.0012844,0.001297,0.0018168
12,X,True,-0.010708,-0.010774,-0.011211,-0.011213,-0.011614,-0.010797,-0.010595,-0.010395,-0.010488,-0.010229,-0.011851,-0.010845,-0.0099195,-0.010103,-0.0094348
13,X,False,-0.0044399,-0.00407,-0.0020353,-0.0027942,-0.0017931,-0.0025972,-0.00143,-0.0018489,-0.0017924,-0.0029113,-0.0037936,-0.0036315,-0.0019009,-0.0026821,-0.0032386
14,X,False,0.010704,0.010827,0.010799,0.010854,0.011938,0.011943,0.012339,0.012707,0.011799,0.011418,0.012409,0.011997,0.012149,0.012098,0.012473
15,X,False,0.0084404,0.0081428,0.0078152,0.0091983,0.0083803,0.0077028,0.007764,0.0081991,0.0077661,0.0077719,0.0077758,0.0076521,0.0073889,0.007344,0.007353
16,X,False,0.0097552,0.011344,0.011755,0.011532,0.012172,0.012182,0.011876,0.01161,0.011374,0.011527,0.011413,0.011214,0.011631,0.011146,0.011068
17,X,False,0.0087187,0.0089337,0.0092435,0.0087867,0.0088053,0.0088081,0.0085263,0.0087526,0.0086766,0.0088011,0.0086762,0.0081218,0.0084506,0.0087916,0.0087493
18,X,False,0.013756,0.013999,0.014159,0.014613,0.014998,0.015436,0.015729,0.01575,0.015742,0.015818,0.016188,0.015693,0.015728,0.015018,0.015115
19,X,False,0.00024922,-2.4541e-05,3.1736e-05,0.0004371,0.00024753,-0.00015752,0.0004254,0.00034504,4.4533e-05,0.00014333,0.00067253,0.00040785,0.00034967,-0.00037666,-0.00063892
20,X,False,0.0038556,0.0031738,0.0043151,0.0041996,0.0045109,0.0046258,0.0045331,0.0042038,0.0039802,0.0043853,0.0023413,0.0038824,0.0036041,0.0029575,0.0015509
21,X,False,0.018434,0.019108,0.02214,0.019958,0.019073,0.01939,0.0191,0.021025,0.020403,0.019395,0.017377,0.018727,0.018232,0.019614,0.018546
22,X,False,-0.0062506,0.00014976,-0.0058481,0.0007632,-0.0056829,-0.0054376,-0.0050429,-0.0054671,0.0010671,0.0005005,-0.0048862,-0.0047302,-0.0045878,-0.0046858,-0.0044799
23,X,True,-0.0059824,-0.0057342,-0.0061871,-0.0063538,-0.0061374,-0.0062951,-0.0059667,-0.0062029,-0.0061624,-0.0056659,-0.0053108,-0.005421,-0.0055498,-0.0053166,-0.0050888
24,X,True,-0.0020418,-0.0020319,-0.0018199,-0.0020982,-0.0020946,-0.0020769,-0.0019749,-0.0020556,-0.0020565,-0.0021601,-0.0022331,-0.0021158,-0.0022513,-0.0020882,-0.0021291
25,X,True,-0.00025176,-8.36e-05,-0.00030012,-0.00021518,-0.00023822,-0.00021943,-0.00029999,-0.00026131,-0.00039528,0.00010911,0.0002436,0.00037852,0.00023647,0.00044107,0.00053778
26,X,False,0.021382,0.021503,0.020623,0.020972,0.021413,0.021942,0.021977,0.02288,0.023669,0.024172,0.025075,0.025629,0.025423,0.025943,0.027062
27,X,False,0.0076518,0.0077101,0.0075538,0.0075152,0.0073377,0.0071992,0.0070574,0.0072059,0.0073566,0.0069604,0.007105,0.0068243,0.0066264,0.0066117,0.0064202
28,X,True,0.039084,0.038283,0.038009,0.037844,0.038609,0.039391,0.040136,0.041341,0.043606,0.044144,0.045821,0.045585,0.046331,0.047211,0.047049
