,FLARE_TYPE,COINCIDENCE,SHRGT45_1,SHRGT45_2,SHRGT45_3,SHRGT45_4,SHRGT45_5,SHRGT45_6,SHRGT45_7,SHRGT45_8,SHRGT45_9,SHRGT45_10,SHRGT45_11,SHRGT45_12,SHRGT45_13,SHRGT45_14,SHRGT45_15
0,X,False,55.174,54.882,54.821,55.433,55.593,55.865,55.842,56.092,56.363,56.608,57.108,57.33,57.33,57.984,57.877
1,X,False,55.66,55.631,55.423,54.975,55.123,54.939,55.317,55.289,55.08,55.157,55.215,54.815,54.922,54.555,54.627
2,X,False,33.172,33.547,33.902,33.937,33.86,33.437,33.668,33.601,33.763,33.974,34.052,34.195,34.383,33.8,34.208
3,X,False,42.602,42.655,43.072,42.583,43.507,43.313,42.822,42.849,43.0,43.551,43.551,43.058,43.096,42.792,43.301
4,X,True,37.082,36.709,36.529,36.374,35.829,35.829,35.423,35.682,35.441,35.921,36.032,36.088,36.198,35.607,35.698
5,X,False,40.261,39.492,39.747,39.218,39.299,39.356,39.193,38.573,38.697,38.477,38.547,38.144,38.115,37.942,38.05
6,X,True,44.289,44.744,45.286,44.338,44.448,43.944,43.299,43.667,42.289,42.537,42.738,43.604,43.185,41.978,41.848
7,X,False,45.871,45.651,45.66,46.562,46.167,46.158,46.386,45.643,46.15,46.067,46.381,46.257,46.581,46.288,46.072
8,X,False,46.158,46.386,45.643,46.15,46.067,46.381,46.257,46.581,46.288,46.072,45.94,46.541,46.268,45.855,46.197
9,X,False,45.404,45.809,45.863,46.051,46.246,46.403,46.49,46.402,46.328,46.496,46.72,46.903,46.669,46.543,46.347
10,X,False,37.485,35.289,35.719,34.736,35.351,35.752,34.946,34.66,33.601,33.855,34.81,34.154,34.008,33.174,33.682
11,X,True,50.854,47.141,47.0,46.791,47.992,48.562,49.866,44.943,45.671,45.296,44.792,44.444,47.658,43.574,43.114
12,X,True,31.767,31.243,31.072,31.775,32.037,31.914,31.395,31.34,31.194,31.031,31.215,30.904,29.961,29.924,29.665
13,X,False,30.339,30.642,30.539,30.485,30.813,30.886,31.44,31.333,31.04,31.332,31.569,31.692,31.53,31.292,31.77
14,X,False,33.748,33.614,33.657,33.645,33.508,33.26,33.296,33.302,33.088,33.128,32.782,32.832,32.855,32.789,32.956
15,X,False,44.852,44.917,44.772,44.838,45.2,45.298,45.443,45.747,45.538,45.716,46.05,46.001,45.865,45.702,45.929
16,X,False,44.647,44.663,45.096,45.138,44.961,45.399,45.482,45.68,45.696,45.924,45.721,45.826,46.038,46.483,46.19
17,X,False,23.587,23.6,23.446,24.2,23.524,23.339,24.044,23.918,24.178,23.834,23.925,23.825,23.938,23.641,23.979
18,X,False,50.851,51.036,50.854,50.73,51.009,50.864,51.182,51.234,51.4,51.063,50.62,50.546,50.315,50.409,50.824
19,X,False,1.0121,1.2916,0.58131,0.80114,1.2225,2.5651,1.7765,1.0789,2.3818,1.9309,3.3277,3.7696,4.4556,4.8141,6.5926
20,X,False,14.163,13.513,13.64,13.809,13.199,12.693,12.45,13.395,13.968,13.161,13.425,13.425,13.046,13.485,12.275
21,X,False,47.12,44.666,43.844,43.835,43.838,42.868,41.108,41.957,41.336,40.662,40.325,41.241,39.062,40.287,37.637
22,X,False,35.096,35.57,34.604,35.646,34.051,33.743,33.896,33.602,34.773,34.403,32.78,32.516,32.107,31.698,32.067
23,X,True,46.875,46.827,46.814,46.684,46.632,46.63,46.579,46.249,46.154,46.197,45.93,46.024,46.086,46.087,46.045
24,X,True,44.723,44.62,44.48,44.267,44.155,44.031,44.07,43.922,43.883,43.762,43.567,43.541,43.6,43.311,43.304
25,X,True,34.747,34.955,35.126,35.011,35.148,35.191,35.205,35.11,35.194,35.078,34.834,34.948,34.873,34.744,34.496
26,X,False,23.116,22.964,23.207,22.757,23.192,23.232,23.282,23.125,23.127,23.272,23.32,23.225,23.278,23.164,23.415
27,X,False,30.249,29.926,29.763,29.865,29.581,29.743,29.452,29.492,29.559,29.412,29.232,29.321,29.219,29.19,29.2
28,X,True,33.907,33.951,34.274,34.568,34.749,34.213,34.374,34.529,35.134,34.809,34.837,34.778,34.751,35.149,34.886
29,X,False,42.26,38.209,41.84,47.754,54.876,47.31,50.521,51.386,49.922,51.503,50.485,48.805,48.437,46.653,46.499
30,X,True,55.835,55.088,54.914,54.337,54.181,54.078,54.562,54.059,54.48,54.246,54.17,54.374,54.492,53.876,53.726
31,X,True,53.726,54.154,53.413,53.681,53.638,53.472,53.307,53.911,53.764,53.962,53.55,53.461,53.69,53.805,53.414
32,X,False,43.227,42.628,42.851,43.142,43.171,42.672,42.476,42.577,42.978,42.394,42.464,42.548,42.358,42.159,42.065
33,X,False,32.038,33.538,34.234,32.676,32.697,31.106,31.311,32.364,31.546,32.302,30.703,32.73,33.542,32.232,32.681
34,M,False,22.29,25.269,22.848,23.368,22.147,23.874,22.316,21.853,21.17,21.294,22.077,20.848,18.653,19.432,21.6
35,M,False,11.591,10.192,8.1388,13.021,9.4622,16.41,18.049,12.219,9.8171,8.7544,11.502,19.412,10.584,19.237,20.076
36,M,False,20.048,19.783,19.619,19.28,19.492,19.895,19.564,19.959,20.414,20.13,20.792,20.998,20.996,21.159,21.506
37,M,True,35.195,27.637,29.011,28.275,24.941,22.352,24.429,26.357,25.977,32.979,24.97,24.667,26.944,26.223,22.743
38,M,False,7.0934,7.4926,8.1988,7.9103,8.0957,8.3324,8.0957,7.2933,7.946,7.424,7.7249,8.3034,8.0588,7.8195,7.6059
39,M,False,25.151,24.858,24.645,25.798,25.852,26.467,27.352,26.635,27.409,27.024,27.556,28.109,27.516,27.827,28.113
40,M,False,12.052,11.46,12.067,13.419,14.185,12.707,12.738,12.859,13.074,13.879,13.483,13.056,14.243,15.591,16.251
41,M,True,34.527,34.474,36.696,36.821,38.027,37.107,37.428,38.467,39.017,39.216,37.703,36.783,37.624,38.47,40.217
42,M,True,55.601,55.719,54.749,54.281,54.276,54.881,54.415,54.522,54.16,54.229,54.158,54.029,54.532,54.864,55.391
43,M,False,15.743,14.595,14.093,14.531,14.733,14.893,16.979,17.42,18.476,18.489,17.787,17.427,17.566,18.562,20.499
44,M,False,57.563,57.33,57.385,57.301,57.33,57.099,57.334,57.027,56.911,57.21,57.151,57.1,56.896,56.693,56.396
45,M,True,38.989,38.628,39.09,39.034,39.064,38.951,38.624,38.517,38.131,38.503,38.144,37.905,37.609,37.265,37.535
46,M,True,38.75,38.807,39.064,38.913,39.295,38.858,39.049,38.52,38.254,38.279,38.78,38.977,39.299,39.45,38.858
47,M,False,37.211,36.295,36.641,37.011,36.946,36.416,36.521,36.576,36.297,36.585,37.052,36.929,36.382,36.328,36.619
48,M,False,39.516,39.289,38.967,39.311,39.518,39.637,39.299,39.206,38.077,37.729,38.75,38.401,38.76,38.493,38.646
49,M,False,40.173,40.602,40.599,40.283,40.47,40.515,40.234,40.993,40.874,41.347,41.296,40.037,40.517,40.745,40.557
50,M,False,13.978,14.615,14.168,13.856,14.508,14.092,14.449,13.854,13.718,14.031,13.827,14.055,14.426,14.052,14.213
51,M,True,36.735,36.279,36.342,35.838,35.669,34.951,34.573,34.306,34.17,34.306,34.341,33.733,33.67,33.55,33.9
52,M,True,21.731,21.506,22.722,21.15,21.388,22.071,22.013,21.221,21.908,21.558,20.786,20.397,21.028,22.217,21.921
53,M,False,33.897,34.062,34.693,35.3,35.568,35.793,35.893,35.443,35.709,35.875,35.01,34.78,34.513,34.71,34.584
54,M,False,35.893,35.443,35.709,35.875,35.01,34.78,34.513,34.71,34.584,34.201,33.936,32.931,32.572,31.988,31.702
55,M,False,43.795,44.674,44.805,44.451,44.178,43.837,43.734,44.104,43.538,43.954,43.935,43.844,44.246,43.484,43.469
56,M,False,29.368,29.634,29.044,29.303,28.823,29.252,29.406,29.736,29.818,29.461,29.503,29.939,29.885,28.789,28.424
57,M,True,24.927,24.723,24.283,24.092,24.801,25.066,23.678,24.193,23.708,23.942,23.231,24.062,24.207,24.613,24.88
58,M,False,24.023,23.689,23.87,23.973,23.309,23.482,23.582,23.479,23.529,24.797,24.169,23.878,24.354,24.475,24.479
59,M,False,25.453,25.815,26.466,26.56,26.678,26.423,26.003,26.254,26.002,26.603,27.085,26.923,27.62,27.514,27.687
60,M,False,28.427,28.858,28.257,28.391,27.402,28.035,28.12,27.794,28.468,28.519,28.924,29.024,29.517,29.93,29.651
61,M,False,28.468,28.519,28.924,29.024,29.517,29.93,29.651,29.328,27.868,28.433,28.005,28.651,28.382,33.576,28.282
62,M,True,57.592,57.191,57.057,57.023,57.026,57.278,56.756,56.885,56.742,56.765,57.009,57.03,57.019,57.129,56.861
63,M,False,57.129,56.861,56.632,56.759,56.932,57.094,57.573,57.419,57.324,57.489,57.495,57.553,57.862,57.895,57.807
64,M,True,29.177,28.782,29.286,27.923,28.802,28.96,29.159,28.754,28.768,29.094,28.013,28.381,27.501,27.431,27.586
65,M,False,23.992,25.226,25.672,24.903,24.903,24.79,24.545,25.92,25.712,25.588,25.837,25.785,25.569,26.533,26.416
66,M,False,51.984,52.135,53.131,52.662,51.958,51.952,51.619,52.449,52.103,51.496,51.432,51.814,51.368,51.67,50.426
67,M,False,29.237,29.2,28.227,29.499,29.202,28.512,28.687,27.835,28.272,28.14,27.999,28.098,28.519,28.186,28.939
68,M,False,23.449,23.367,23.347,23.408,23.701,23.605,23.608,23.332,23.624,23.282,23.261,23.061,22.601,22.683,22.893
69,M,False,34.375,34.563,34.417,34.446,34.702,35.104,35.013,35.08,35.121,34.68,34.677,34.557,34.471,34.708,35.311
70,M,True,14.127,13.48,13.954,13.069,14.144,13.762,13.641,14.248,13.204,13.383,13.419,13.368,13.474,13.833,13.257
71,M,False,14.331,14.141,13.846,14.432,14.031,14.435,13.843,14.367,13.845,14.245,14.061,14.005,14.742,14.609,14.308
72,M,True,44.718,41.239,42.572,44.536,41.929,43.585,41.738,41.124,41.329,42.393,42.828,43.052,42.071,41.588,39.791
73,M,False,35.492,35.308,34.993,33.899,35.992,33.542,32.896,32.958,33.517,33.641,33.56,34.001,33.719,33.234,33.117
74,M,False,13.395,13.725,13.5,13.888,13.498,13.823,13.184,13.184,13.409,13.175,13.467,13.485,12.966,12.881,12.951
75,M,False,41.327,41.247,40.395,40.394,40.201,40.752,41.396,39.789,39.063,39.118,37.635,38.487,36.179,38.05,37.913
76,M,False,16.154,17.486,18.86,18.834,19.248,19.452,19.122,18.721,19.872,19.846,20.162,20.187,19.99,19.997,19.767
77,M,False,31.104,30.995,30.893,31.471,31.356,31.307,31.847,31.567,31.791,31.944,32.38,33.202,32.682,32.649,32.494
78,M,True,46.348,45.972,45.259,45.283,45.302,45.186,45.652,45.945,46.174,46.593,47.154,46.656,45.876,46.54,46.422
79,M,True,47.058,46.949,46.953,46.677,46.457,45.89,46.389,46.336,46.112,45.95,45.774,45.894,45.354,44.879,44.805
80,M,False,61.867,62.052,62.381,62.093,62.0,62.264,62.262,62.689,62.762,63.021,63.156,63.839,63.753,64.089,64.043
81,M,True,43.818,43.996,44.035,44.09,43.594,44.055,43.821,44.221,44.489,44.102,44.062,44.826,45.191,45.832,45.542
82,M,False,43.641,43.817,43.44,43.036,42.988,42.922,42.542,42.228,42.385,42.592,41.84,41.608,41.556,41.487,40.387
83,M,True,40.606,40.28,39.695,39.279,39.412,39.013,38.767,38.44,37.875,38.232,38.582,37.921,38.562,38.268,38.405
84,M,False,34.915,34.585,34.444,34.492,34.844,34.649,34.865,35.033,34.5,34.532,34.152,34.093,33.825,33.816,33.18
85,M,True,15.185,15.325,15.745,15.902,16.32,16.351,15.835,16.378,16.215,16.178,15.833,15.374,14.76,14.964,15.038
86,M,False,13.368,12.767,12.367,12.359,11.968,12.052,11.947,11.862,11.655,11.567,11.075,11.597,11.402,11.277,11.476
87,M,False,11.42,11.89,12.029,11.891,11.798,11.976,12.092,12.148,12.306,11.951,12.136,11.956,11.896,11.763,11.497
88,M,True,39.436,39.801,38.619,38.633,38.687,38.477,38.566,38.559,38.337,38.737,38.395,38.542,38.342,37.892,38.147
89,M,True,33.217,33.466,33.379,33.879,34.24,34.604,34.187,33.726,33.684,33.594,33.709,34.283,33.884,33.627,33.448
90,M,False,26.34,26.502,26.466,26.53,27.088,26.955,27.788,27.467,28.205,28.132,28.082,28.407,28.785,28.796,28.744
91,M,True,29.406,29.197,28.767,28.729,28.614,28.532,28.731,28.341,28.381,28.147,27.786,27.648,26.935,26.645,26.264
92,M,False,20.911,20.833,21.734,21.243,22.081,21.302,21.73,21.785,21.021,21.195,20.931,20.634,21.225,21.275,21.556
93,M,False,11.756,11.97,12.092,11.646,11.428,11.213,11.176,11.37,11.336,11.408,11.602,11.54,10.822,11.031,11.099
94,M,True,21.83,22.444,22.433,22.247,21.886,22.212,22.192,22.556,22.19,21.867,21.638,20.842,20.857,20.978,19.93
95,M,True,17.739,17.386,17.542,17.348,17.08,16.82,17.205,17.099,17.272,17.214,16.993,17.037,17.151,17.198,16.791
96,M,True,40.957,40.676,40.377,40.695,40.498,41.187,40.288,40.442,39.796,39.85,40.575,40.242,40.42,40.768,40.593
97,M,False,37.378,37.541,37.14,37.674,37.655,38.16,38.438,37.787,38.296,37.071,37.846,38.148,37.632,37.459,38.065
98,M,False,20.504,20.932,20.995,21.016,20.364,20.224,20.474,19.708,19.662,19.796,20.092,19.444,20.114,20.311,20.226
99,M,True,38.473,37.955,37.797,38.799,38.689,38.66,39.305,40.22,38.758,40.652,39.968,40.284,39.735,41.079,39.747
100,M,False,38.799,38.689,38.66,39.305,40.22,38.758,40.652,39.968,40.284,39.735,41.079,39.747,40.485,40.319,41.335
101,M,False,40.652,39.968,40.284,39.735,41.079,39.747,40.485,40.319,41.335,42.259,41.286,41.252,40.594,40.482,41.035
102,M,False,40.485,40.319,41.335,42.259,41.286,41.252,40.594,40.482,41.035,41.089,40.495,40.603,40.223,41.107,40.512
103,M,False,41.027,41.137,41.7,41.479,41.685,41.833,42.361,42.368,42.206,42.277,42.423,42.455,41.965,42.605,42.388
104,M,True,46.38,46.783,47.414,46.131,46.488,46.506,47.5,46.685,45.398,45.953,46.148,46.148,45.736,45.658,45.292
105,M,False,23.885,23.09,23.033,24.564,22.876,22.923,24.712,25.336,25.484,27.047,28.469,27.705,28.521,28.365,27.971
106,M,False,51.636,52.174,51.95,52.377,52.61,52.423,52.584,52.474,52.476,51.648,51.768,51.237,50.861,51.049,51.159
107,M,False,62.384,62.593,62.681,62.454,62.568,62.448,62.309,62.136,61.685,61.546,61.204,61.119,60.717,60.277,59.949
108,M,True,51.554,52.168,52.255,52.366,51.579,51.591,50.626,49.741,49.06,49.089,49.692,49.161,48.921,49.014,48.717
109,M,True,54.687,53.683,54.744,56.382,55.511,55.774,56.343,56.657,56.976,57.004,57.81,57.989,58.282,57.316,57.55
110,M,False,57.218,56.169,55.896,55.541,56.136,56.497,56.452,56.91,56.89,56.983,56.702,56.604,56.481,56.347,55.919
111,M,False,40.447,40.675,41.29,40.842,40.785,39.901,39.301,38.88,38.606,39.312,38.743,39.508,39.802,39.628,39.588
112,M,False,18.132,18.294,18.142,17.991,18.209,18.141,17.897,18.112,18.264,18.229,18.423,18.543,18.497,18.731,18.821
113,M,False,20.053,20.142,19.907,19.791,19.727,19.947,20.02,19.902,20.039,20.271,20.2,20.638,20.529,20.642,20.819
114,M,True,51.965,51.177,51.504,50.197,49.99,48.929,49.695,48.532,49.131,48.924,48.931,48.171,48.53,48.4,48.447
115,M,True,45.328,44.591,44.868,44.735,42.94,43.452,42.842,42.446,42.269,43.26,42.596,42.528,42.308,42.049,42.439
116,M,True,37.556,37.604,38.235,37.296,37.653,37.292,37.363,37.49,37.935,37.758,38.256,37.648,37.634,37.753,37.418
117,M,True,38.202,38.016,38.301,37.586,37.239,37.396,37.057,37.941,37.044,37.628,37.629,37.45,37.134,36.791,36.962
118,M,True,37.111,37.286,37.69,37.582,37.748,37.614,37.587,37.646,37.56,37.667,37.46,37.435,37.744,37.787,37.515
119,M,True,37.023,36.926,37.237,37.235,37.186,37.106,37.15,36.888,37.033,37.044,36.909,36.776,36.836,37.002,36.603
120,M,False,37.55,37.571,37.57,37.837,37.76,37.668,37.393,37.513,37.692,37.591,37.472,37.364,37.645,37.459,37.474
121,M,False,37.718,38.093,38.082,38.504,38.691,38.813,38.751,38.768,38.737,38.669,38.685,39.075,39.061,39.009,39.108
122,M,False,39.212,39.45,39.621,39.725,39.693,39.322,39.693,39.571,39.848,39.579,39.613,39.944,40.062,39.803,39.983
123,M,False,23.12,22.802,22.589,22.821,22.847,22.886,22.417,22.367,21.932,22.278,21.87,21.735,21.66,21.395,21.378
124,M,True,21.848,21.775,21.354,20.895,21.237,21.827,20.969,21.352,20.926,20.599,20.696,20.153,19.774,19.642,19.784
125,M,False,11.27,11.203,11.289,11.22,11.208,11.176,11.202,12.069,11.51,11.707,12.245,12.034,11.775,11.751,11.566
126,M,False,17.579,17.135,16.194,16.484,16.728,16.946,17.203,16.523,16.129,16.398,16.172,16.378,17.379,18.359,18.056
127,M,True,24.022,23.374,22.738,24.158,24.879,23.68,24.289,25.406,27.071,26.585,24.947,27.053,28.63,28.679,27.991
128,M,False,39.103,39.655,38.888,38.669,38.873,38.727,37.898,39.481,38.775,39.078,40.017,39.628,40.112,39.459,39.017
129,M,True,20.292,20.185,19.097,19.644,19.248,19.473,18.606,18.3,17.973,18.987,18.486,17.885,18.281,17.888,18.198
130,M,False,17.853,17.934,18.241,17.827,18.839,18.464,18.009,17.007,17.748,17.927,18.035,17.605,17.806,17.518,18.134
131,M,False,17.612,18.347,17.915,17.852,17.642,17.836,17.846,17.518,17.726,17.916,17.95,17.911,18.211,17.683,17.464
132,M,True,20.541,20.532,20.861,20.547,20.575,20.576,20.437,20.774,20.633,20.552,21.021,20.726,20.965,20.916,21.142
133,M,False,21.419,21.223,21.059,21.156,20.836,21.051,20.547,20.609,21.143,20.948,21.46,21.746,21.211,21.552,21.26
134,M,False,28.528,28.313,28.655,28.603,28.821,28.563,28.648,28.058,28.628,28.338,28.316,28.429,28.357,28.266,28.411
135,M,False,30.166,34.403,34.105,30.526,30.264,30.755,30.805,31.124,30.839,31.205,31.007,31.067,30.774,30.572,30.653
136,M,False,32.191,31.963,31.68,31.38,31.586,31.539,31.329,31.261,31.109,31.236,31.053,30.93,30.584,30.67,30.504
137,M,False,16.039,16.571,16.696,17.192,17.698,17.112,17.556,18.219,17.839,18.216,18.75,19.145,18.956,20.187,19.656
138,M,True,48.208,51.374,48.12,48.826,49.392,48.249,48.452,48.99,48.909,47.958,47.494,47.697,45.687,47.39,45.809
139,M,True,37.518,38.485,38.211,37.003,37.491,37.118,37.869,37.507,38.702,38.577,38.793,39.079,39.868,39.025,39.301
140,M,False,38.485,38.211,37.003,37.491,37.118,37.869,37.507,38.702,38.577,38.793,39.079,39.868,39.025,39.301,38.845
141,M,False,38.966,38.83,38.425,39.355,39.443,39.493,39.864,39.838,39.711,39.925,39.271,39.041,38.998,38.614,38.865
142,M,True,39.271,39.041,38.998,38.614,38.865,39.485,39.212,39.294,39.66,40.032,40.406,40.295,40.067,40.534,40.078
143,M,False,39.212,39.294,39.66,40.032,40.406,40.295,40.067,40.534,40.078,40.128,39.952,39.955,39.695,39.883,40.296
144,M,False,39.695,39.883,40.296,39.412,39.648,40.39,40.088,39.064,39.802,40.417,39.881,39.686,40.599,40.562,39.941
145,M,False,40.611,41.143,40.581,41.654,41.745,41.71,41.998,40.649,40.227,40.134,40.103,40.486,40.772,40.847,40.211
146,M,False,41.305,41.601,41.422,41.046,40.728,41.529,41.376,40.984,41.722,42.365,42.173,42.521,42.29,41.368,41.321
147,M,False,44.474,44.821,44.729,45.559,45.503,45.937,45.871,45.651,45.66,46.562,46.167,46.158,46.386,45.643,46.15
148,M,False,51.411,51.709,51.824,52.052,52.326,52.154,52.362,51.982,51.799,51.758,51.875,51.721,51.501,51.423,51.578
149,M,False,46.644,45.953,45.753,45.79,44.967,45.41,45.077,45.044,45.063,45.148,45.058,44.742,44.636,44.386,44.587
150,M,False,26.248,25.919,25.599,25.653,25.496,25.105,25.665,25.491,25.816,25.831,25.744,25.862,25.978,26.042,26.09
151,M,True,21.203,21.286,22.093,22.025,23.044,21.752,20.87,20.612,20.978,20.982,21.013,20.285,21.037,20.464,18.952
152,M,False,18.16,19.128,19.432,19.569,20.15,19.611,18.279,18.348,18.18,18.586,19.488,18.422,18.121,18.585,18.145
153,M,False,41.266,40.546,40.76,40.683,40.568,40.886,40.146,40.472,40.921,41.72,41.639,41.21,41.054,40.587,40.152
154,M,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,M,False,29.871,29.501,29.546,29.219,29.756,29.726,29.187,29.02,28.668,28.417,28.106,28.567,28.337,29.278,28.246
156,M,True,35.746,35.431,35.415,35.956,34.955,34.539,35.525,35.547,35.416,35.835,36.061,35.826,35.951,35.505,35.663
157,M,True,39.603,39.496,39.753,39.556,39.181,39.452,39.157,39.317,39.115,39.596,38.558,39.057,38.933,39.019,39.344
158,M,False,39.115,39.596,38.558,39.057,38.933,39.019,39.344,39.304,39.129,39.423,39.337,39.102,39.512,39.665,39.334
159,M,False,41.413,41.434,41.312,41.756,42.156,42.391,42.493,42.313,42.428,42.311,42.352,41.738,42.207,42.389,42.29
160,M,False,44.767,44.488,44.667,44.932,45.342,44.824,44.975,45.071,45.195,45.353,45.279,45.64,45.836,45.817,45.996
161,M,False,18.045,18.507,18.227,17.934,18.407,17.812,17.869,18.449,18.261,18.459,17.561,17.924,17.981,17.709,17.078
162,M,False,11.633,11.537,11.687,11.494,11.303,11.465,11.765,11.857,11.699,11.578,11.818,11.591,11.785,11.577,11.894
163,M,True,0.0,0.0,0.0,0.0,0.0,0.0,35.417,34.694,17.021,15.06,6.6298,15.882,13.737,17.768,11.86
164,M,False,29.139,33.133,33.102,25.945,25.712,24.424,22.48,23.632,25.976,23.546,23.841,23.997,22.769,19.229,19.985
165,M,False,23.883,24.511,23.321,25.243,23.272,23.378,24.066,24.762,25.763,24.618,25.108,25.089,26.428,25.737,24.497
166,M,False,43.042,43.464,43.753,44.162,44.076,43.412,44.082,44.63,43.825,44.486,44.592,44.739,45.343,45.457,45.086
167,M,True,23.374,23.7,23.817,23.659,23.056,24.942,23.506,23.648,25.468,24.455,23.958,23.939,23.328,23.105,23.492
168,M,False,22.152,22.975,22.682,22.543,22.317,21.741,21.949,21.808,21.974,21.816,21.427,21.16,21.028,22.149,22.559
169,M,True,17.272,17.195,17.313,17.359,17.691,17.95,17.815,17.441,17.974,18.176,18.209,18.169,18.176,18.989,18.847
