,FLARE_TYPE,COINCIDENCE,MEANPOT_1,MEANPOT_2,MEANPOT_3,MEANPOT_4,MEANPOT_5,MEANPOT_6,MEANPOT_7,MEANPOT_8,MEANPOT_9,MEANPOT_10,MEANPOT_11,MEANPOT_12,MEANPOT_13,MEANPOT_14,MEANPOT_15,MEANPOT_16,MEANPOT_17,MEANPOT_18,MEANPOT_19,MEANPOT_20
0,X,False,15349.0,15533.0,15759.0,15681.0,15720.0,15735.0,15749.0,15710.0,15815.0,15832.0,15739.0,15651.0,15552.0,15571.0,15584.0,15604.0,15551.0,15556.0,15360.0,15299.0
1,X,False,15412.0,15445.0,15265.0,15235.0,15166.0,15178.0,15090.0,15063.0,15159.0,14974.0,14997.0,14997.0,15013.0,14999.0,15020.0,14996.0,14997.0,14793.0,14987.0,15198.0
2,X,False,9899.8,9830.8,9886.4,9947.1,9971.9,10158.0,10188.0,10337.0,10405.0,10529.0,10483.0,10569.0,10533.0,10502.0,10430.0,10346.0,10268.0,10277.0,10176.0,10015.0
3,X,False,8343.0,8419.1,8420.2,8420.8,8547.5,8669.2,8894.0,8918.3,8870.3,9051.5,9074.7,9190.3,9327.2,9238.9,9207.6,9166.8,9307.9,9248.4,9540.9,9692.2
4,X,True,10300.0,10281.0,10439.0,10687.0,10940.0,10822.0,10955.0,10935.0,10968.0,10912.0,10913.0,10927.0,11034.0,10907.0,10880.0,11005.0,10925.0,10770.0,10875.0,10743.0
5,X,False,13658.0,13554.0,13999.0,13661.0,14048.0,13899.0,13799.0,13715.0,13606.0,13517.0,13539.0,13511.0,13539.0,13485.0,13470.0,13463.0,13467.0,13477.0,13483.0,13493.0
6,X,True,15410.0,15383.0,15478.0,15239.0,15160.0,15080.0,14686.0,14848.0,14635.0,14658.0,14780.0,15023.0,14834.0,14880.0,14875.0,14827.0,14747.0,14775.0,14791.0,14651.0
7,X,False,18090.0,18193.0,18207.0,18276.0,18218.0,18211.0,18190.0,18013.0,18155.0,17909.0,17933.0,18014.0,18168.0,18035.0,17933.0,17783.0,17804.0,17486.0,17385.0,17270.0
8,X,False,18211.0,18190.0,18013.0,18155.0,17909.0,17933.0,18014.0,18168.0,18035.0,17933.0,17783.0,17804.0,17486.0,17385.0,17270.0,16987.0,16821.0,16794.0,16728.0,16713.0
9,X,False,11917.0,11971.0,11998.0,12072.0,12153.0,12230.0,12369.0,12485.0,12619.0,12697.0,12789.0,12822.0,13075.0,13139.0,13239.0,13347.0,13420.0,13524.0,13549.0,13545.0
10,X,False,11203.0,11029.0,11223.0,10926.0,11427.0,11301.0,10730.0,11501.0,11306.0,11187.0,11821.0,11065.0,11600.0,11257.0,11584.0,11396.0,11490.0,11603.0,11872.0,11087.0
11,X,True,11350.0,10586.0,11234.0,10650.0,10439.0,10794.0,10707.0,10207.0,9832.6,10067.0,9819.9,9189.1,9319.2,9099.6,9408.1,9033.5,9217.6,8985.1,9060.8,9004.1
12,X,True,10298.0,10408.0,10628.0,10710.0,10743.0,10705.0,10770.0,10816.0,10814.0,10750.0,10742.0,10574.0,10355.0,10292.0,10188.0,10031.0,9980.8,10024.0,9810.3,9813.4
13,X,False,13032.0,13048.0,13109.0,13146.0,13099.0,13263.0,13142.0,13283.0,13364.0,13501.0,13505.0,13811.0,13528.0,13778.0,13805.0,13806.0,14226.0,13957.0,13915.0,14286.0
14,X,False,11337.0,11337.0,11321.0,11304.0,11132.0,11127.0,11236.0,11171.0,11316.0,11297.0,11055.0,11120.0,11125.0,11205.0,11145.0,11321.0,11033.0,11309.0,11513.0,11540.0
15,X,False,12896.0,12824.0,12818.0,12849.0,12748.0,12561.0,12529.0,12477.0,12363.0,12246.0,12128.0,12030.0,11930.0,11775.0,11672.0,11576.0,11474.0,11518.0,11473.0,11479.0
16,X,False,11886.0,12096.0,12232.0,12271.0,12284.0,12177.0,12021.0,11986.0,11937.0,11937.0,11828.0,11762.0,11726.0,11633.0,11532.0,11564.0,11513.0,11509.0,11433.0,11350.0
17,X,False,7726.3,7655.9,7595.1,7747.5,7718.9,7740.1,7786.0,7757.3,7782.1,7613.5,7691.0,7711.6,7770.5,7678.4,7554.7,7519.8,7641.1,7491.2,7635.2,7690.4
18,X,False,15737.0,15905.0,16111.0,16349.0,16618.0,16762.0,17001.0,17202.0,17330.0,17448.0,17535.0,17542.0,17448.0,17203.0,17054.0,16888.0,16772.0,16438.0,16369.0,16252.0
19,X,False,540.48,550.9,542.53,574.26,622.52,621.06,633.65,649.49,634.31,625.1,756.71,841.5,852.81,899.27,1076.2,1238.7,1290.6,1066.7,1100.0,1436.1
20,X,False,3670.5,3689.5,3655.7,3760.0,3575.7,3550.0,3531.5,3668.5,3633.0,3524.5,3559.6,3470.9,3395.7,3493.8,3389.2,3327.9,3320.6,3261.6,3315.2,3358.0
21,X,False,9947.8,9668.1,9442.2,9570.1,9579.4,9178.1,9270.0,9336.7,9195.6,9030.1,9022.8,9201.6,8982.9,8999.5,8397.2,9108.2,9034.8,8337.6,8280.4,8881.8
22,X,False,14022.0,14440.0,13704.0,14426.0,13458.0,13222.0,13114.0,13012.0,13756.0,13814.0,12603.0,12646.0,12521.0,12558.0,12624.0,12656.0,12680.0,12809.0,13213.0,13001.0
23,X,True,18846.0,18781.0,18762.0,18729.0,18549.0,18490.0,18331.0,18124.0,17913.0,17765.0,17608.0,17555.0,17584.0,17532.0,17644.0,17751.0,17945.0,18086.0,18266.0,18409.0
24,X,True,16434.0,16361.0,16342.0,16408.0,16298.0,16179.0,16136.0,16104.0,16103.0,16048.0,16073.0,16030.0,15997.0,16055.0,16063.0,16071.0,16182.0,16246.0,16174.0,16136.0
25,X,True,14860.0,14967.0,15030.0,15094.0,15194.0,15282.0,15425.0,15498.0,15608.0,15674.0,15708.0,15717.0,15679.0,15638.0,15519.0,15368.0,15235.0,15091.0,14936.0,14790.0
26,X,False,6490.9,6370.0,6376.3,6418.7,6447.2,6562.9,6630.9,6708.8,6775.7,6927.0,7037.3,7178.9,7196.3,7421.7,7567.0,7652.8,7773.5,7886.2,7870.8,7956.6
