,FLARE_TYPE,COINCIDENCE,TOTUSJZ_1,TOTUSJZ_2,TOTUSJZ_3,TOTUSJZ_4,TOTUSJZ_5,TOTUSJZ_6,TOTUSJZ_7,TOTUSJZ_8,TOTUSJZ_9,TOTUSJZ_10,TOTUSJZ_11,TOTUSJZ_12,TOTUSJZ_13,TOTUSJZ_14,TOTUSJZ_15,TOTUSJZ_16,TOTUSJZ_17,TOTUSJZ_18,TOTUSJZ_19,TOTUSJZ_20
0,X,False,49798000000000.0,50329000000000.0,50637000000000.0,49921000000000.0,50534000000000.0,50522000000000.0,50492000000000.0,49582000000000.0,49678000000000.0,49648000000000.0,50103000000000.0,49338000000000.0,49572000000000.0,49211000000000.0,49586000000000.0,50519000000000.0,50319000000000.0,49752000000000.0,49966000000000.0,50085000000000.0
1,X,False,62324000000000.0,61686000000000.0,62797000000000.0,61799000000000.0,62366000000000.0,61484000000000.0,60860000000000.0,61379000000000.0,60785000000000.0,60778000000000.0,60279000000000.0,60809000000000.0,60777000000000.0,60657000000000.0,59731000000000.0,59688000000000.0,60548000000000.0,61117000000000.0,59936000000000.0,59512000000000.0
2,X,False,41675000000000.0,42121000000000.0,42426000000000.0,42106000000000.0,42148000000000.0,42000000000000.0,41958000000000.0,40262000000000.0,40524000000000.0,39574000000000.0,39596000000000.0,39292000000000.0,39103000000000.0,38603000000000.0,39214000000000.0,38895000000000.0,38787000000000.0,39039000000000.0,39549000000000.0,39744000000000.0
3,X,False,35737000000000.0,35971000000000.0,36350000000000.0,36574000000000.0,35810000000000.0,35741000000000.0,35486000000000.0,35319000000000.0,35563000000000.0,34874000000000.0,34928000000000.0,34605000000000.0,34093000000000.0,33953000000000.0,34239000000000.0,34121000000000.0,34036000000000.0,34649000000000.0,34651000000000.0,34397000000000.0
4,X,True,29136000000000.0,29650000000000.0,29585000000000.0,28928000000000.0,28517000000000.0,28694000000000.0,28929000000000.0,28712000000000.0,28745000000000.0,28643000000000.0,28832000000000.0,28881000000000.0,29159000000000.0,29415000000000.0,29388000000000.0,28688000000000.0,28982000000000.0,28940000000000.0,28652000000000.0,28987000000000.0
5,X,False,78539000000000.0,78771000000000.0,82272000000000.0,77766000000000.0,81167000000000.0,78763000000000.0,79547000000000.0,79900000000000.0,80598000000000.0,82043000000000.0,83969000000000.0,83841000000000.0,83459000000000.0,82580000000000.0,81985000000000.0,82788000000000.0,83135000000000.0,83071000000000.0,83102000000000.0,82754000000000.0
6,X,True,35637000000000.0,35277000000000.0,35231000000000.0,35187000000000.0,34494000000000.0,35486000000000.0,35745000000000.0,34954000000000.0,35664000000000.0,35150000000000.0,35298000000000.0,35427000000000.0,35830000000000.0,35629000000000.0,35063000000000.0,35089000000000.0,35074000000000.0,34410000000000.0,34692000000000.0,34358000000000.0
7,X,False,77702000000000.0,77863000000000.0,77800000000000.0,78175000000000.0,78052000000000.0,78670000000000.0,79465000000000.0,78572000000000.0,79060000000000.0,79653000000000.0,80122000000000.0,79865000000000.0,79792000000000.0,80505000000000.0,80526000000000.0,80186000000000.0,80548000000000.0,81235000000000.0,80636000000000.0,80776000000000.0
8,X,False,78670000000000.0,79465000000000.0,78572000000000.0,79060000000000.0,79653000000000.0,80122000000000.0,79865000000000.0,79792000000000.0,80505000000000.0,80526000000000.0,80186000000000.0,80548000000000.0,81235000000000.0,80636000000000.0,80776000000000.0,82137000000000.0,82106000000000.0,82018000000000.0,81282000000000.0,81931000000000.0
9,X,False,139290000000000.0,138110000000000.0,137690000000000.0,137290000000000.0,137280000000000.0,137530000000000.0,135440000000000.0,135610000000000.0,135170000000000.0,134840000000000.0,134080000000000.0,134870000000000.0,132480000000000.0,133520000000000.0,134020000000000.0,133980000000000.0,133980000000000.0,133640000000000.0,135160000000000.0,134830000000000.0
10,X,False,23656000000000.0,23585000000000.0,23836000000000.0,23698000000000.0,23614000000000.0,24062000000000.0,24083000000000.0,23827000000000.0,23767000000000.0,24350000000000.0,23599000000000.0,24428000000000.0,24126000000000.0,24137000000000.0,24651000000000.0,24182000000000.0,24463000000000.0,24961000000000.0,25035000000000.0,24618000000000.0
11,X,True,3549500000000.0,3264000000000.0,3249300000000.0,3216000000000.0,3153900000000.0,3207400000000.0,3393400000000.0,2964600000000.0,3092800000000.0,3148500000000.0,3134300000000.0,3188900000000.0,3220800000000.0,3394200000000.0,3185500000000.0,3449200000000.0,3370900000000.0,3295700000000.0,3376300000000.0,3501900000000.0
12,X,True,71239000000000.0,70460000000000.0,69888000000000.0,69884000000000.0,70080000000000.0,69678000000000.0,69982000000000.0,69079000000000.0,69033000000000.0,68690000000000.0,69133000000000.0,69276000000000.0,69803000000000.0,69375000000000.0,69822000000000.0,69292000000000.0,68325000000000.0,68867000000000.0,69250000000000.0,69551000000000.0
13,X,False,65433000000000.0,64448000000000.0,63143000000000.0,64089000000000.0,63393000000000.0,61806000000000.0,62613000000000.0,61620000000000.0,59112000000000.0,59545000000000.0,58417000000000.0,57755000000000.0,56658000000000.0,56463000000000.0,55517000000000.0,56000000000000.0,55554000000000.0,55244000000000.0,54133000000000.0,54622000000000.0
14,X,False,93272000000000.0,93831000000000.0,93295000000000.0,94041000000000.0,93858000000000.0,93922000000000.0,93002000000000.0,93676000000000.0,94797000000000.0,95137000000000.0,95466000000000.0,94278000000000.0,94688000000000.0,95933000000000.0,94658000000000.0,96528000000000.0,97341000000000.0,95571000000000.0,96096000000000.0,97035000000000.0
15,X,False,84623000000000.0,84824000000000.0,84991000000000.0,85015000000000.0,84970000000000.0,84765000000000.0,83690000000000.0,83620000000000.0,83344000000000.0,83254000000000.0,83287000000000.0,83042000000000.0,82427000000000.0,82397000000000.0,82651000000000.0,83512000000000.0,82977000000000.0,82679000000000.0,84620000000000.0,85379000000000.0
16,X,False,64394000000000.0,64189000000000.0,63461000000000.0,63958000000000.0,63323000000000.0,63652000000000.0,63480000000000.0,62928000000000.0,63355000000000.0,62951000000000.0,62544000000000.0,63039000000000.0,62235000000000.0,62103000000000.0,61687000000000.0,61068000000000.0,61004000000000.0,61409000000000.0,61067000000000.0,61591000000000.0
17,X,False,56665000000000.0,57062000000000.0,57488000000000.0,56582000000000.0,55657000000000.0,55671000000000.0,56107000000000.0,56219000000000.0,56126000000000.0,56198000000000.0,55719000000000.0,54785000000000.0,55866000000000.0,56353000000000.0,57606000000000.0,57317000000000.0,57383000000000.0,57265000000000.0,56530000000000.0,57226000000000.0
18,X,False,147390000000000.0,147620000000000.0,148030000000000.0,147540000000000.0,146660000000000.0,149390000000000.0,147710000000000.0,148640000000000.0,147650000000000.0,147240000000000.0,147460000000000.0,146950000000000.0,147890000000000.0,148740000000000.0,147860000000000.0,148210000000000.0,148020000000000.0,148830000000000.0,147220000000000.0,146080000000000.0
19,X,False,2493500000000.0,2532300000000.0,2529200000000.0,2542700000000.0,2730600000000.0,2952400000000.0,3021100000000.0,3029100000000.0,3056500000000.0,3203700000000.0,3487500000000.0,3661000000000.0,3939500000000.0,4170300000000.0,4645500000000.0,5147700000000.0,5338200000000.0,5164900000000.0,5823000000000.0,6491100000000.0
20,X,False,34943000000000.0,34333000000000.0,34220000000000.0,34072000000000.0,33697000000000.0,33488000000000.0,33331000000000.0,33124000000000.0,33545000000000.0,33764000000000.0,34520000000000.0,35044000000000.0,34259000000000.0,34801000000000.0,34599000000000.0,34927000000000.0,34111000000000.0,33438000000000.0,32986000000000.0,33542000000000.0
21,X,False,15700000000000.0,15896000000000.0,16638000000000.0,16549000000000.0,17290000000000.0,17115000000000.0,17558000000000.0,18021000000000.0,18926000000000.0,19495000000000.0,19636000000000.0,20181000000000.0,19608000000000.0,19862000000000.0,18800000000000.0,19439000000000.0,20083000000000.0,19363000000000.0,19278000000000.0,20842000000000.0
22,X,False,98157000000000.0,103340000000000.0,99194000000000.0,105470000000000.0,100640000000000.0,103280000000000.0,103800000000000.0,106440000000000.0,109820000000000.0,112270000000000.0,108440000000000.0,112340000000000.0,111690000000000.0,111880000000000.0,112160000000000.0,113290000000000.0,111830000000000.0,112640000000000.0,109890000000000.0,108700000000000.0
23,X,True,211680000000000.0,212950000000000.0,213290000000000.0,213270000000000.0,215310000000000.0,216940000000000.0,217670000000000.0,220540000000000.0,219860000000000.0,221110000000000.0,221950000000000.0,220410000000000.0,219050000000000.0,217960000000000.0,215950000000000.0,215480000000000.0,214000000000000.0,214660000000000.0,214180000000000.0,214170000000000.0
24,X,True,235730000000000.0,236250000000000.0,235700000000000.0,235010000000000.0,236520000000000.0,238180000000000.0,237810000000000.0,239220000000000.0,238240000000000.0,239120000000000.0,239190000000000.0,239900000000000.0,242340000000000.0,240230000000000.0,239730000000000.0,240540000000000.0,240040000000000.0,238170000000000.0,238400000000000.0,239190000000000.0
25,X,True,229980000000000.0,229180000000000.0,229780000000000.0,229390000000000.0,229360000000000.0,228850000000000.0,227230000000000.0,227370000000000.0,225920000000000.0,226540000000000.0,227690000000000.0,227900000000000.0,228280000000000.0,229270000000000.0,229530000000000.0,231000000000000.0,231350000000000.0,232000000000000.0,233970000000000.0,234180000000000.0
26,X,False,73913000000000.0,73094000000000.0,72386000000000.0,71981000000000.0,70748000000000.0,69316000000000.0,69961000000000.0,69190000000000.0,68950000000000.0,68193000000000.0,67618000000000.0,68054000000000.0,67331000000000.0,67280000000000.0,67382000000000.0,67547000000000.0,67411000000000.0,67822000000000.0,68453000000000.0,68029000000000.0
27,X,False,152090000000000.0,152540000000000.0,151870000000000.0,151130000000000.0,151580000000000.0,151310000000000.0,150600000000000.0,150730000000000.0,149920000000000.0,149840000000000.0,149950000000000.0,150640000000000.0,149480000000000.0,149240000000000.0,149250000000000.0,150200000000000.0,150190000000000.0,149870000000000.0,149050000000000.0,153560000000000.0
28,X,True,51874000000000.0,51750000000000.0,51438000000000.0,51322000000000.0,51030000000000.0,50499000000000.0,49847000000000.0,48887000000000.0,48101000000000.0,48117000000000.0,47866000000000.0,47367000000000.0,46957000000000.0,46471000000000.0,46569000000000.0,46977000000000.0,46846000000000.0,46588000000000.0,47660000000000.0,48229000000000.0
29,X,False,1589900000000.0,1620600000000.0,2069600000000.0,2232500000000.0,3192800000000.0,2418400000000.0,2422000000000.0,2061700000000.0,2105800000000.0,2212600000000.0,2485200000000.0,2741200000000.0,3018700000000.0,3306600000000.0,3665600000000.0,3673400000000.0,4031700000000.0,4843500000000.0,5520100000000.0,5983700000000.0
30,X,True,83022000000000.0,80732000000000.0,79908000000000.0,79695000000000.0,79693000000000.0,80766000000000.0,81477000000000.0,82386000000000.0,82312000000000.0,82458000000000.0,83244000000000.0,83221000000000.0,81851000000000.0,82042000000000.0,83544000000000.0,82895000000000.0,81509000000000.0,81882000000000.0,82898000000000.0,82816000000000.0
31,X,True,83544000000000.0,82895000000000.0,81509000000000.0,81882000000000.0,82898000000000.0,82816000000000.0,83316000000000.0,83058000000000.0,83771000000000.0,83938000000000.0,83665000000000.0,83718000000000.0,83671000000000.0,83877000000000.0,83575000000000.0,83195000000000.0,83671000000000.0,84411000000000.0,83379000000000.0,82980000000000.0
32,X,False,96192000000000.0,96855000000000.0,97426000000000.0,96388000000000.0,96265000000000.0,95515000000000.0,94538000000000.0,93624000000000.0,94098000000000.0,94969000000000.0,93568000000000.0,93668000000000.0,92200000000000.0,92246000000000.0,92211000000000.0,91947000000000.0,90036000000000.0,91689000000000.0,91640000000000.0,96569000000000.0
33,X,False,41858000000000.0,41911000000000.0,41804000000000.0,39742000000000.0,39668000000000.0,39051000000000.0,38807000000000.0,38711000000000.0,38579000000000.0,38300000000000.0,35136000000000.0,34915000000000.0,35438000000000.0,34932000000000.0,33414000000000.0,31383000000000.0,29943000000000.0,29966000000000.0,28252000000000.0,28244000000000.0
34,M,False,12649000000000.0,13373000000000.0,13292000000000.0,13027000000000.0,13225000000000.0,13733000000000.0,13383000000000.0,12590000000000.0,12624000000000.0,12455000000000.0,12453000000000.0,12191000000000.0,11823000000000.0,11880000000000.0,12386000000000.0,11868000000000.0,12038000000000.0,11639000000000.0,11420000000000.0,11286000000000.0
35,M,False,3090500000000.0,2990900000000.0,3006800000000.0,3806200000000.0,3278800000000.0,3845900000000.0,4191500000000.0,3759700000000.0,3732700000000.0,3847200000000.0,4206600000000.0,4795100000000.0,4564700000000.0,4634700000000.0,4862800000000.0,5079700000000.0,5450300000000.0,4710300000000.0,5234400000000.0,5212500000000.0
36,M,False,20182000000000.0,19911000000000.0,19542000000000.0,19321000000000.0,18939000000000.0,18982000000000.0,18793000000000.0,18387000000000.0,18213000000000.0,18370000000000.0,18026000000000.0,17622000000000.0,17516000000000.0,17516000000000.0,17344000000000.0,17647000000000.0,17641000000000.0,17566000000000.0,18006000000000.0,18250000000000.0
37,M,True,1852200000000.0,1187700000000.0,2064500000000.0,1280000000000.0,1221300000000.0,1158700000000.0,1200600000000.0,1245200000000.0,1224100000000.0,1931700000000.0,1237600000000.0,1202900000000.0,1282700000000.0,1333500000000.0,1352900000000.0,1234800000000.0,1362400000000.0,1279800000000.0,1322900000000.0,1236700000000.0
