,FLARE_TYPE,COINCIDENCE,MEANJZH_1,MEANJZH_2,MEANJZH_3,MEANJZH_4,MEANJZH_5,MEANJZH_6,MEANJZH_7,MEANJZH_8,MEANJZH_9,MEANJZH_10,MEANJZH_11,MEANJZH_12,MEANJZH_13,MEANJZH_14,MEANJZH_15,MEANJZH_16,MEANJZH_17,MEANJZH_18,MEANJZH_19,MEANJZH_20,MEANJZH_21,MEANJZH_22,MEANJZH_23,MEANJZH_24,MEANJZH_25
0,X,False,0.022205,0.021724,0.022539,0.023239,0.024222,0.023233,0.023516,0.023874,0.024104,0.023511,0.024399,0.024345,0.023762,0.023774,0.023181,0.022894,0.023014,0.022479,0.021898,0.021968,0.021384,0.021126,0.021155,0.021372,0.02075
1,X,False,-0.0036212,-0.0037767,-0.0037094,-0.0030731,-0.0026788,-0.0031772,-0.0034954,-0.0033839,-0.0033109,-0.0036003,-0.0035588,-0.0038925,-0.0037955,-0.0036588,-0.0042898,-0.0054706,-0.0049872,-0.0046883,-0.0053974,-0.0052186,-0.0054215,-0.0046226,-0.0042858,-0.0044608,-0.0039293
2,X,False,0.014918,0.014699,0.014306,0.014452,0.014625,0.014985,0.014894,0.015452,0.015311,0.015436,0.015486,0.015837,0.015543,0.015458,0.015603,0.015448,0.015388,0.015683,0.015649,0.015449,0.015447,0.015502,0.015378,0.01529,0.015526
3,X,False,0.006875,0.006112,0.0059356,0.0061404,0.0065258,0.0058851,0.0060678,0.0056883,0.0059153,0.0051044,0.005381,0.0074065,0.0062071,0.0073228,0.0057741,0.0050914,0.0053138,0.0063219,0.0055735,0.0073171,0.0076449,0.0078009,0.0076445,0.0074274,0.0072756
4,X,True,0.014583,0.016122,0.016697,0.01694,0.017502,0.016689,0.01741,0.017551,0.018187,0.018166,0.018761,0.018381,0.018528,0.018143,0.017456,0.01766,0.016846,0.01634,0.01659,0.016278,0.017077,0.016912,0.01661,0.015758,0.015602
5,X,False,0.0011629,0.0021336,-0.00037754,0.0011515,0.0011015,0.00055166,0.00024627,0.00079262,0.00073111,0.00049679,0.0012203,0.00075533,0.00081466,0.001262,0.0014914,0.0016392,0.0015256,0.001603,0.0024388,0.0019106,0.0023221,0.0016821,0.0027949,0.0019843,0.0028388
6,X,True,-0.020673,-0.019924,-0.020424,-0.020339,-0.021371,-0.020168,-0.021251,-0.020736,-0.020737,-0.022603,-0.021677,-0.021321,-0.021134,-0.022053,-0.022586,-0.021782,-0.022455,-0.022893,-0.022347,-0.02256,-0.021419,-0.020642,-0.020445,-0.020619,-0.020862
7,X,False,-0.033816,-0.03346,-0.032106,-0.032672,-0.032561,-0.031694,-0.033009,-0.032496,-0.031975,-0.032008,-0.031481,-0.031985,-0.032647,-0.032105,-0.031374,-0.031293,-0.030815,-0.030465,-0.030643,-0.029413,-0.029021,-0.02934,-0.030082,-0.028947,-0.02926
8,X,False,-0.031694,-0.033009,-0.032496,-0.031975,-0.032008,-0.031481,-0.031985,-0.032647,-0.032105,-0.031374,-0.031293,-0.030815,-0.030465,-0.030643,-0.029413,-0.029021,-0.02934,-0.030082,-0.028947,-0.02926,-0.029158,-0.0288,-0.02809,-0.029181,-0.028039
9,X,False,0.0095649,0.0095283,0.0095258,0.0098069,0.0095646,0.0097648,0.00983,0.010058,0.010259,0.010167,0.010054,0.010618,0.010714,0.010963,0.011221,0.011175,0.011549,0.011601,0.01155,0.011847,0.011808,0.01138,0.011526,0.011277,0.0078733
10,X,False,-0.004922,-0.0095317,-0.008448,-0.007431,-0.0095639,-0.010024,-0.021119,-0.010747,-0.011063,-0.022133,-0.011239,-0.022146,-0.011593,-0.0099597,-0.0078664,-0.008537,-0.0078327,-0.0081117,-0.011365,-0.0081763,-0.012611,-0.012776,-0.012922,-0.012897,-0.012659
11,X,True,0.00066591,0.0018514,0.0026573,0.0010243,0.0016997,2.3025e-05,0.0020141,0.0013774,0.0025724,0.0021338,0.001605,0.0012581,0.0012844,0.001297,0.0018168,0.00079982,0.00059276,0.0012439,0.00021458,0.00088183,0.0010761,0.00090811,0.0007746,0.0013904,-0.0021052
12,X,True,-0.010708,-0.010774,-0.011211,-0.011213,-0.011614,-0.010797,-0.010595,-0.010395,-0.010488,-0.010229,-0.011851,-0.010845,-0.0099195,-0.010103,-0.0094348,-0.009473,-0.0098408,-0.0095498,-0.0095283,-0.0098328,-0.0092136,-0.009165,-0.0087026,-0.008947,-0.0092613
13,X,False,-0.0044399,-0.00407,-0.0020353,-0.0027942,-0.0017931,-0.0025972,-0.00143,-0.0018489,-0.0017924,-0.0029113,-0.0037936,-0.0036315,-0.0019009,-0.0026821,-0.0032386,-0.0031825,-0.00031274,-0.0021719,-0.0011602,-0.00077407,-0.0026962,-0.0015662,-0.0023647,-0.0033832,-0.002868
14,X,False,0.010704,0.010827,0.010799,0.010854,0.011938,0.011943,0.012339,0.012707,0.011799,0.011418,0.012409,0.011997,0.012149,0.012098,0.012473,0.012707,0.011307,0.013202,0.013691,0.013585,0.013998,0.012082,0.012036,0.012533,0.012711
15,X,False,0.0084404,0.0081428,0.0078152,0.0091983,0.0083803,0.0077028,0.007764,0.0081991,0.0077661,0.0077719,0.0077758,0.0076521,0.0073889,0.007344,0.007353,0.007238,0.007089,0.0073239,0.0070369,0.0069815,0.0072776,0.0072229,0.0072645,0.0074665,0.0077141
16,X,False,0.0097552,0.011344,0.011755,0.011532,0.012172,0.012182,0.011876,0.01161,0.011374,0.011527,0.011413,0.011214,0.011631,0.011146,0.011068,0.011822,0.011493,0.011343,0.010457,0.01084,0.011304,0.010948,0.010483,0.010417,0.01018
17,X,False,0.0087187,0.0089337,0.0092435,0.0087867,0.0088053,0.0088081,0.0085263,0.0087526,0.0086766,0.0088011,0.0086762,0.0081218,0.0084506,0.0087916,0.0087493,0.0089392,0.0091662,0.0087926,0.009512,0.0093287,0.0099596,0.0097188,0.009592,0.0095343,0.0096176
18,X,False,0.013756,0.013999,0.014159,0.014613,0.014998,0.015436,0.015729,0.01575,0.015742,0.015818,0.016188,0.015693,0.015728,0.015018,0.015115,0.015256,0.014985,0.014702,0.014515,0.014293,0.014496,0.014612,0.014606,0.014425,0.014887
19,X,False,0.00024922,-2.4541e-05,3.1736e-05,0.0004371,0.00024753,-0.00015752,0.0004254,0.00034504,4.4533e-05,0.00014333,0.00067253,0.00040785,0.00034967,-0.00037666,-0.00063892,-0.00089364,-0.00053909,-0.0012088,-0.0011509,-0.00030611,-0.0005581,-0.00021631,0.00012851,0.00036769,0.00043157
20,X,False,0.0038556,0.0031738,0.0043151,0.0041996,0.0045109,0.0046258,0.0045331,0.0042038,0.0039802,0.0043853,0.0023413,0.0038824,0.0036041,0.0029575,0.0015509,0.0029706,0.0030542,0.0024942,0.0011042,0.00096009,-0.0028392,-0.00036303,-0.0020811,-0.0031417,-0.0034426
21,X,False,0.018434,0.019108,0.02214,0.019958,0.019073,0.01939,0.0191,0.021025,0.020403,0.019395,0.017377,0.018727,0.018232,0.019614,0.018546,0.01585,0.020894,0.025081,0.023476,0.020781,0.024606,0.026272,0.027272,0.02584,0.026476
22,X,False,-0.0062506,0.00014976,-0.0058481,0.0007632,-0.0056829,-0.0054376,-0.0050429,-0.0054671,0.0010671,0.0005005,-0.0048862,-0.0047302,-0.0045878,-0.0046858,-0.0044799,-0.0048011,-0.0047911,-0.0045752,-0.0052869,-0.0055334,-0.0055896,-6.9613e-05,-0.0053762,-0.0056097,-0.00615
23,X,True,-0.0020418,-0.0020319,-0.0018199,-0.0020982,-0.0020946,-0.0020769,-0.0019749,-0.0020556,-0.0020565,-0.0021601,-0.0022331,-0.0021158,-0.0022513,-0.0020882,-0.0021291,-0.0020776,-0.0019884,-0.0019027,-0.0019433,-0.0019447,-0.0020128,-0.0020231,-0.0019327,-0.0021778,-0.0019013
24,X,True,-0.00025176,-8.36e-05,-0.00030012,-0.00021518,-0.00023822,-0.00021943,-0.00029999,-0.00026131,-0.00039528,0.00010911,0.0002436,0.00037852,0.00023647,0.00044107,0.00053778,0.0005774,0.00041626,0.00013125,3.5097e-05,7.3601e-05,-5.9493e-05,-0.00028411,-0.00031163,-0.00050065,-0.00043286
25,X,False,0.021382,0.021503,0.020623,0.020972,0.021413,0.021942,0.021977,0.02288,0.023669,0.024172,0.025075,0.025629,0.025423,0.025943,0.027062,0.027476,0.028142,0.028383,0.028296,0.029565,0.028973,0.02864,0.029278,0.027642,0.028703
26,X,False,0.0076518,0.0077101,0.0075538,0.0075152,0.0073377,0.0071992,0.0070574,0.0072059,0.0073566,0.0069604,0.007105,0.0068243,0.0066264,0.0066117,0.0064202,0.0067927,0.0064988,0.006225,0.0063191,0.006197,0.0064933,0.0060871,0.0061406,0.0062894,0.0060958
27,X,True,0.039084,0.038283,0.038009,0.037844,0.038609,0.039391,0.040136,0.041341,0.043606,0.044144,0.045821,0.045585,0.046331,0.047211,0.047049,0.04751,0.047827,0.047229,0.045269,0.044843,0.043976,0.043238,0.042197,0.041617,0.041706
28,X,False,0.0010429,-0.0057684,-0.0020477,-0.0032164,-0.01619,-0.004547,-0.0040626,-0.0043775,-0.0055756,-0.0048032,-0.0052322,-0.0057916,-0.0065709,-0.0073284,-0.0085682,-0.0074553,-0.0081023,-0.0082413,-0.0071824,-0.0047987,-0.004599,-0.0079273,-0.0065032,-0.0072266,-0.0076247
29,X,True,-0.049463,-0.052103,-0.050887,-0.051803,-0.051872,-0.05125,-0.051666,-0.050092,-0.050049,-0.045717,-0.050263,-0.050484,-0.051915,-0.051068,-0.052287,-0.053185,-0.052893,-0.053353,-0.054114,-0.053579,-0.054257,-0.053729,-0.053786,-0.053903,-0.053557
30,X,True,-0.052287,-0.053185,-0.052893,-0.053353,-0.054114,-0.053579,-0.054257,-0.053729,-0.053786,-0.053903,-0.053557,-0.053429,-0.052966,-0.052719,-0.05375,-0.052891,-0.053174,-0.05499,-0.054181,-0.053806,-0.05476,-0.056097,-0.05086,-0.058037,-0.059604
31,X,False,-0.0063132,-0.0099084,-0.0096551,-0.0078208,-0.0081492,-0.010055,-0.0084667,-0.0032482,-0.0072696,-0.0046876,-0.0079637,-0.0077139,-0.0062154,-0.0030108,-0.0062049,-0.003831,-0.0059946,-0.0062923,-0.0045362,-0.0030138,-0.0042378,-0.0053524,-0.0046093,-0.0064627,-0.0056395
32,M,False,-0.026659,-0.024196,-0.026369,-0.026217,-0.026725,-0.026867,-0.027216,-0.028334,-0.027015,-0.026173,-0.026737,-0.025435,-0.026662,-0.025532,-0.027277,-0.027065,-0.026638,-0.027323,-0.0283,-0.031307,-0.030253,-0.030745,-0.031577,-0.053577,-0.028585
33,M,False,-0.0064976,-0.0057177,-0.0065572,-0.010217,-0.0056703,-0.0063757,-0.01078,-0.0039551,-0.0043629,-0.0032129,-0.0030532,-0.0026649,-0.0030194,-0.0021203,-0.0011659,-0.00038456,0.0056927,0.0020341,0.0042068,-0.0015692,0.0075874,0.00019493,0.0070638,0.0038357,0.0057194
34,M,False,-0.0049118,-0.0053353,-0.0053082,-0.0054182,-0.0057139,-0.0057834,-0.0058997,-0.0057495,-0.0059262,-0.0059734,-0.0059149,-0.0057965,-0.005463,-0.0058695,-0.0057758,-0.0055553,-0.0054239,-0.0052956,-0.0047498,-0.0048562,-0.0044195,-0.004765,-0.0043714,-0.0044282,-0.0044959
35,M,True,0.016684,0.010916,0.0013572,0.010165,0.010823,0.010471,0.010261,0.011386,0.010755,0.017234,0.012101,0.011393,0.011476,0.011797,0.012169,0.012752,0.012993,0.014378,0.013012,0.013149,0.012637,0.014194,0.014076,0.012768,0.012549
36,M,False,-0.0037179,-0.0034453,-0.0030137,-0.003199,-0.0030677,-0.0023736,-0.0031126,-0.0032003,-0.003782,-0.0035045,-0.0030692,-0.0031631,-0.0031288,-0.0031236,-0.0032535,-0.0039927,-0.0034123,-0.003171,-0.0020825,-0.0021183,-0.0019789,-0.0029148,-0.0023829,-0.0023886,-0.0024704
37,M,False,0.0018861,0.0055616,0.0053871,0.0059129,0.0052655,0.0050152,0.0049166,0.0047521,0.0047108,0.0008411,0.0046856,0.0043448,0.0038147,0.0039683,0.0032067,0.0015468,0.0044462,0.0043381,0.0039483,0.0040866,0.0039902,0.0037685,0.0033286,0.00064434,0.0034004
38,M,False,-0.0037638,-0.002347,-0.0031427,-0.0032725,-0.0022553,-0.0020712,-0.0043524,-0.0016189,-0.0021197,-0.0010521,-0.0025688,-0.0032072,-0.0022016,-0.0038168,-0.0032564,-0.0019516,-0.0020961,-0.0019236,-0.0021742,-0.0022936,-0.0020881,-0.0024017,-0.0014674,-0.0016647,-0.0027562
39,M,True,-0.00030998,-0.0015713,-0.0012342,1.3662e-05,0.0002971,0.00065768,6.1675e-05,-0.0018761,-0.0021404,-0.00022526,0.0017793,0.0015088,0.0020543,0.0032294,0.0034772,0.0039676,0.0050137,0.0057407,0.0064778,0.0071467,0.0067589,0.0069045,0.0070237,0.007726,0.0079657
40,M,True,0.023756,0.023815,0.027231,0.027663,0.027466,0.026179,0.026071,0.02538,0.024124,0.023988,0.024483,0.024321,0.023711,0.025981,0.024304,0.024124,0.02347,0.023524,0.023897,0.023256,0.023801,0.023393,0.02339,0.023858,0.023032
41,M,False,-0.0076828,-0.008361,-0.0078693,-0.0087395,-0.008233,-0.0088157,-0.0089231,-0.0092828,-0.0097398,-0.0093724,-0.0093122,-0.0091856,-0.0094582,-0.0099308,-0.011141,-0.010227,-0.0099821,-0.01028,-0.0102,-0.011299,-0.011478,-0.010921,-0.010908,-0.010462,-0.010049
42,M,False,0.024031,0.02442,0.024724,0.024394,0.025005,0.026673,0.026697,0.026951,0.027154,0.027114,0.026967,0.027368,0.027049,0.026754,0.026207,0.025929,0.02554,0.026407,0.026029,0.024829,0.024786,0.024989,0.024381,0.023909,0.023456
43,M,True,0.018995,0.019456,0.019125,0.018527,0.018641,0.017998,0.018294,0.018046,0.017834,0.017317,0.016794,0.016584,0.016208,0.016541,0.016217,0.015445,0.016053,0.0163,0.016241,0.016423,0.016137,0.01574,0.015958,0.01629,0.016596
44,M,True,-0.0067793,-0.0072091,-0.0071953,-0.0070432,-0.0071065,-0.0072345,-0.0070104,-0.0068124,-0.0071522,-0.0077452,-0.0075077,-0.0073983,-0.0071022,-0.0079905,-0.0081277,-0.0082012,-0.0076815,-0.0089289,-0.0091515,-0.0086477,-0.0086764,-0.0087024,-0.008379,-0.0080729,-0.0077082
45,M,False,0.015445,0.016053,0.0163,0.016241,0.016423,0.016137,0.01574,0.015958,0.01629,0.016596,0.017344,0.017594,0.017203,0.017581,0.017362,0.018607,0.018344,0.017277,0.017629,0.017043,0.016769,0.016527,0.016213,0.016461,0.016668
46,M,False,-0.0091515,-0.0086477,-0.0086764,-0.0087024,-0.008379,-0.0080729,-0.0077082,-0.008757,-0.0079067,-0.0074925,-0.0080138,-0.0070201,-0.0071183,-0.0073235,-0.0074058,-0.0076538,-0.0076569,-0.0076605,-0.0069622,-0.0075999,-0.0086189,-0.0082363,-0.0086203,-0.0081449,-0.0088793
47,M,False,-0.0051232,-0.006,-0.0061297,-0.0056425,-0.0050636,-0.0040599,-0.0048532,-0.0043387,-0.0047784,-0.0045449,-0.0040789,-0.0042055,-0.0037365,-0.0044933,-0.0056901,-0.0052275,-0.0049011,-0.0059351,-0.0047891,-0.0044223,-0.0040768,-0.0043083,-0.0033999,-0.0030578,-0.0038047
48,M,False,0.015326,0.013093,0.015037,0.015426,0.015841,0.015244,0.014881,0.014743,0.014281,0.013658,0.014358,0.013797,0.013609,0.013151,0.013301,0.013243,0.013315,0.01369,0.012909,0.013283,0.0132,0.012755,0.012465,0.010268,0.010359
49,M,True,0.010289,0.0099012,0.010256,0.0099906,0.0099658,0.010075,0.0095404,0.0095265,0.0088894,0.008762,0.0088566,0.0085204,0.008624,0.0086254,0.0084229,0.0080919,0.0077534,0.0077601,0.0082142,0.0081132,0.0080372,0.0080389,0.0079266,0.0077434,0.0076605
50,M,True,-0.0079595,-0.0073091,-0.0064708,-0.0064154,-0.0065838,-0.0040905,-0.0041311,-0.0039011,-0.0045405,-0.0043937,-0.0057709,-0.0050639,-0.0049087,-0.0045827,-0.0057196,-0.0063176,-0.0061294,-0.0061523,-0.0060388,-0.0060785,-0.0062923,-0.0061573,-0.0046654,-0.006352,-0.006189
51,M,False,0.0080919,0.0077534,0.0077601,0.0082142,0.0081132,0.0080372,0.0080389,0.0079266,0.0077434,0.0076605,0.0077702,0.0072813,0.0074515,0.0076484,0.0076721,0.0078322,0.0075363,0.0077838,0.0075537,0.0075111,0.0078073,0.0079698,0.0071679,0.0069242,0.0067226
52,M,False,0.0080389,0.0079266,0.0077434,0.0076605,0.0077702,0.0072813,0.0074515,0.0076484,0.0076721,0.0078322,0.0075363,0.0077838,0.0075537,0.0075111,0.0078073,0.0079698,0.0071679,0.0069242,0.0067226,0.0071195,0.0069291,0.0069606,0.0071629,0.0068775,0.0067615
53,M,False,-0.0018904,-0.0019252,-0.0015698,-0.0023438,-0.0019426,-0.0022243,-0.0026687,-0.0026669,-0.0026822,-0.0023226,-0.002244,-0.0023109,-0.0021294,-0.0024597,-0.0023278,-0.0028216,-0.0025248,-0.0023813,-0.0026158,-0.0028101,-0.0031522,-0.0032297,-0.0031016,-0.0028646,-0.0031552
54,M,False,0.0074564,0.0074939,0.0075353,0.0076127,0.0074771,0.0077045,0.0071871,0.0067937,0.0069117,0.0065108,0.006599,0.006481,0.0063222,0.0058584,0.0065151,0.0059838,0.0063645,0.0063383,0.0059238,0.0057529,0.0053471,0.0049791,0.0048107,0.005141,0.0046442
55,M,True,0.0012645,0.00055802,-0.00066535,4.3361e-05,-9.6714e-05,0.0038592,0.00045854,0.001086,0.0010508,0.0039242,0.0042962,0.0043383,0.0017822,0.0019178,0.0028829,0.0028897,0.0031611,0.0018398,0.0044101,0.0038943,0.0053971,0.0054391,0.0074964,0.0083845,0.0087
56,M,False,0.0083845,0.0087,0.0070107,0.009097,0.0097131,0.0096178,0.0089001,0.0075967,0.0098624,0.0088386,0.009648,0.0091817,0.0094652,0.0094189,0.0095565,0.0087197,0.011036,0.0094767,0.0088157,0.0095728,0.0086283,0.0090837,0.0085251,0.0077545,0.0078684
57,M,False,0.0060898,0.0061372,0.0076923,0.007863,0.0077464,0.0080478,0.0075799,0.0066875,0.007009,0.0078792,0.0084034,0.0081369,0.0080352,0.0090192,0.0096847,0.0086544,0.0087408,0.0091413,0.0091126,0.0097958,0.0098177,0.0099672,0.010122,0.010649,0.011179
58,M,False,0.010013,0.0097739,0.011471,0.0128,0.012999,0.013294,0.013382,0.01475,0.014797,0.015928,0.015097,0.015101,0.016578,0.015044,0.014131,0.014538,0.014256,0.016515,0.016809,0.01645,0.016849,0.010687,0.015818,0.015172,0.01443
59,M,False,0.014797,0.015928,0.015097,0.015101,0.016578,0.015044,0.014131,0.014538,0.014256,0.016515,0.016809,0.01645,0.016849,0.010687,0.015818,0.015172,0.01443,0.014589,0.016265,0.014213,0.011327,0.011281,0.013011,0.0112,0.015238
