,FLARE_TYPE,COINCIDENCE,MEANSHR_1,MEANSHR_2,MEANSHR_3,MEANSHR_4,MEANSHR_5,MEANSHR_6,MEANSHR_7,MEANSHR_8,MEANSHR_9,MEANSHR_10,MEANSHR_11,MEANSHR_12,MEANSHR_13,MEANSHR_14,MEANSHR_15,MEANSHR_16,MEANSHR_17,MEANSHR_18,MEANSHR_19,MEANSHR_20,MEANSHR_21,MEANSHR_22,MEANSHR_23,MEANSHR_24,MEANSHR_25,MEANSHR_26,MEANSHR_27,MEANSHR_28,MEANSHR_29,MEANSHR_30
0,X,False,50.356,50.329,50.44,50.601,50.497,50.519,50.635,50.621,50.859,50.918,51.096,51.283,51.385,51.531,51.529,51.447,51.264,51.289,51.407,51.53,51.445,51.61,51.664,51.521,51.718,51.693,51.676,51.821,51.531,51.598
1,X,False,50.115,50.201,50.097,49.974,49.751,49.746,49.843,49.637,49.636,49.84,49.792,49.576,49.622,49.503,49.518,49.41,49.629,49.874,49.891,50.027,49.982,50.133,50.204,50.209,50.316,50.263,50.276,50.36,50.238,50.387
2,X,False,38.993,39.151,39.317,39.399,39.261,39.188,39.279,39.22,39.266,39.307,39.215,39.319,39.388,39.069,39.248,39.241,39.122,39.155,39.252,39.193,38.788,38.713,38.72,38.691,38.592,38.723,38.833,39.052,38.931,38.936
3,X,False,43.866,43.994,43.996,43.732,44.165,44.152,44.101,43.962,44.199,44.445,44.442,44.243,44.09,44.372,44.467,44.418,44.542,44.437,44.392,44.045,44.363,44.231,44.322,44.009,43.78,43.571,43.524,43.662,43.304,43.128
4,X,True,39.761,39.341,39.202,39.252,38.756,39.043,38.829,38.889,38.859,39.081,39.014,38.917,39.208,38.808,38.881,38.878,38.863,38.911,38.748,38.828,38.976,39.117,38.989,38.852,39.121,38.889,38.694,38.942,38.813,38.973
5,X,False,41.175,40.776,40.9,40.485,40.714,40.702,40.635,40.399,40.267,40.313,40.177,40.116,40.037,39.897,39.976,40.026,39.781,39.805,40.21,39.555,39.722,39.652,39.621,39.714,39.916,39.892,40.115,39.744,39.799,39.92
6,X,True,44.422,44.898,44.984,44.424,44.609,44.532,44.248,44.408,43.869,43.906,43.88,44.661,44.346,43.616,43.623,43.337,43.186,43.396,43.656,43.44,43.579,43.783,43.851,43.775,43.765,43.387,43.567,43.143,42.818,42.586
7,X,False,45.82,45.717,45.734,46.155,45.898,45.938,46.017,45.675,45.84,45.895,46.017,45.935,45.983,45.908,45.878,45.795,46.16,45.99,45.783,45.885,45.582,45.941,46.055,45.957,46.048,46.252,46.153,46.22,45.912,46.04
8,X,False,45.938,46.017,45.675,45.84,45.895,46.017,45.935,45.983,45.908,45.878,45.795,46.16,45.99,45.783,45.885,45.582,45.941,46.055,45.957,46.048,46.252,46.153,46.22,45.912,46.04,45.945,45.745,46.005,45.928,45.78
9,X,False,45.286,45.451,45.516,45.648,45.703,45.79,45.792,45.767,45.671,45.7,45.832,45.877,45.707,0.0,45.466,45.332,45.302,45.264,45.118,45.019,44.772,44.679,44.594,44.583,46.754,44.749,45.013,45.192,45.353,45.429
