,FLARE_TYPE,COINCIDENCE,slf_1,slf_2,slf_3,slf_4,slf_5,slf_6,slf_7,slf_8,slf_9,slf_10,slf_11,slf_12,slf_13,slf_14,slf_15,slf_16,slf_17,slf_18,slf_19,slf_20,slf_21,slf_22,slf_23,slf_24,slf_25,slf_26,slf_27,slf_28,slf_29,slf_30,slf_31,slf_32,slf_33,slf_34,slf_35
0,X,False,8.3512,8.2119,8.3359,8.1024,8.0681,8.2002,8.0741,7.9812,7.8867,7.9414,7.8674,8.0602,7.9248,7.8807,7.9772,8.1803,7.8925,7.9733,8.0109,8.1014,8.1214,8.0284,8.1333,8.0625,7.995,8.2473,8.2228,8.2083,8.0426,8.2673,7.9225,8.1154,8.1592,8.2361,8.2563
1,X,False,10.507,10.328,10.417,10.417,10.418,10.33,10.481,10.627,10.557,10.559,10.622,10.685,10.692,10.576,10.509,10.564,10.477,10.499,10.479,10.634,10.553,10.449,10.602,10.651,10.624,10.433,10.348,10.457,10.403,10.499,10.546,10.588,10.485,10.362,10.381
2,X,False,16.635,16.25,16.296,16.426,16.243,16.108,16.207,16.333,16.523,16.569,16.857,16.622,16.557,16.77,16.603,17.061,16.939,17.001,16.329,16.835,16.506,16.904,16.533,16.725,16.668,16.651,16.607,16.051,16.188,16.202,16.481,16.151,16.13,16.155,16.303
3,X,False,6.1238,5.6126,5.7595,5.728,5.9154,5.5557,5.6875,5.1481,5.0755,5.1296,4.7228,4.6521,4.8259,4.8548,4.5731,4.3494,4.3787,4.3368,4.2988,4.2217,4.7081,4.7367,4.1908,4.7671,4.7883,4.7383,4.7851,4.8092,4.8277,4.7692,4.8022,4.7671,4.7573,4.6267,4.8395
4,X,True,3.8323,4.0007,3.7176,3.7828,3.8962,3.8883,3.7107,3.5106,3.5298,3.5992,3.6725,3.3858,3.537,3.309,3.5348,3.2453,3.2587,3.129,3.1387,3.1628,3.1622,3.288,3.152,3.215,3.1436,3.1832,3.2813,2.9477,2.8916,2.9919,3.048,3.2993,3.2001,3.1619,3.1814
5,X,False,16.769,14.482,14.761,15.593,14.265,12.218,14.84,11.778,12.762,12.496,11.003,14.073,12.07,12.918,14.571,14.074,14.443,13.588,12.909,12.28,14.66,12.233,11.365,11.783,11.985,13.517,13.101,13.377,11.721,14.507,12.289,13.71,14.246,14.562,14.008
6,X,True,6.1526,5.9407,6.0077,5.9413,6.3093,6.3883,6.2191,6.1103,6.2698,6.014,6.2111,6.0112,5.9894,6.1394,6.2735,6.1726,6.1919,6.1566,6.1493,6.325,6.4647,6.4954,6.2812,6.4099,6.5332,6.4657,6.599,6.4471,6.4097,6.4513,6.4222,6.3535,6.486,6.6431,6.507
7,X,False,6.7598,6.5545,5.4491,7.0448,7.109,7.1218,6.8063,6.8011,6.7412,6.6831,6.683,6.8061,6.913,7.0739,7.1297,7.0675,7.1801,7.2437,7.1832,7.3005,7.2468,7.3019,7.3901,7.4041,7.141,7.153,7.2394,7.2042,7.1494,7.2577,7.3443,7.3776,7.2669,7.1927,7.094
8,X,False,14.609,14.545,14.638,14.805,14.827,14.809,15.027,14.871,14.9,14.816,14.825,14.951,14.984,14.905,14.838,14.796,14.998,14.745,14.956,15.042,14.936,15.057,14.952,14.957,14.948,14.928,14.734,14.768,15.01,14.968,14.837,14.932,14.818,14.954,15.175
9,X,False,51.302,46.622,48.453,52.042,40.9,44.841,41.887,41.471,40.018,41.227,44.014,37.392,38.392,47.72,38.531,42.681,39.77,40.941,41.01,43.269,44.074,35.386,35.671,38.525,37.817,48.986,40.11,34.706,38.194,47.192,33.432,34.281,24.666,31.299,25.211
10,X,True,12.389,12.592,12.603,12.539,12.469,12.492,12.26,12.482,12.189,12.355,12.266,12.341,12.368,12.149,12.2,12.102,12.297,12.254,12.085,12.547,12.288,12.35,12.661,12.413,12.385,12.665,12.758,12.366,12.269,12.034,12.354,12.366,12.503,12.565,12.37
