,FLARE_TYPE,COINCIDENCE,d_l_f_1,d_l_f_2,d_l_f_3,d_l_f_4,d_l_f_5,d_l_f_6,d_l_f_7,d_l_f_8,d_l_f_9,d_l_f_10,d_l_f_11,d_l_f_12,d_l_f_13,d_l_f_14,d_l_f_15,d_l_f_16,d_l_f_17,d_l_f_18,d_l_f_19,d_l_f_20,d_l_f_21,d_l_f_22,d_l_f_23,d_l_f_24,d_l_f_25,d_l_f_26,d_l_f_27,d_l_f_28,d_l_f_29,d_l_f_30,d_l_f_31,d_l_f_32,d_l_f_33,d_l_f_34,d_l_f_35,d_l_f_36,d_l_f_37,d_l_f_38,d_l_f_39,d_l_f_40
0,X,False,171.11,170.05,172.19,169.78,168.43,171.41,169.93,168.61,167.77,168.12,168.06,169.51,169.66,169.47,170.64,171.78,170.36,171.73,171.77,173.55,174.37,174.76,174.57,175.62,174.4,177.29,178.5,178.53,173.58,178.79,170.58,176.76,176.28,176.94,177.7,178.47,176.28,176.99,177.48,178.96
1,X,False,228.15,226.86,227.39,226.86,226.08,225.68,228.28,228.57,227.66,228.28,228.78,229.43,228.79,227.79,228.46,229.55,228.94,228.67,227.78,230.13,230.81,229.08,230.46,232.01,230.46,228.97,228.84,229.1,228.82,230.79,230.6,232.57,231.29,230.87,230.33,229.09,227.92,227.12,226.19,228.97
2,X,False,284.27,280.42,282.42,282.18,279.68,277.97,278.89,280.16,281.48,282.27,284.34,285.71,285.13,284.87,284.79,287.22,285.61,285.65,282.32,285.7,282.91,286.2,283.21,284.44,282.21,282.57,281.27,276.21,277.62,277.13,278.22,275.51,277.05,276.32,278.85,277.7,274.42,271.18,272.56,267.98
3,X,False,83.003,76.922,79.425,77.401,79.738,75.69,77.252,71.512,70.93,71.069,65.472,64.604,67.422,67.146,62.471,59.787,59.115,59.03,59.491,57.79,64.468,65.626,57.504,64.593,65.45,64.63,64.799,65.224,66.302,65.131,64.852,65.334,64.403,62.463,64.127,64.332,64.725,65.4,65.599,65.868
4,X,True,47.656,50.036,46.362,47.108,48.24,47.791,46.027,44.171,43.846,44.837,46.355,43.167,44.94,41.752,45.097,40.559,41.073,39.797,39.81,40.089,39.829,41.312,39.813,40.946,40.434,40.135,41.719,37.671,36.853,38.716,39.086,42.92,41.258,41.282,41.617,48.889,48.906,49.48,38.414,50.367
5,X,False,359.3,318.92,327.6,350.96,315.87,267.3,325.37,259.99,278.19,283.75,245.01,320.22,264.76,287.49,324.98,324.77,333.82,312.09,288.05,284.66,349.1,291.65,267.97,278.98,283.29,323.5,311.85,318.46,271.9,341.77,282.53,322.22,334.58,343.11,319.93,306.85,324.16,293.93,312.68,321.68
6,X,True,103.4,102.04,101.87,102.12,104.85,105.72,103.91,102.77,103.94,102.4,102.51,103.52,103.05,104.87,105.7,105.01,105.22,104.36,104.8,106.57,107.15,108.34,106.61,106.93,107.96,106.73,108.4,107.81,106.61,108.18,107.48,106.69,107.59,108.17,108.12,109.39,110.13,109.48,109.05,108.75
7,X,False,493.8,491.61,493.69,499.2,499.87,500.05,502.18,499.83,500.21,502.28,501.07,502.4,503.38,500.06,499.35,500.15,503.88,500.89,505.19,506.89,507.38,509.1,506.58,506.84,506.67,505.48,505.77,506.85,510.74,512.34,509.0,507.87,509.06,512.49,515.77,517.88,516.51,517.97,518.4,520.06
8,X,False,406.3,391.83,398.12,397.63,392.35,396.84,399.87,398.07,398.26,397.15,400.99,407.88,414.45,422.61,420.1,417.04,424.36,437.5,446.29,450.5,454.14,345.56,326.5,354.96,366.05,478.37,359.74,311.26,351.91,483.2,315.62,326.05,225.77,300.07,234.11,221.21,216.34,265.13,281.51,304.15
9,X,True,246.94,249.03,249.22,248.14,246.39,247.4,244.77,247.81,244.55,248.29,248.81,249.31,250.8,249.41,249.32,249.63,250.01,251.24,248.52,253.4,252.33,254.31,258.78,255.1,252.11,258.11,261.99,253.96,253.1,251.69,254.88,251.95,252.54,255.0,252.7,248.83,248.83,250.68,248.07,246.91
