,FLARE_TYPE,COINCIDENCE,g_s_1,g_s_2,g_s_3,g_s_4,g_s_5,g_s_6,g_s_7,g_s_8,g_s_9,g_s_10,g_s_11,g_s_12,g_s_13,g_s_14,g_s_15,g_s_16,g_s_17,g_s_18,g_s_19,g_s_20,g_s_21,g_s_22,g_s_23,g_s_24,g_s_25,g_s_26,g_s_27,g_s_28,g_s_29,g_s_30,g_s_31,g_s_32,g_s_33,g_s_34,g_s_35,g_s_36,g_s_37,g_s_38,g_s_39,g_s_40
0,X,False,90177.0,95488.0,99707.0,126350.0,112640.0,106220.0,96951.0,97643.0,103450.0,94982.0,109330.0,95691.0,112320.0,101980.0,115740.0,93265.0,102680.0,108500.0,103060.0,83802.0,80370.0,81966.0,73761.0,76486.0,76916.0,63208.0,64400.0,71691.0,72150.0,69857.0,69593.0,61041.0,68184.0,75019.0,82241.0,75152.0,79287.0,88095.0,85382.0,88397.0
1,X,False,53345.0,57244.0,56641.0,63109.0,61677.0,58080.0,56071.0,49778.0,49333.0,51625.0,44968.0,44570.0,51049.0,48191.0,53662.0,55673.0,58037.0,61599.0,64854.0,54230.0,53793.0,55779.0,53675.0,46868.0,51363.0,51162.0,53641.0,55170.0,57595.0,55751.0,53700.0,53826.0,54152.0,62106.0,56836.0,59843.0,69249.0,65267.0,72563.0,66447.0
2,X,False,22712.0,23823.0,23979.0,26990.0,21875.0,23738.0,23418.0,23965.0,23624.0,26158.0,23084.0,27902.0,28855.0,20865.0,24441.0,28140.0,27204.0,22872.0,23245.0,22566.0,21113.0,20680.0,18699.0,20970.0,15911.0,16216.0,15839.0,22925.0,23206.0,22793.0,23157.0,24500.0,30488.0,27896.0,27776.0,28160.0,26917.0,21740.0,27100.0,29157.0
3,X,False,10917.0,13983.0,11363.0,10125.0,10222.0,10653.0,11185.0,11847.0,11977.0,11992.0,15913.0,16693.0,19112.0,17787.0,13530.0,11327.0,10766.0,10017.0,12965.0,13338.0,12012.0,12972.0,12326.0,11877.0,13561.0,12533.0,12389.0,12168.0,12797.0,12658.0,15621.0,14995.0,15274.0,15985.0,13611.0,13715.0,10456.0,13477.0,10325.0,12592.0
4,X,True,12555.0,13425.0,14097.0,12308.0,10512.0,10762.0,13336.0,11171.0,10936.0,10181.0,11655.0,10302.0,8320.8,9432.0,13474.0,9569.4,9900.4,8226.8,10919.0,9038.0,8737.0,9839.3,9587.6,9414.1,10337.0,9515.1,8448.9,8901.2,10137.0,9098.6,8919.9,9431.4,10146.0,11758.0,7722.5,7167.5,8455.9,7590.1,8112.2,6130.8
5,X,False,49339.0,47697.0,47923.0,54234.0,49323.0,45237.0,44540.0,42944.0,43192.0,52557.0,36415.0,44766.0,34623.0,44541.0,42623.0,42864.0,46708.0,54418.0,44993.0,45214.0,55501.0,49932.0,45950.0,45453.0,53671.0,56497.0,45242.0,53251.0,52229.0,54033.0,45278.0,55628.0,52580.0,63341.0,51693.0,63737.0,63159.0,65221.0,58360.0,49637.0
6,X,True,23349.0,28456.0,29320.0,33442.0,24647.0,25665.0,29184.0,26569.0,29355.0,37315.0,26551.0,34445.0,28060.0,25810.0,21700.0,25932.0,26778.0,29759.0,30530.0,25303.0,24749.0,27123.0,24803.0,26912.0,30205.0,27517.0,28555.0,34692.0,33396.0,25564.0,32905.0,37826.0,42784.0,29292.0,33551.0,31856.0,28277.0,28363.0,31311.0,28786.0
7,X,False,244100.0,231390.0,232280.0,249480.0,209150.0,233610.0,189030.0,215390.0,237730.0,239080.0,248650.0,268590.0,249360.0,264770.0,245430.0,303510.0,280490.0,292070.0,252300.0,259110.0,242260.0,253530.0,278540.0,261390.0,251430.0,246610.0,273380.0,290650.0,259960.0,272640.0,284410.0,275430.0,286920.0,286470.0,258560.0,289130.0,320740.0,265180.0,215380.0,245880.0
8,X,False,7449.7,9904.1,8980.2,5607.6,21075.0,9382.0,12223.0,14247.0,9075.4,3116.2,7939.1,4351.9,8752.1,3107.2,6536.5,3164.5,5172.7,6736.9,5099.9,1980.6,3600.4,4160.7,4312.6,4423.0,2830.1,4703.8,5043.8,3252.1,3832.4,8334.6,3678.7,6322.1,2414.2,3614.8,2594.8,2565.5,2194.5,2756.5,3200.0,4527.0
9,X,True,25912.0,24478.0,25105.0,35705.0,27379.0,24756.0,25006.0,26789.0,25984.0,25693.0,28074.0,34194.0,38224.0,30427.0,27731.0,29249.0,36651.0,42283.0,32664.0,40704.0,42044.0,51527.0,38357.0,39765.0,49503.0,47380.0,47366.0,46641.0,47753.0,52427.0,37215.0,44167.0,62275.0,44769.0,52042.0,49810.0,42953.0,52159.0,38927.0,41593.0
10,X,False,24856.0,25737.0,22603.0,23067.0,22632.0,22883.0,23127.0,21941.0,17445.0,16363.0,17640.0,15873.0,16080.0,17572.0,20296.0,15652.0,52978.0,76381.0,66952.0,70198.0,60847.0,61238.0,59408.0,70568.0,73720.0,92161.0,86014.0,76036.0,72254.0,65192.0,56011.0,66543.0,68578.0,48830.0,59070.0,57051.0,59606.0,84208.0,70761.0,78454.0
11,X,False,83967.0,96688.0,81706.0,82330.0,95764.0,96638.0,89377.0,93289.0,73115.0,84001.0,91194.0,73034.0,74864.0,80976.0,80752.0,71132.0,73225.0,84904.0,81486.0,73171.0,80177.0,71418.0,87201.0,71847.0,71147.0,71876.0,80474.0,77503.0,71195.0,65916.0,82860.0,86416.0,95727.0,72403.0,78225.0,77949.0,67178.0,68492.0,72510.0,76298.0
12,X,False,101400.0,94005.0,89694.0,91240.0,84401.0,90458.0,82658.0,86565.0,80578.0,76976.0,88225.0,90233.0,86882.0,92482.0,92195.0,86917.0,86235.0,91601.0,84803.0,84557.0,83555.0,78479.0,87584.0,80792.0,82256.0,75440.0,79157.0,75408.0,78246.0,79670.0,77802.0,80807.0,81198.0,75149.0,82349.0,84437.0,80030.0,86333.0,82472.0,93214.0
13,X,False,52072.0,45661.0,56666.0,55626.0,54202.0,52519.0,57957.0,55585.0,55079.0,53495.0,61246.0,58330.0,62203.0,52621.0,53698.0,53520.0,54993.0,52614.0,57999.0,53656.0,62161.0,59284.0,55218.0,55926.0,62376.0,66087.0,58874.0,59271.0,62965.0,60695.0,60862.0,60542.0,66953.0,65191.0,59234.0,62479.0,66485.0,60141.0,64863.0,62016.0
14,X,False,22304.0,21432.0,25951.0,23128.0,17262.0,18676.0,20715.0,17964.0,21112.0,25149.0,21824.0,19351.0,23448.0,26721.0,20368.0,19816.0,21874.0,22687.0,21560.0,21809.0,19638.0,18276.0,24679.0,20566.0,22954.0,22596.0,26323.0,24326.0,21726.0,20844.0,22054.0,20946.0,19092.0,19445.0,25747.0,20623.0,20728.0,19780.0,19440.0,16617.0
15,X,False,162470.0,148760.0,174190.0,169030.0,199840.0,197010.0,211780.0,187180.0,199180.0,202400.0,185200.0,176290.0,170330.0,214460.0,196280.0,179570.0,207530.0,196490.0,215750.0,194490.0,190110.0,201870.0,212020.0,170690.0,199480.0,212910.0,189430.0,185950.0,218980.0,224410.0,220500.0,230060.0,213000.0,226210.0,240450.0,230710.0,232760.0,216760.0,223250.0,226830.0
16,X,False,107860.0,93479.0,117600.0,68881.0,61844.0,83856.0,42785.0,55766.0,44179.0,98645.0,97480.0,152540.0,21573.0,78623.0,80735.0,45454.0,65910.0,10942.0,50074.0,114310.0,87882.0,118800.0,264480.0,146640.0,180660.0,218250.0,94483.0,160220.0,130380.0,163070.0,70058.0,0.0,48003.0,49624.0,55028.0,53586.0,17090.0,53345.0,66484.0,48496.0
