,FLARE_TYPE,COINCIDENCE,SAVNCPP_1,SAVNCPP_2,SAVNCPP_3,SAVNCPP_4,SAVNCPP_5,SAVNCPP_6,SAVNCPP_7,SAVNCPP_8,SAVNCPP_9,SAVNCPP_10,SAVNCPP_11,SAVNCPP_12,SAVNCPP_13,SAVNCPP_14,SAVNCPP_15,SAVNCPP_16,SAVNCPP_17,SAVNCPP_18,SAVNCPP_19,SAVNCPP_20,SAVNCPP_21,SAVNCPP_22,SAVNCPP_23,SAVNCPP_24,SAVNCPP_25,SAVNCPP_26,SAVNCPP_27,SAVNCPP_28,SAVNCPP_29,SAVNCPP_30,SAVNCPP_31,SAVNCPP_32,SAVNCPP_33,SAVNCPP_34,SAVNCPP_35,SAVNCPP_36,SAVNCPP_37,SAVNCPP_38,SAVNCPP_39,SAVNCPP_40
0,X,False,13441000000000.0,12261000000000.0,13697000000000.0,15390000000000.0,17569000000000.0,14167000000000.0,15406000000000.0,15421000000000.0,17887000000000.0,17887000000000.0,18359000000000.0,19056000000000.0,17222000000000.0,17629000000000.0,18192000000000.0,17569000000000.0,18649000000000.0,17487000000000.0,17157000000000.0,17585000000000.0,16924000000000.0,15621000000000.0,16352000000000.0,16990000000000.0,15292000000000.0,15112000000000.0,16664000000000.0,14934000000000.0,15307000000000.0,16334000000000.0,15415000000000.0,16983000000000.0,16067000000000.0,15904000000000.0,18073000000000.0,18327000000000.0,17999000000000.0,17287000000000.0,16573000000000.0,14755000000000.0
1,X,False,10216000000000.0,10992000000000.0,11903000000000.0,11343000000000.0,10558000000000.0,12472000000000.0,11281000000000.0,12680000000000.0,10257000000000.0,11810000000000.0,11347000000000.0,12180000000000.0,9991100000000.0,10716000000000.0,10670000000000.0,11429000000000.0,12167000000000.0,12141000000000.0,11732000000000.0,9895000000000.0,11066000000000.0,10628000000000.0,10055000000000.0,7781500000000.0,9461200000000.0,8514700000000.0,7377400000000.0,5526700000000.0,6813800000000.0,6521100000000.0,6925100000000.0,7829500000000.0,6596700000000.0,6026600000000.0,6231900000000.0,7071800000000.0,6931900000000.0,7436500000000.0,7138700000000.0,6248400000000.0
2,X,False,35099000000000.0,35459000000000.0,33438000000000.0,32545000000000.0,31551000000000.0,33581000000000.0,32900000000000.0,34454000000000.0,34348000000000.0,34050000000000.0,34452000000000.0,34141000000000.0,32913000000000.0,33109000000000.0,35732000000000.0,34495000000000.0,34834000000000.0,36859000000000.0,35653000000000.0,37125000000000.0,37245000000000.0,36664000000000.0,37368000000000.0,37419000000000.0,37400000000000.0,35727000000000.0,38414000000000.0,38048000000000.0,38542000000000.0,38584000000000.0,35941000000000.0,33972000000000.0,35142000000000.0,36664000000000.0,37279000000000.0,37627000000000.0,35219000000000.0,36184000000000.0,37631000000000.0,36237000000000.0
3,X,False,9718700000000.0,10063000000000.0,9479000000000.0,9727700000000.0,9943000000000.0,9449100000000.0,10071000000000.0,8196400000000.0,8824800000000.0,5609400000000.0,6016000000000.0,8441700000000.0,6942000000000.0,8423800000000.0,7072400000000.0,5369700000000.0,5665400000000.0,7612500000000.0,6920900000000.0,7990500000000.0,8196100000000.0,10071000000000.0,10637000000000.0,8618700000000.0,7601000000000.0,8371700000000.0,9082400000000.0,8287000000000.0,8166900000000.0,9490300000000.0,9881000000000.0,9767000000000.0,10144000000000.0,10803000000000.0,11074000000000.0,12614000000000.0,13360000000000.0,13985000000000.0,11756000000000.0,13109000000000.0
4,X,True,18909000000000.0,19823000000000.0,20391000000000.0,19676000000000.0,19498000000000.0,19340000000000.0,21122000000000.0,19854000000000.0,19977000000000.0,20564000000000.0,21042000000000.0,20309000000000.0,20601000000000.0,19452000000000.0,17976000000000.0,17855000000000.0,18783000000000.0,17536000000000.0,18046000000000.0,17049000000000.0,17133000000000.0,17858000000000.0,17339000000000.0,17212000000000.0,17546000000000.0,18535000000000.0,19964000000000.0,19404000000000.0,18976000000000.0,19417000000000.0,18713000000000.0,18702000000000.0,18509000000000.0,19632000000000.0,18582000000000.0,19467000000000.0,20594000000000.0,19083000000000.0,20798000000000.0,19125000000000.0
5,X,False,8865200000000.0,13544000000000.0,2765700000000.0,6920600000000.0,9755700000000.0,3756800000000.0,1581700000000.0,4506500000000.0,4262200000000.0,4713400000000.0,8573100000000.0,5852600000000.0,3996800000000.0,8983400000000.0,8427300000000.0,12679000000000.0,10984000000000.0,8660600000000.0,13420000000000.0,8649400000000.0,11002000000000.0,6486400000000.0,14459000000000.0,8110700000000.0,11584000000000.0,12224000000000.0,10485000000000.0,8653600000000.0,3821600000000.0,11533000000000.0,6827300000000.0,8713900000000.0,8381900000000.0,3299600000000.0,4224500000000.0,1497500000000.0,9515600000000.0,2216500000000.0,6330000000000.0,1502500000000.0
6,X,True,33348000000000.0,32100000000000.0,33119000000000.0,33247000000000.0,35962000000000.0,34662000000000.0,37555000000000.0,35790000000000.0,35521000000000.0,40719000000000.0,37993000000000.0,36109000000000.0,35794000000000.0,39132000000000.0,38652000000000.0,36109000000000.0,38516000000000.0,39824000000000.0,39398000000000.0,40113000000000.0,37347000000000.0,35050000000000.0,35353000000000.0,37369000000000.0,37845000000000.0,35527000000000.0,37345000000000.0,36541000000000.0,34419000000000.0,34767000000000.0,35408000000000.0,31179000000000.0,33224000000000.0,36479000000000.0,32324000000000.0,33419000000000.0,32452000000000.0,35239000000000.0,35024000000000.0,36024000000000.0
7,X,False,59416000000000.0,56582000000000.0,55785000000000.0,58894000000000.0,59070000000000.0,57113000000000.0,58565000000000.0,59089000000000.0,58574000000000.0,56659000000000.0,54360000000000.0,56484000000000.0,52928000000000.0,59511000000000.0,58240000000000.0,56788000000000.0,63153000000000.0,59833000000000.0,60576000000000.0,64406000000000.0,64471000000000.0,64885000000000.0,65396000000000.0,65690000000000.0,71869000000000.0,64033000000000.0,67513000000000.0,62440000000000.0,61282000000000.0,58771000000000.0,61160000000000.0,62285000000000.0,66236000000000.0,59818000000000.0,57987000000000.0,60418000000000.0,62538000000000.0,63236000000000.0,60199000000000.0,59785000000000.0
8,X,False,10164000000000.0,15234000000000.0,14154000000000.0,13688000000000.0,13949000000000.0,16694000000000.0,27724000000000.0,16041000000000.0,16207000000000.0,26900000000000.0,16309000000000.0,27900000000000.0,17087000000000.0,14293000000000.0,10622000000000.0,12228000000000.0,13133000000000.0,11829000000000.0,16716000000000.0,10527000000000.0,17609000000000.0,19991000000000.0,21680000000000.0,20529000000000.0,19420000000000.0,22999000000000.0,23552000000000.0,25325000000000.0,21374000000000.0,27042000000000.0,27832000000000.0,28308000000000.0,26401000000000.0,24784000000000.0,23625000000000.0,23956000000000.0,26534000000000.0,19857000000000.0,16323000000000.0,20765000000000.0
9,X,True,36237000000000.0,35802000000000.0,38451000000000.0,36487000000000.0,39332000000000.0,33700000000000.0,34900000000000.0,33755000000000.0,35141000000000.0,34706000000000.0,44219000000000.0,39782000000000.0,36042000000000.0,38037000000000.0,34569000000000.0,37142000000000.0,39474000000000.0,39428000000000.0,37317000000000.0,38516000000000.0,36217000000000.0,35391000000000.0,37282000000000.0,34602000000000.0,36680000000000.0,36899000000000.0,36685000000000.0,34452000000000.0,35254000000000.0,35237000000000.0,34795000000000.0,35703000000000.0,35367000000000.0,37754000000000.0,37335000000000.0,34545000000000.0,35361000000000.0,37694000000000.0,34268000000000.0,37044000000000.0
10,X,False,18820000000000.0,18505000000000.0,9365800000000.0,12111000000000.0,11461000000000.0,13818000000000.0,10919000000000.0,13321000000000.0,11644000000000.0,14833000000000.0,19811000000000.0,17936000000000.0,14618000000000.0,16223000000000.0,19373000000000.0,16034000000000.0,7857600000000.0,10667000000000.0,10680000000000.0,8134400000000.0,14187000000000.0,11670000000000.0,12647000000000.0,17340000000000.0,16214000000000.0,17942000000000.0,11169000000000.0,15168000000000.0,17179000000000.0,12156000000000.0,14360000000000.0,10585000000000.0,15381000000000.0,14117000000000.0,13599000000000.0,11919000000000.0,21268000000000.0,28949000000000.0,18649000000000.0,18641000000000.0
11,X,False,36218000000000.0,37487000000000.0,36973000000000.0,35881000000000.0,39638000000000.0,41104000000000.0,39503000000000.0,44901000000000.0,43395000000000.0,40446000000000.0,43500000000000.0,39508000000000.0,41590000000000.0,40070000000000.0,40285000000000.0,42105000000000.0,37798000000000.0,44609000000000.0,46430000000000.0,42452000000000.0,45767000000000.0,39257000000000.0,35491000000000.0,37269000000000.0,38776000000000.0,39722000000000.0,41698000000000.0,36807000000000.0,34030000000000.0,35227000000000.0,34138000000000.0,36005000000000.0,40024000000000.0,34348000000000.0,34285000000000.0,35250000000000.0,33511000000000.0,36526000000000.0,38826000000000.0,38099000000000.0
12,X,False,15001000000000.0,14010000000000.0,12278000000000.0,16153000000000.0,14082000000000.0,12116000000000.0,11116000000000.0,12960000000000.0,11350000000000.0,12200000000000.0,11583000000000.0,10574000000000.0,8589800000000.0,9723500000000.0,11149000000000.0,10964000000000.0,8477800000000.0,10641000000000.0,8157700000000.0,8695300000000.0,8801200000000.0,9489500000000.0,8837600000000.0,9112200000000.0,10802000000000.0,10525000000000.0,13033000000000.0,12153000000000.0,12135000000000.0,11707000000000.0,15369000000000.0,14742000000000.0,14836000000000.0,14210000000000.0,15234000000000.0,14505000000000.0,14822000000000.0,14977000000000.0,16138000000000.0,18151000000000.0
13,X,False,11109000000000.0,15268000000000.0,15829000000000.0,13667000000000.0,16486000000000.0,17835000000000.0,16155000000000.0,14728000000000.0,14603000000000.0,13754000000000.0,11979000000000.0,10463000000000.0,11875000000000.0,10645000000000.0,10694000000000.0,11254000000000.0,11491000000000.0,10149000000000.0,9041100000000.0,9540700000000.0,11555000000000.0,11387000000000.0,8888800000000.0,10469000000000.0,11153000000000.0,10544000000000.0,12634000000000.0,12004000000000.0,12248000000000.0,11456000000000.0,13603000000000.0,13596000000000.0,16643000000000.0,15410000000000.0,15433000000000.0,15829000000000.0,14782000000000.0,14497000000000.0,16098000000000.0,16203000000000.0
14,X,False,25515000000000.0,28021000000000.0,27156000000000.0,25473000000000.0,25812000000000.0,25569000000000.0,24988000000000.0,26253000000000.0,27360000000000.0,28992000000000.0,28034000000000.0,25138000000000.0,25520000000000.0,26953000000000.0,28646000000000.0,28990000000000.0,28641000000000.0,27052000000000.0,29340000000000.0,28359000000000.0,30077000000000.0,27266000000000.0,27316000000000.0,26479000000000.0,25022000000000.0,23824000000000.0,23776000000000.0,27094000000000.0,26848000000000.0,29392000000000.0,29343000000000.0,28894000000000.0,29307000000000.0,28712000000000.0,27664000000000.0,29458000000000.0,28458000000000.0,28649000000000.0,29904000000000.0,28251000000000.0
15,X,False,66474000000000.0,66590000000000.0,66444000000000.0,66697000000000.0,68947000000000.0,70054000000000.0,68049000000000.0,68206000000000.0,68391000000000.0,70153000000000.0,70386000000000.0,71425000000000.0,72600000000000.0,71693000000000.0,71649000000000.0,71351000000000.0,69822000000000.0,69413000000000.0,67376000000000.0,66530000000000.0,71322000000000.0,69489000000000.0,68366000000000.0,64447000000000.0,65064000000000.0,67118000000000.0,66717000000000.0,69890000000000.0,69062000000000.0,66843000000000.0,68533000000000.0,71886000000000.0,69356000000000.0,67694000000000.0,70010000000000.0,67355000000000.0,69072000000000.0,70413000000000.0,68404000000000.0,68158000000000.0
16,X,False,278290000000.0,230560000000.0,201390000000.0,116990000000.0,598390000000.0,613090000000.0,114030000000.0,576820000000.0,262490000000.0,732710000000.0,939870000000.0,357600000000.0,191030000000.0,614260000000.0,912780000000.0,965530000000.0,732190000000.0,833150000000.0,839520000000.0,988510000000.0,1629700000000.0,850140000000.0,776490000000.0,191990000000.0,890640000000.0,1557100000000.0,1777800000000.0,2376400000000.0,1729900000000.0,2589100000000.0,1479400000000.0,1649700000000.0,2763400000000.0,1495200000000.0,502100000000.0,1657500000000.0,905770000000.0,923190000000.0,1088800000000.0,2070300000000.0
