,name,tss,std,label,dataset
0,KNN,0.8375395110189799,0.0386728288978025,default_timepoint_with_filter,All Flares
1,LR,0.8751319484261751,0.02360043051417909,default_timepoint_with_filter,All Flares
2,RFC,0.8868213293344509,0.031419006132151955,default_timepoint_with_filter,All Flares
3,SVM,0.8533027536423645,0.03311313788426481,default_timepoint_with_filter,All Flares
4,DART,0.8698892956379837,0.029953708689688923,default_timepoint_with_filter,All Flares
5,LDA,0.8193034299239917,0.04270124257272821,default_timepoint_with_filter,All Flares
6,KNN,0.8339068100358423,0.06253020749688648,default_timepoint_with_filter,Coincidental Flares
7,LR,0.8656989247311826,0.0540831711484472,default_timepoint_with_filter,Coincidental Flares
8,RFC,0.8649462365591398,0.06477522644556712,default_timepoint_with_filter,Coincidental Flares
9,SVM,0.8822939068100357,0.053891412809077416,default_timepoint_with_filter,Coincidental Flares
10,DART,0.8392473118279571,0.053980743645046174,default_timepoint_with_filter,Coincidental Flares
11,LDA,0.8757347670250897,0.05805434885982943,default_timepoint_with_filter,Coincidental Flares
12,KNN,0.7960109819121448,0.04275779782878313,default_timepoint_with_filter,Noncoincidental Flares
13,LR,0.8718507751937987,0.042391380534622755,default_timepoint_with_filter,Noncoincidental Flares
14,RFC,0.8477874677002583,0.038809940643889394,default_timepoint_with_filter,Noncoincidental Flares
15,SVM,0.7823643410852713,0.051868909917953336,default_timepoint_with_filter,Noncoincidental Flares
16,DART,0.8265503875968992,0.04343492664888028,default_timepoint_with_filter,Noncoincidental Flares
17,LDA,0.8018087855297157,0.05578637600476356,default_timepoint_with_filter,Noncoincidental Flares
18,KNN,0.7114698876646227,0.027945061199819675,default_timepoint_without_filter,All Flares
19,LR,0.7335208150845971,0.023586799658140964,default_timepoint_without_filter,All Flares
20,RFC,0.742663162909348,0.021315792580295066,default_timepoint_without_filter,All Flares
21,SVM,0.6782920719806989,0.02469752907032959,default_timepoint_without_filter,All Flares
22,DART,0.7497782490433822,0.030335298850638313,default_timepoint_without_filter,All Flares
23,LDA,0.647827209441704,0.03215548098898569,default_timepoint_without_filter,All Flares
24,KNN,0.7529411764705884,0.062473592316114226,default_timepoint_without_filter,Coincidental Flares
25,LR,0.751685049019608,0.060892536448320614,default_timepoint_without_filter,Coincidental Flares
26,RFC,0.7761335784313724,0.046428139238931805,default_timepoint_without_filter,Coincidental Flares
27,SVM,0.7722426470588236,0.04797430213079252,default_timepoint_without_filter,Coincidental Flares
28,DART,0.7722426470588234,0.04717763226834855,default_timepoint_without_filter,Coincidental Flares
29,LDA,0.752328431372549,0.048007943002289055,default_timepoint_without_filter,Coincidental Flares
30,KNN,0.6353824103824105,0.028938885999171327,default_timepoint_without_filter,Noncoincidental Flares
31,LR,0.7317478317478319,0.027695112028843536,default_timepoint_without_filter,Noncoincidental Flares
32,RFC,0.697972447972448,0.02713868979780032,default_timepoint_without_filter,Noncoincidental Flares
33,SVM,0.6197405447405447,0.03507602546280034,default_timepoint_without_filter,Noncoincidental Flares
34,DART,0.6683692433692433,0.031335630743702145,default_timepoint_without_filter,Noncoincidental Flares
35,LDA,0.6069037569037569,0.039846234532364855,default_timepoint_without_filter,Noncoincidental Flares
36,KNN,0.8582996752989625,0.02498942837256293,nearest_timepoint_with_filter,All Flares
37,LR,0.8546342493598373,0.026426532549448833,nearest_timepoint_with_filter,All Flares
38,RFC,0.890059660515826,0.026920771971184882,nearest_timepoint_with_filter,All Flares
39,SVM,0.8205102821995196,0.028252961743920297,nearest_timepoint_with_filter,All Flares
40,DART,0.8724848868826063,0.024502665783402513,nearest_timepoint_with_filter,All Flares
41,LDA,0.8100881708508223,0.03303542061646158,nearest_timepoint_with_filter,All Flares
42,KNN,0.8929966329966331,0.03949304061911866,nearest_timepoint_with_filter,Coincidental Flares
43,LR,0.8780471380471382,0.05575289916788923,nearest_timepoint_with_filter,Coincidental Flares
44,RFC,0.9091582491582492,0.03214379204807831,nearest_timepoint_with_filter,Coincidental Flares
45,SVM,0.8764309764309764,0.043485470913265614,nearest_timepoint_with_filter,Coincidental Flares
46,DART,0.8842424242424243,0.032754488413656385,nearest_timepoint_with_filter,Coincidental Flares
47,LDA,0.9162962962962964,0.032897604439765436,nearest_timepoint_with_filter,Coincidental Flares
48,KNN,0.8190740740740743,0.025085257917730187,nearest_timepoint_with_filter,Noncoincidental Flares
49,LR,0.8458528265107214,0.02884715664781454,nearest_timepoint_with_filter,Noncoincidental Flares
50,RFC,0.8590545808966862,0.03019032239932346,nearest_timepoint_with_filter,Noncoincidental Flares
51,SVM,0.7816959064327487,0.04293778426782159,nearest_timepoint_with_filter,Noncoincidental Flares
52,DART,0.8363791423001949,0.042406399639379644,nearest_timepoint_with_filter,Noncoincidental Flares
53,LDA,0.7849707602339182,0.036713092905389405,nearest_timepoint_with_filter,Noncoincidental Flares
54,KNN,0.6882573384218119,0.026660511296051955,nearest_timepoint_without_filter,All Flares
55,LR,0.6847381237183867,0.03298505274926839,nearest_timepoint_without_filter,All Flares
56,RFC,0.7353703861927545,0.021482430578930456,nearest_timepoint_without_filter,All Flares
57,SVM,0.6116389458494723,0.026005363348813662,nearest_timepoint_without_filter,All Flares
58,DART,0.7279707317536264,0.027202246299562135,nearest_timepoint_without_filter,All Flares
59,LDA,0.5735009873167768,0.028857152012009852,nearest_timepoint_without_filter,All Flares
60,KNN,0.720471218206158,0.04499815911190961,nearest_timepoint_without_filter,Coincidental Flares
61,LR,0.6770923694779115,0.044165788598454804,nearest_timepoint_without_filter,Coincidental Flares
62,RFC,0.7475930388219545,0.04229510076359038,nearest_timepoint_without_filter,Coincidental Flares
63,SVM,0.708904953145917,0.05136969851404759,nearest_timepoint_without_filter,Coincidental Flares
64,DART,0.728289156626506,0.0473756447253693,nearest_timepoint_without_filter,Coincidental Flares
65,LDA,0.688883534136546,0.056957946917702645,nearest_timepoint_without_filter,Coincidental Flares
66,KNN,0.6033166370575077,0.038134710180265936,nearest_timepoint_without_filter,Noncoincidental Flares
67,LR,0.6931890709303855,0.026005222038947697,nearest_timepoint_without_filter,Noncoincidental Flares
68,RFC,0.6637308362942492,0.028609474114714813,nearest_timepoint_without_filter,Noncoincidental Flares
69,SVM,0.5578081819976313,0.04088286846088232,nearest_timepoint_without_filter,Noncoincidental Flares
70,DART,0.6424365048032635,0.03710913441361578,nearest_timepoint_without_filter,Noncoincidental Flares
71,LDA,0.5331013949203843,0.03374869315751619,nearest_timepoint_without_filter,Noncoincidental Flares
