,FLARE_TYPE,COINCIDENCE,AREA_ACR_21,AREA_ACR_22,AREA_ACR_23,AREA_ACR_24,AREA_ACR_25,AREA_ACR_26,AREA_ACR_27,AREA_ACR_28,AREA_ACR_29,AREA_ACR_30,AREA_ACR_31,AREA_ACR_32,AREA_ACR_33,AREA_ACR_34,AREA_ACR_35,AREA_ACR_36,AREA_ACR_37,AREA_ACR_38,AREA_ACR_39,AREA_ACR_40,AREA_ACR_41,AREA_ACR_42,AREA_ACR_43,AREA_ACR_44,AREA_ACR_45,AREA_ACR_46,AREA_ACR_47,AREA_ACR_48,AREA_ACR_49,AREA_ACR_50,AREA_ACR_51,AREA_ACR_52,AREA_ACR_53,AREA_ACR_54,AREA_ACR_55,AREA_ACR_56,AREA_ACR_57,AREA_ACR_58,AREA_ACR_59,AREA_ACR_60,AREA_ACR_61,AREA_ACR_62,AREA_ACR_63,AREA_ACR_64,AREA_ACR_65,AREA_ACR_66,AREA_ACR_67,AREA_ACR_68,AREA_ACR_69,AREA_ACR_70,AREA_ACR_71,AREA_ACR_72,AREA_ACR_73,AREA_ACR_74,AREA_ACR_75,AREA_ACR_76,AREA_ACR_77,AREA_ACR_78,AREA_ACR_79,AREA_ACR_80,AREA_ACR_81,AREA_ACR_82,AREA_ACR_83,AREA_ACR_84,AREA_ACR_85,AREA_ACR_86,AREA_ACR_87,AREA_ACR_88,AREA_ACR_89,AREA_ACR_90,AREA_ACR_91,AREA_ACR_92,AREA_ACR_93,AREA_ACR_94,AREA_ACR_95,AREA_ACR_96,AREA_ACR_97,AREA_ACR_98,AREA_ACR_99,AREA_ACR_100
0,X,False,1012.6,1014.5,1012.9,1017.4,1017.5,1025.4,1031.0,1033.0,1033.4,1035.8,1038.3,1037.4,1037.2,1031.1,1035.0,1041.5,1038.8,1041.5,1043.0,1046.9,1041.9,1039.3,1034.6,1040.0,1038.9,1039.3,1040.6,1038.0,1040.0,1040.1,1049.4,1046.0,1049.1,1055.7,1060.0,1065.8,1067.6,1067.1,1069.1,1069.7,1074.1,1078.2,1076.0,1082.6,1082.1,1085.8,1089.6,1102.7,1107.0,1105.4,1107.0,1112.1,1115.4,1122.5,1126.7,1121.8,1116.8,1113.9,1111.7,1111.3,1108.6,1110.4,1111.7,1116.7,1117.6,1124.3,1125.4,1132.0,1132.6,1130.7,1134.3,1134.1,1129.1,1131.1,1132.5,1132.2,1128.7,1124.7,1122.6,1120.5
1,X,False,1400.8,1403.3,1403.1,1401.6,1402.4,1408.9,1408.9,1408.4,1408.9,1414.6,1417.4,1415.6,1420.3,1424.5,1417.7,1427.3,1430.3,1431.7,1435.2,1438.0,1443.2,1451.2,1447.1,1448.9,1444.6,1443.2,1449.8,1450.9,1457.2,1463.3,1458.3,1459.9,1449.8,1459.8,1459.6,1461.0,1459.3,1461.7,1476.6,1477.2,1473.2,1469.4,1471.6,1469.1,1467.1,1472.5,1469.4,1473.8,1471.7,1475.5,1478.1,1474.0,1475.7,1476.9,1491.8,1489.4,1490.4,1486.6,1482.3,1489.7,1499.5,1505.9,1511.0,1516.0,1516.5,1514.5,1518.7,1525.7,1534.7,1536.5,1534.2,1538.8,1539.9,1547.9,1551.2,1543.2,1547.4,1547.1,1545.7,1549.7
2,X,False,1032.7,1028.7,1034.8,1029.4,1018.3,1021.3,1014.1,1021.3,1020.8,1021.4,1019.9,1021.1,1014.1,1011.0,1006.6,1009.3,1017.7,1012.3,1008.6,1011.4,1009.1,1008.7,1011.6,1009.0,995.06,994.94,1000.5,992.95,982.94,986.84,984.94,987.53,982.25,974.62,979.12,978.21,982.07,983.36,973.95,975.18,965.14,957.94,964.15,956.34,949.77,937.07,935.26,940.44,935.17,942.83,941.66,944.15,944.22,944.01,940.81,938.57,943.07,945.21,945.16,948.39,944.18,955.71,956.6,960.19,951.33,950.07,941.33,944.45,949.43,950.08,948.24,950.67,949.08,949.24,951.36,965.91,965.19,971.31,960.67,960.06
3,X,False,1347.5,1343.6,1349.8,1348.7,1344.4,1333.5,1332.5,1329.6,1338.2,1338.1,1338.6,1342.0,1343.4,1345.5,1343.2,1340.6,1339.5,1342.8,1346.8,1345.2,1342.7,1336.3,1334.5,1330.4,1331.0,1338.8,1332.2,1332.7,1338.4,1336.2,1325.6,1329.3,1315.8,1308.4,1306.8,1299.8,1299.4,1297.0,1297.8,1299.8,1299.8,1298.5,1297.3,1295.8,1284.9,1285.2,1288.1,1292.9,1293.6,1286.0,1280.4,1283.3,1279.8,1276.1,1274.1,1269.3,1264.0,1265.1,1268.9,1261.3,1261.3,1266.8,1265.0,1258.8,1261.7,1259.1,1255.5,1259.7,1260.4,1264.9,1262.4,1261.3,1254.0,1256.9,1262.8,1257.6,1257.8,1256.5,1254.7,1249.1
4,X,True,1194.0,1193.4,1195.4,1198.9,1194.1,1193.6,1188.7,1195.8,1192.5,1194.2,1198.0,1192.4,1188.7,1185.1,1183.0,1189.4,1183.4,1182.8,1188.1,1188.8,1186.1,1188.3,1181.0,1174.3,1176.6,1174.3,1179.5,1189.5,1181.9,1180.7,1179.4,1180.6,1180.5,1186.3,1169.7,1174.4,1174.3,1165.2,1165.1,1162.1,1167.0,1163.3,1156.4,1153.1,1152.6,1150.2,1148.1,1147.6,1147.7,1146.4,1141.1,1135.2,1136.0,1137.8,1137.8,1140.3,1134.3,1142.3,1140.5,1145.9,1138.1,1127.7,1127.6,1127.3,1130.8,1126.4,1133.6,1132.3,1134.2,1126.1,1121.5,1118.9,1109.1,1116.6,1114.2,1111.6,1112.5,1109.3,1107.7,1109.8
5,X,True,1952.9,1934.5,1935.7,1936.0,1934.4,1939.1,1937.0,1930.1,1935.5,1935.1,1945.0,1942.0,1937.7,1936.9,1936.9,1934.5,1929.9,1934.3,1937.0,1946.9,1944.6,1955.6,1954.8,1957.1,1959.3,1949.3,1945.7,1941.7,1929.1,1917.5,1929.2,1929.2,1939.7,1937.2,1953.9,1947.6,1931.6,1938.0,1949.8,1939.3,1933.4,1937.4,1921.1,1918.7,1910.2,1920.7,1930.3,1924.4,1922.1,1922.2,1917.1,1919.5,1913.5,1927.1,1939.1,1938.1,1937.0,1941.9,1944.7,1933.4,1929.3,1935.5,1934.1,1936.9,1932.3,1932.6,1947.4,1945.2,1942.5,1938.5,1947.1,1946.0,1960.2,1942.4,1938.1,1942.0,1941.0,1942.6,1942.9,1935.7
6,X,False,2652.5,2655.2,2664.4,2653.0,2652.8,2647.2,2645.7,2639.3,2664.1,2666.8,2676.6,2667.5,2673.4,2673.0,2658.1,2666.7,2650.0,2650.1,2653.3,2657.8,2665.5,2654.9,2649.5,2656.2,2670.6,2670.4,2653.3,2635.8,2655.9,2655.8,2663.4,2670.6,2666.7,2653.2,2647.2,2648.9,2646.1,2665.3,2669.1,2665.5,2667.9,2666.8,2676.1,2667.4,2669.5,2664.4,2665.6,2677.5,2688.0,2682.1,2667.2,2677.7,2685.2,2678.1,2688.3,2675.1,2679.5,2683.0,2676.0,2673.6,2666.8,2665.9,2660.7,2666.1,2676.2,2673.6,2660.2,2663.0,2657.5,2643.6,2644.2,2648.2,2646.6,2637.3,2644.0,2630.4,2612.5,2601.7,2625.6,2619.9
7,X,False,1049.4,1046.6,1044.5,1038.2,1035.0,1030.7,1034.3,1035.8,1043.2,1043.4,1051.0,1047.5,1051.7,1047.9,1040.8,1046.5,1043.9,1033.8,1046.3,1040.6,1037.7,1041.6,1043.8,1050.2,1034.9,1034.5,1034.0,1033.7,1034.8,1043.6,1028.3,1033.0,1042.9,1033.6,1033.8,1018.3,1020.5,1009.2,994.56,997.72,989.77,970.17,964.14,973.15,969.72,948.55,951.14,946.26,942.09,946.82,936.82,910.87,920.04,924.97,917.35,905.69,904.98,922.25,910.51,892.95,902.66,898.11,887.01,893.02,902.17,894.85,887.03,882.09,872.05,877.45,859.06,857.48,859.94,860.06,860.02,879.05,877.5,860.81,863.44,862.47
8,X,True,1203.2,1208.9,1206.0,1198.4,1205.2,1203.8,1208.3,1213.1,1214.2,1212.8,1214.8,1205.1,1218.2,1205.1,1219.0,1216.5,1215.5,1215.5,1217.6,1219.0,1232.4,1231.9,1238.5,1237.6,1233.1,1241.9,1249.8,1246.9,1246.9,1251.6,1259.1,1245.6,1250.4,1243.1,1249.8,1255.1,1253.2,1258.4,1260.8,1259.3,1267.1,1280.7,1268.8,1274.7,1272.1,1272.2,1276.3,1291.1,1293.0,1291.4,1299.9,1308.1,1303.2,1304.3,1301.2,1295.6,1292.9,1306.7,1308.6,1314.7,1318.2,1328.6,1325.4,1324.4,1318.6,1328.9,1331.2,1338.5,1338.6,1344.0,1338.6,1351.9,1347.6,1352.3,1363.3,1366.5,1372.6,1371.1,1378.6,1379.1
9,X,False,2253.4,2264.9,2259.6,2275.7,2277.2,2280.1,2292.5,2296.4,2306.3,2317.2,2318.1,2340.0,2330.0,2332.7,2319.6,2337.6,2353.3,2347.9,2355.9,2361.5,2362.9,2363.2,2362.6,2361.5,2375.2,2366.9,2359.6,2361.4,2366.2,2370.2,2367.7,2381.6,2387.5,2395.9,2404.8,2398.5,2423.8,2418.6,2423.1,2432.1,2434.9,2449.0,2451.0,2453.1,2463.6,2471.5,2483.4,2493.3,2504.5,2501.9,2499.2,2495.4,2495.2,2489.4,2504.0,2512.9,2508.6,2517.4,2528.3,2511.9,2522.1,2517.0,2515.1,2526.7,2517.8,2516.0,2518.0,2514.5,2514.3,2525.4,2524.6,2521.3,2525.9,2522.7,2533.2,2534.0,2550.7,2557.2,2553.5,2553.6
