,name,tss,dataset
0,KNN,0.7636379076086957,0h-24h Parameter Mean
1,LR,0.8039628623188405,0h-24h Parameter Mean
2,RFC,0.8071501358695653,0h-24h Parameter Mean
3,SVM,0.7726732336956522,0h-24h Parameter Mean
4,KNN,0.8258113810012543,24h in Advance Timepoint
5,LR,0.872056106739651,24h in Advance Timepoint
6,RFC,0.8692188390922568,24h in Advance Timepoint
7,SVM,0.8484547838978218,24h in Advance Timepoint
8,KNN,0.700203804347826,"0h-24h Time Series, R_VALUE"
9,LR,0.6997282608695652,"0h-24h Time Series, R_VALUE"
10,RFC,0.7298629981884058,"0h-24h Time Series, R_VALUE"
11,SVM,0.7217900815217391,"0h-24h Time Series, R_VALUE"
