,FLARE_TYPE,COINCIDENCE,LABEL,ABSNJZH,AREA_ACR,MEANGAM,MEANGBH,MEANGBT,MEANGBZ,MEANJZD,MEANJZH,MEANPOT,MEANSHR,R_VALUE,SAVNCPP,SHRGT45,TOTPOT,TOTUSJH,TOTUSJZ,USFLUX,d_l_f,g_s,slf
0,X,False,1,777.5505999999998,1008.7106000000002,60.284939999999985,73.26559999999999,99.75144,109.26340000000002,0.092822328,0.021096659999999993,15564.82,51.40479999999999,4.832402,16297260000000.0,57.41274000000001,7.636042e+23,2929.278000000001,50374600000000.0,2.3242019999999997e+22,173.81139999999996,90819.08,8.089756
1,X,False,1,178.73642,1416.9579999999996,57.98842,69.84440000000001,98.77418000000002,105.64443999999999,0.35301480000000013,-0.003738606000000001,15136.82,50.088639999999984,4.727846,9023974000000.0,55.461320000000015,9.649729999999994e+23,2992.859999999999,59132980000000.0,3.079104000000001e+22,228.79440000000005,57764.3,10.336402
2,X,False,1,814.6974000000002,1031.9366,44.4794,42.962300000000006,75.54956,81.07805999999998,0.04809569188000002,0.015888100000000006,10164.372,38.75416,4.567198,35645880000000.0,33.373000000000005,6.927617999999999e+23,2201.9719999999998,38940360000000.0,3.599186e+22,278.15979999999996,24351.22,16.21636
3,X,False,1,221.37440000000004,1350.5139999999997,53.92066000000002,70.02510000000002,109.34979999999996,112.34599999999999,0.3101750199999999,0.007631072,9338.762,43.40302,4.459619999999998,9524644000000.0,42.246420000000015,3.596573999999999e+23,1704.6339999999996,34234960000000.0,1.6614640000000007e+22,66.34952000000001,12650.487999999998,4.917463999999999
4,X,True,1,390.0988000000001,1193.44,48.262219999999985,66.92392,113.18739999999998,118.54420000000002,0.281739,0.015867879999999997,10341.419999999998,38.92889999999999,4.32895,18928780000000.0,35.704879999999996,3.3801299999999994e+23,1633.7480000000007,29268460000000.0,1.5860720000000005e+22,43.960139999999996,9286.988,3.4300080000000004
5,X,False,1,155.981442,2662.6380000000004,45.86735999999999,41.54079999999999,63.51736,79.43788,-0.0086197658,0.0013658365000000002,13566.66,39.30181999999999,4.859024000000001,6607292800000.0,38.201660000000004,2.0007639999999997e+24,5271.126,84679960000000.0,8.539759999999998e+22,310.60960000000006,52447.28,13.35408
6,X,True,1,914.2882000000001,1196.91,48.477140000000006,44.46449999999999,64.66284,80.99786,0.057453352000000034,-0.020191760000000003,13905.66,43.31049999999999,4.486903999999999,36297020000000.0,40.94802,8.362892e+23,2369.986,37167560000000.0,3.7448079999999985e+22,106.2884,29878.42,6.424992
7,X,False,1,1432.8120000000001,4555.2300000000005,52.81381999999999,58.53853999999999,97.24654000000001,101.86924,0.24534359999999997,0.010354482,12701.143999999998,43.66154,5.070641999999999,60094480000000.0,46.22559999999999,2.3352540000000004e+24,7052.231999999998,140599200000000.0,8.702936e+22,508.51400000000007,252991.8,14.95144
8,X,False,1,444.23879999999997,845.2384,42.1923,41.99412000000001,71.25986,96.87934000000004,-0.11974991600000007,-0.013491347999999993,10573.233999999999,34.521020000000014,4.376685999999999,19925200000000.0,31.924100000000003,4.579748e+23,1711.8540000000005,25679460000000.0,2.5533139999999994e+22,339.4156,5158.11,36.02609999999999
9,X,True,1,767.1812000000001,1914.7680000000003,42.40455999999999,48.24088000000002,90.30648,97.83402000000004,0.10552697,-0.009946652000000002,10333.956,35.99268,4.6249720000000005,35882760000000.0,29.51944,1.0607560000000002e+24,3592.1259999999993,68640840000000.0,5.5132959999999995e+22,249.86079999999998,38746.06,12.275799999999998
10,X,False,1,250.00512000000003,2093.9080000000004,42.358380000000004,32.5511,62.25604000000002,81.72952000000001,-0.122185862,-0.003450794600000001,12793.906,32.74662,4.627475999999999,15168916000000.0,29.827239999999993,1.3265046e+24,3105.1220000000003,48102720000000.0,5.554594000000001e+22,183.47254,61118.36,8.194446000000001
11,X,False,1,1136.9412,2383.704,44.11132000000001,51.152020000000014,87.35173999999999,96.34640000000002,-0.06794320000000002,0.011835799999999999,11336.56,38.75379999999999,5.017873999999999,39254480000000.0,33.478519999999996,1.4459859999999997e+24,5491.892,96058900000000.0,6.952768e+22,266.7028,80012.18,10.640440000000002
12,X,False,1,599.5061999999999,2368.6540000000005,52.42335999999998,64.71723999999999,100.83637999999998,105.19500000000002,-0.0197833756,0.008493388000000001,12253.02,44.830020000000005,4.821173999999999,13587112000000.0,45.67803999999999,1.152838e+24,4400.588000000001,84252400000000.0,4.576898e+22,281.1342000000001,85624.04,12.182219999999997
13,X,False,1,649.7798000000001,2161.4579999999996,53.53357999999999,67.29748,105.46859999999997,109.0684,0.17621499999999998,0.011785664000000003,11426.94,44.536139999999996,4.559304000000002,14244912000000.0,45.044900000000005,8.358492000000001e+23,3266.2460000000005,63346240000000.0,3.432932e+22,306.5881999999999,57632.96,14.401619999999994
