,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1,ABSNJZH_2,AREA_ACR_2,MEANGAM_2,MEANGBH_2,MEANGBT_2,MEANGBZ_2,MEANJZD_2,MEANJZH_2,MEANPOT_2,MEANSHR_2,R_VALUE_2,SAVNCPP_2,SHRGT45_2,TOTPOT_2,TOTUSJH_2,TOTUSJZ_2,USFLUX_2,d_l_f_2,g_s_2,slf_2,ABSNJZH_3,AREA_ACR_3,MEANGAM_3,MEANGBH_3,MEANGBT_3,MEANGBZ_3,MEANJZD_3,MEANJZH_3,MEANPOT_3,MEANSHR_3,R_VALUE_3,SAVNCPP_3,SHRGT45_3,TOTPOT_3,TOTUSJH_3,TOTUSJZ_3,USFLUX_3,d_l_f_3,g_s_3,slf_3,ABSNJZH_4,AREA_ACR_4,MEANGAM_4,MEANGBH_4,MEANGBT_4,MEANGBZ_4,MEANJZD_4,MEANJZH_4,MEANPOT_4,MEANSHR_4,R_VALUE_4,SAVNCPP_4,SHRGT45_4,TOTPOT_4,TOTUSJH_4,TOTUSJZ_4,USFLUX_4,d_l_f_4,g_s_4,slf_4,ABSNJZH_5,AREA_ACR_5,MEANGAM_5,MEANGBH_5,MEANGBT_5,MEANGBZ_5,MEANJZD_5,MEANJZH_5,MEANPOT_5,MEANSHR_5,R_VALUE_5,SAVNCPP_5,SHRGT45_5,TOTPOT_5,TOTUSJH_5,TOTUSJZ_5,USFLUX_5,d_l_f_5,g_s_5,slf_5,ABSNJZH_6,AREA_ACR_6,MEANGAM_6,MEANGBH_6,MEANGBT_6,MEANGBZ_6,MEANJZD_6,MEANJZH_6,MEANPOT_6,MEANSHR_6,R_VALUE_6,SAVNCPP_6,SHRGT45_6,TOTPOT_6,TOTUSJH_6,TOTUSJZ_6,USFLUX_6,d_l_f_6,g_s_6,slf_6,ABSNJZH_7,AREA_ACR_7,MEANGAM_7,MEANGBH_7,MEANGBT_7,MEANGBZ_7,MEANJZD_7,MEANJZH_7,MEANPOT_7,MEANSHR_7,R_VALUE_7,SAVNCPP_7,SHRGT45_7,TOTPOT_7,TOTUSJH_7,TOTUSJZ_7,USFLUX_7,d_l_f_7,g_s_7,slf_7,ABSNJZH_8,AREA_ACR_8,MEANGAM_8,MEANGBH_8,MEANGBT_8,MEANGBZ_8,MEANJZD_8,MEANJZH_8,MEANPOT_8,MEANSHR_8,R_VALUE_8,SAVNCPP_8,SHRGT45_8,TOTPOT_8,TOTUSJH_8,TOTUSJZ_8,USFLUX_8,d_l_f_8,g_s_8,slf_8,ABSNJZH_9,AREA_ACR_9,MEANGAM_9,MEANGBH_9,MEANGBT_9,MEANGBZ_9,MEANJZD_9,MEANJZH_9,MEANPOT_9,MEANSHR_9,R_VALUE_9,SAVNCPP_9,SHRGT45_9,TOTPOT_9,TOTUSJH_9,TOTUSJZ_9,USFLUX_9,d_l_f_9,g_s_9,slf_9,ABSNJZH_10,AREA_ACR_10,MEANGAM_10,MEANGBH_10,MEANGBT_10,MEANGBZ_10,MEANJZD_10,MEANJZH_10,MEANPOT_10,MEANSHR_10,R_VALUE_10,SAVNCPP_10,SHRGT45_10,TOTPOT_10,TOTUSJH_10,TOTUSJZ_10,USFLUX_10,d_l_f_10,g_s_10,slf_10
0,X,False,767.926,943.882,59.6768,77.55820000000001,106.93199999999999,116.77000000000001,0.12939399999999998,0.0224284,15565.4,50.403000000000006,4.8049,13508400000000.0,55.0832,7.077900000000001e+23,2945.3,49929200000000.0,2.23942e+22,171.06599999999997,100014.6,8.297220000000001,830.066,955.89,59.938599999999994,76.6634,105.00399999999999,114.90799999999999,0.12977200000000003,0.023789799999999996,15745.8,50.6262,4.85224,16090000000000.0,55.951,7.296500000000001e+23,2962.62,50161600000000.0,2.27418e+22,169.23000000000002,103380.8,8.04206,859.324,971.124,60.44199999999999,74.8102,101.55,111.32000000000001,0.073461,0.0239582,15669.0,51.242599999999996,4.84434,18030600000000.0,57.27199999999999,7.463599999999998e+23,2902.4,49574400000000.0,2.29128e+22,168.964,102860.6,7.934900000000001,837.058,998.7279999999998,60.47279999999999,74.1104,100.13300000000001,109.54,0.0889288,0.022693200000000004,15531.0,51.38719999999999,4.92444,17810800000000.0,57.622,7.60914e+23,2876.82,50028400000000.0,2.3107e+22,171.256,104649.0,8.00684,820.0799999999999,1012.7333333333335,60.51133333333333,71.735,97.03566666666666,106.74666666666667,0.11186133333333333,0.02157466666666667,15227.666666666666,51.49866666666666,4.863499999999999,17166333333333.334,57.770999999999994,7.687466666666667e+23,2880.4666666666667,50220333333333.336,2.3222333333333334e+22,174.51333333333332,80219.33333333333,8.0951,798.6080000000001,1028.06,60.3452,71.51679999999999,97.51520000000001,108.178,0.1120282,0.020789000000000002,15326.8,51.687799999999996,4.829420000000001,15461800000000.0,57.4956,7.81924e+23,2954.1600000000003,51028200000000.0,2.3642200000000004e+22,176.46,69673.0,8.1432,761.606,1035.9599999999998,59.9798,71.97959999999999,98.9712,110.47,0.151838,0.0203836,15791.6,51.3712,4.82982,16140600000000.0,57.336,7.83312e+23,3008.0,51116400000000.0,2.3663000000000002e+22,175.86999999999998,68738.8,8.1401,742.576,1039.96,60.05400000000001,72.532,99.5936,109.46000000000001,0.05299940000000001,0.020147,15869.4,51.26379999999999,4.806620000000001,17651800000000.0,57.364200000000004,7.76838e+23,2981.66,50589400000000.0,2.3599799999999997e+22,177.384,82031.4,8.20136,724.5600000000001,1040.5400000000002,60.3784,72.21799999999999,98.018,105.46599999999998,0.0359918,0.0192572,15516.6,51.8,4.74826,17328600000000.0,58.2712,7.75262e+23,2903.66,50008200000000.0,2.3544e+22,178.288,98282.2,8.16516,661.328,1039.36,60.82000000000001,71.0098,95.2646,102.84799999999998,0.06048808,0.017263999999999998,15477.2,52.290600000000005,4.821160000000001,14323400000000.0,59.01959999999999,7.873900000000001e+23,2880.0000000000005,50444200000000.0,2.3340400000000003e+22,174.57199999999997,98463.0,7.9653599999999996
1,X,False,159.17199999999997,1401.54,57.871,72.6892,103.048,110.92999999999999,0.43939000000000006,-0.00337184,15304.6,50.0276,4.85674,11002400000000.0,55.3624,9.59918e+23,3078.88,62194400000000.0,3.06646e+22,227.06799999999998,58403.2,10.4174,161.318,1396.48,57.484,71.6034,101.9,109.396,0.4748340000000001,-0.0033935399999999996,15092.8,49.7404,4.76828,11700000000000.0,55.1564,9.5274e+23,3027.4800000000005,61057200000000.0,3.0611400000000003e+22,227.69400000000002,52977.4,10.5108,183.528,1405.7,57.358999999999995,70.8858,101.126,108.18200000000002,0.442992,-0.0038390800000000004,15005.2,49.602199999999996,4.672759999999999,10980820000000.0,54.826800000000006,9.5278e+23,2987.1600000000003,60450600000000.0,3.06804e+22,228.65,48488.0,10.616800000000001,245.87399999999997,1402.2,57.592999999999996,70.8688,100.88199999999999,107.256,0.40896600000000005,-0.00515242,14994.2,49.76619999999999,4.6541999999999994,11472800000000.0,54.806,9.50582e+23,2992.5800000000004,60160200000000.0,3.0700999999999994e+22,229.01399999999998,58878.6,10.5306,213.74,1402.2399999999998,58.15319999999999,71.29440000000001,100.65,107.13600000000001,0.38251799999999997,-0.004544,15404.4,50.168800000000005,4.6486600000000005,9798340000000.0,55.285799999999995,9.62292e+23,2997.04,59352000000000.0,3.0624e+22,230.564,52295.6,10.575800000000001,193.14600000000002,1409.94,58.319599999999994,69.9006,98.4618,104.744,0.27500399999999997,-0.00406302,15207.6,50.3048,4.616359999999999,6950740000000.0,55.958400000000005,9.60912e+23,2957.3599999999997,57734000000000.0,3.0777399999999997e+22,229.304,54663.8,10.428,163.15749999999997,1419.45,58.342,67.774,95.148,100.7005,0.2500975,-0.003311525,14630.75,50.342749999999995,4.728275,6844475000000.0,56.07299999999999,9.578225e+23,2910.9000000000005,57362250000000.0,3.0822e+22,231.33249999999998,55946.0,10.49525,111.557,1433.8,58.317249999999994,66.217,93.89525,100.53800000000001,0.2622625,-0.002186225,14389.0,50.5575,4.7822249999999995,6938875000000.0,55.77525,9.746775e+23,2933.775,57993500000000.0,3.134525e+22,227.55,68381.5,9.958625,164.536,1447.0,58.0878,67.772,96.19300000000001,104.11800000000001,0.305886,-0.00338578,15313.0,50.2062,4.784280000000001,7710100000000.0,55.411,9.912780000000001e+23,3046.7,58557400000000.0,3.12012e+22,227.752,68524.4,9.8779,202.16,1452.8799999999999,58.303,69.5088,96.8046,103.96199999999999,0.288012,-0.00435338,16040.4,50.139599999999994,4.75702,6937120000000.0,55.892399999999995,9.891979999999999e+23,3023.38,56869200000000.0,3.06102e+22,228.908,60614.2,9.91482
2,X,False,803.882,1086.8799999999999,44.71060000000001,43.4062,76.0326,81.24100000000001,0.0500494,0.014600000000000002,9907.2,39.2242,4.526860000000001,33618400000000.0,33.6836,7.244780000000001e+23,2300.2200000000003,42095200000000.0,3.78794e+22,281.79400000000004,23875.8,16.369999999999997,794.602,1065.8400000000001,44.493399999999994,44.245999999999995,77.752,83.1626,0.022882359999999997,0.0152156,10323.4,39.251999999999995,4.54776,33866600000000.0,33.688599999999994,7.16004e+23,2266.2400000000002,40863600000000.0,3.69592e+22,280.154,24180.6,16.348,785.265,1062.75,44.563,44.319500000000005,78.0915,83.2295,0.033486,0.015661500000000002,10526.0,39.267,4.5668,34296500000000.0,34.1235,7.0093e+23,2198.75,39444000000000.0,3.58155e+22,285.025,25493.0,16.7395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,X,False,203.468,1383.7199999999998,54.6922,69.4346,108.09,110.07800000000002,0.431794,0.00631776,8430.119999999999,43.950599999999994,4.428279999999999,9786280000000.0,42.8838,3.60552e+23,1714.8799999999999,36088400000000.0,1.76512e+22,79.29780000000001,11322.0,5.827859999999999,175.586,1371.32,54.9944,70.527,109.50399999999999,111.99600000000001,0.37382000000000004,0.005732180000000001,8880.66,44.1718,4.42884,8430140000000.0,43.107000000000006,3.61074e+23,1715.5,35396600000000.0,1.7213200000000002e+22,73.29060000000001,11530.8,5.31928,187.272,1362.52,55.0474,70.445,109.69800000000001,113.022,0.327138,0.0064183,9207.74,44.322799999999994,4.45312,7379180000000.0,43.1596,3.56998e+23,1704.64,34363600000000.0,1.6693599999999997e+22,65.423,16607.0,4.72574,168.83599999999998,1350.2400000000002,54.9132,71.0848,109.998,113.362,0.3465,0.005923540000000001,9391.24,44.3668,4.46314,6711800000000.0,43.507600000000004,3.55648e+23,1701.1,34370800000000.0,1.64178e+22,59.04260000000001,11682.6,4.31708,214.004,1346.8,54.54100000000001,71.09940000000002,109.33599999999998,112.662,0.292758,0.00755866,9630.98,44.141000000000005,4.47428,9024760000000.0,43.41760000000001,3.6214e+23,1696.8,33869600000000.0,1.6365399999999998e+22,63.52819999999999,12549.6,4.638199999999999,219.06799999999998,1334.3799999999999,53.8454,71.52,109.93999999999998,112.37,0.24451400000000004,0.0076449199999999995,9516.16,43.4378,4.50588,8679660000000.0,42.126,3.62114e+23,1683.78,33709800000000.0,1.6472e+22,65.2172,12509.0,4.7859,288.97799999999995,1342.54,53.33140000000001,69.07759999999999,107.65,110.40799999999999,0.24836200000000003,0.01001724,9413.900000000001,43.0204,4.47106,10333800000000.0,41.822199999999995,3.606119999999999e+23,1651.22,32733200000000.0,1.6368400000000002e+22,64.23580000000001,15097.2,4.75856,294.695,1342.425,51.95075,67.2225,108.7875,111.1225,0.22007525,0.009392625,8712.775000000001,41.644000000000005,4.502375,12928750000000.0,39.634249999999994,3.633925e+23,1779.925,36011250000000.0,1.7383500000000001e+22,65.014,11993.25,4.947049999999999,234.51999999999998,1333.0500000000002,52.518249999999995,69.7905,111.2525,115.85,0.3429875,0.008809225,10153.9,42.22025,4.40855,11241500000000.0,40.92275,3.572325e+23,1731.0500000000002,33170500000000.0,1.58495e+22,64.82875,13950.5,4.93755,226.074,1335.66,53.7164,70.5242,109.08600000000001,112.64200000000001,0.259008,0.008733220000000002,10344.2,43.020799999999994,4.4615,10529820000000.0,42.3146,3.55658e+23,1629.44,31312200000000.0,1.5369000000000002e+22,63.7214,9344.28,4.89966
4,X,True,368.39199999999994,1210.3,49.5184,69.9888,114.52199999999998,119.04,0.238482,0.015126,10349.8,39.584,4.34878,19284600000000.0,36.9146,3.35308e+23,1658.08,29272600000000.0,1.56842e+22,48.017,12630.4,3.8876599999999994,405.356,1205.8799999999999,48.54580000000001,70.249,116.49600000000001,122.646,0.258058,0.0174678,10924.0,38.87520000000001,4.30984,19958200000000.0,35.6408,3.36682e+23,1694.6599999999999,28719400000000.0,1.5439600000000003e+22,46.015,11343.4,3.7071200000000006,427.35200000000003,1195.22,48.505199999999995,69.4488,116.25999999999999,122.378,0.277606,0.0183958,10938.6,39.0056,4.311539999999999,20393600000000.0,35.9692,3.3748e+23,1684.22,28986000000000.0,1.53662e+22,44.2102,9978.16,3.5007000000000006,395.758,1198.76,48.51180000000001,68.652,115.782,122.174,0.25917,0.016978399999999998,10891.0,38.8562,4.33176,18039200000000.0,35.653800000000004,3.3716599999999994e+23,1660.36,28930000000000.0,1.5411600000000002e+22,41.2672,10417.920000000002,3.2613,388.058,1195.7400000000002,48.4766,68.7404,115.306,121.424,0.23374999999999999,0.016526999999999997,10746.2,38.9524,4.315440000000001,17318200000000.0,36.031600000000005,3.35156e+23,1640.28,28618800000000.0,1.5477399999999998e+22,40.397800000000004,9323.2,3.196,387.17400000000004,1192.94,48.4436,68.1212,113.20599999999999,117.974,0.21451000000000003,0.015850399999999997,10402.6,38.8918,4.35762,18885000000000.0,35.7096,3.3743800000000004e+23,1601.6200000000001,28518200000000.0,1.58018e+22,39.362399999999994,9467.84,3.0894800000000004,395.144,1191.6799999999998,48.0298,66.2064,111.12200000000003,115.13999999999999,0.293234,0.015442599999999997,10049.86,38.791199999999996,4.36732,18994600000000.0,35.659800000000004,3.41638e+23,1580.52,28889000000000.0,1.6133400000000002e+22,40.6524,9870.78,3.14024,393.0366666666667,1185.2666666666667,47.705999999999996,62.74366666666666,108.27333333333335,112.22666666666667,0.30049666666666663,0.014109000000000002,9311.266666666665,38.62433333333333,4.362100000000001,19547666666666.668,34.95133333333333,3.4427e+23,1582.1000000000001,30221000000000.0,1.6692000000000001e+22,46.470666666666666,7781.966666666667,3.5312333333333332,374.99000000000007,1183.7,47.3866,62.1826,110.49600000000001,115.68199999999999,0.41106800000000004,0.013689199999999999,9428.319999999998,38.7468,4.3105400000000005,18180400000000.0,34.931,3.42108e+23,1664.06,31918600000000.0,1.6790599999999999e+22,47.3522,6820.280000000001,3.57254,349.038,1180.36,48.0272,64.23100000000001,110.804,116.95,0.317898,0.0147026,10519.2,39.1414,4.28808,18273400000000.0,36.044399999999996,3.31644e+23,1545.2,27781400000000.0,1.5522599999999998e+22,48.2782,6205.4,3.68452
5,X,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,X,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,X,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,X,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,X,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
