,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1
0,X,False,767.926,943.882,59.6768,77.55820000000001,106.93199999999999,116.77000000000001,0.12939399999999998,0.0224284,15565.4,50.403000000000006,4.8049,13508400000000.0,55.0832,7.077900000000001e+23,2945.3,49929200000000.0,2.23942e+22,171.06599999999997,100014.6,8.297220000000001
1,X,False,159.17199999999997,1401.54,57.871,72.6892,103.048,110.92999999999999,0.43939000000000006,-0.00337184,15304.6,50.0276,4.85674,11002400000000.0,55.3624,9.59918e+23,3078.88,62194400000000.0,3.06646e+22,227.06799999999998,58403.2,10.4174
2,X,False,803.882,1086.8799999999999,44.71060000000001,43.4062,76.0326,81.24100000000001,0.0500494,0.014600000000000002,9907.2,39.2242,4.526860000000001,33618400000000.0,33.6836,7.244780000000001e+23,2300.2200000000003,42095200000000.0,3.78794e+22,281.79400000000004,23875.8,16.369999999999997
3,X,False,203.468,1383.7199999999998,54.6922,69.4346,108.09,110.07800000000002,0.431794,0.00631776,8430.119999999999,43.950599999999994,4.428279999999999,9786280000000.0,42.8838,3.60552e+23,1714.8799999999999,36088400000000.0,1.76512e+22,79.29780000000001,11322.0,5.827859999999999
4,X,True,368.39199999999994,1210.3,49.5184,69.9888,114.52199999999998,119.04,0.238482,0.015126,10349.8,39.584,4.34878,19284600000000.0,36.9146,3.35308e+23,1658.08,29272600000000.0,1.56842e+22,48.017,12630.4,3.8876599999999994
5,X,False,,,,,,,,,,,,,,,,,,,,
6,X,True,,,,,,,,,,,,,,,,,,,,
7,X,False,,,,,,,,,,,,,,,,,,,,
8,X,False,,,,,,,,,,,,,,,,,,,,
9,X,True,,,,,,,,,,,,,,,,,,,,
10,X,False,,,,,,,,,,,,,,,,,,,,
11,X,False,,,,,,,,,,,,,,,,,,,,
12,X,False,,,,,,,,,,,,,,,,,,,,
13,X,False,,,,,,,,,,,,,,,,,,,,
14,X,False,,,,,,,,,,,,,,,,,,,,
15,X,True,,,,,,,,,,,,,,,,,,,,
16,X,False,,,,,,,,,,,,,,,,,,,,
17,X,False,,,,,,,,,,,,,,,,,,,,
18,X,False,,,,,,,,,,,,,,,,,,,,
19,X,True,,,,,,,,,,,,,,,,,,,,
20,X,True,,,,,,,,,,,,,,,,,,,,
21,X,True,816.25,1921.06,43.2408,50.7068,92.45899999999999,100.1868,0.160188,-0.011104,10557.4,37.6782,4.61724,37261800000000.0,31.5788,1.03076e+24,3669.94,70310200000000.0,5.2420599999999995e+22,247.94400000000002,27715.8,12.518400000000002
22,X,False,,,,,,,,,,,,,,,,,,,,
23,X,False,1063.8399999999997,2331.78,43.89919999999999,49.5658,84.7678,94.6694,-0.059029200000000004,0.010945000000000002,11300.2,38.59459999999999,5.02736,37230800000000.0,33.5714,1.4588600000000003e+24,5347.039999999999,93564000000000.0,7.13774e+22,270.92199999999997,86671.4,11.109399999999999
24,X,False,591.9959999999999,2373.4399999999996,51.55319999999999,65.243,102.55199999999999,108.46000000000001,-0.054103599999999995,0.00840426,12833.2,44.153800000000004,4.8551400000000005,14560800000000.0,44.8018,1.2006199999999999e+24,4615.58,85108400000000.0,4.78926e+22,273.504,93807.2,11.638
25,X,False,573.4860000000001,2173.1,53.23660000000001,67.203,107.202,112.06400000000001,0.18675,0.01079828,11972.8,44.4892,4.55578,13241800000000.0,44.7834,8.45698e+23,3359.4800000000005,64335200000000.0,3.4542400000000002e+22,305.092,52268.2,14.4448
26,X,False,,,,,,,,,,,,,,,,,,,,
27,X,False,,,,,,,,,,,,,,,,,,,,
28,X,False,,,,,,,,,,,,,,,,,,,,
29,X,True,,,,,,,,,,,,,,,,,,,,
30,X,False,,,,,,,,,,,,,,,,,,,,
31,X,True,,,,,,,,,,,,,,,,,,,,
32,X,False,,,,,,,,,,,,,,,,,,,,
33,X,False,,,,,,,,,,,,,,,,,,,,
34,X,False,,,,,,,,,,,,,,,,,,,,
35,X,False,,,,,,,,,,,,,,,,,,,,
36,X,True,1070.0,5943.76,51.428,59.8038,95.0478,109.65799999999999,0.0839704,-0.00607898,18733.4,46.077600000000004,5.381600000000001,24796600000000.0,46.7664,4.3784e+24,11668.0,213300000000000.0,1.2868599999999998e+23,198.964,472392.0,4.5414
