,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1,ABSNJZH_2,AREA_ACR_2,MEANGAM_2,MEANGBH_2,MEANGBT_2,MEANGBZ_2,MEANJZD_2,MEANJZH_2,MEANPOT_2,MEANSHR_2,R_VALUE_2,SAVNCPP_2,SHRGT45_2,TOTPOT_2,TOTUSJH_2,TOTUSJZ_2,USFLUX_2,d_l_f_2,g_s_2,slf_2
0,X,False,767.926,943.882,59.6768,77.55820000000001,106.93199999999999,116.77000000000001,0.12939399999999998,0.0224284,15565.4,50.403000000000006,4.8049,13508400000000.0,55.0832,7.077900000000001e+23,2945.3,49929200000000.0,2.23942e+22,171.06599999999997,100014.6,8.297220000000001,830.066,955.89,59.938599999999994,76.6634,105.00399999999999,114.90799999999999,0.12977200000000003,0.023789799999999996,15745.8,50.6262,4.85224,16090000000000.0,55.951,7.296500000000001e+23,2962.62,50161600000000.0,2.27418e+22,169.23000000000002,103380.8,8.04206
1,X,False,159.17199999999997,1401.54,57.871,72.6892,103.048,110.92999999999999,0.43939000000000006,-0.00337184,15304.6,50.0276,4.85674,11002400000000.0,55.3624,9.59918e+23,3078.88,62194400000000.0,3.06646e+22,227.06799999999998,58403.2,10.4174,161.318,1396.48,57.484,71.6034,101.9,109.396,0.4748340000000001,-0.0033935399999999996,15092.8,49.7404,4.76828,11700000000000.0,55.1564,9.5274e+23,3027.4800000000005,61057200000000.0,3.0611400000000003e+22,227.69400000000002,52977.4,10.5108
2,X,False,803.882,1086.8799999999999,44.71060000000001,43.4062,76.0326,81.24100000000001,0.0500494,0.014600000000000002,9907.2,39.2242,4.526860000000001,33618400000000.0,33.6836,7.244780000000001e+23,2300.2200000000003,42095200000000.0,3.78794e+22,281.79400000000004,23875.8,16.369999999999997,794.602,1065.8400000000001,44.493399999999994,44.245999999999995,77.752,83.1626,0.022882359999999997,0.0152156,10323.4,39.251999999999995,4.54776,33866600000000.0,33.688599999999994,7.16004e+23,2266.2400000000002,40863600000000.0,3.69592e+22,280.154,24180.6,16.348
3,X,False,203.468,1383.7199999999998,54.6922,69.4346,108.09,110.07800000000002,0.431794,0.00631776,8430.119999999999,43.950599999999994,4.428279999999999,9786280000000.0,42.8838,3.60552e+23,1714.8799999999999,36088400000000.0,1.76512e+22,79.29780000000001,11322.0,5.827859999999999,175.586,1371.32,54.9944,70.527,109.50399999999999,111.99600000000001,0.37382000000000004,0.005732180000000001,8880.66,44.1718,4.42884,8430140000000.0,43.107000000000006,3.61074e+23,1715.5,35396600000000.0,1.7213200000000002e+22,73.29060000000001,11530.8,5.31928
4,X,True,368.39199999999994,1210.3,49.5184,69.9888,114.52199999999998,119.04,0.238482,0.015126,10349.8,39.584,4.34878,19284600000000.0,36.9146,3.35308e+23,1658.08,29272600000000.0,1.56842e+22,48.017,12630.4,3.8876599999999994,405.356,1205.8799999999999,48.54580000000001,70.249,116.49600000000001,122.646,0.258058,0.0174678,10924.0,38.87520000000001,4.30984,19958200000000.0,35.6408,3.36682e+23,1694.6599999999999,28719400000000.0,1.5439600000000003e+22,46.015,11343.4,3.7071200000000006
21,X,True,816.25,1921.06,43.2408,50.7068,92.45899999999999,100.1868,0.160188,-0.011104,10557.4,37.6782,4.61724,37261800000000.0,31.5788,1.03076e+24,3669.94,70310200000000.0,5.2420599999999995e+22,247.94400000000002,27715.8,12.518400000000002,766.1740000000001,1921.3799999999999,43.33040000000001,50.947,93.6626,101.016,0.1118276,-0.010500800000000001,10771.0,37.6978,4.615640000000001,34440400000000.0,31.3748,1.0437400000000001e+24,3647.1200000000003,69292400000000.0,5.2737e+22,246.564,25645.6,12.3556
23,X,False,1063.8399999999997,2331.78,43.89919999999999,49.5658,84.7678,94.6694,-0.059029200000000004,0.010945000000000002,11300.2,38.59459999999999,5.02736,37230800000000.0,33.5714,1.4588600000000003e+24,5347.039999999999,93564000000000.0,7.13774e+22,270.92199999999997,86671.4,11.109399999999999,1194.42,2332.74,43.6996,49.474000000000004,84.6934,94.4876,-0.07068440000000001,0.0121452,11196.4,38.4264,5.0092799999999995,41708200000000.0,33.2908,1.4624599999999998e+24,5411.460000000001,93851000000000.0,7.19478e+22,268.572,89636.6,10.856800000000002
24,X,False,591.9959999999999,2373.4399999999996,51.55319999999999,65.243,102.55199999999999,108.46000000000001,-0.054103599999999995,0.00840426,12833.2,44.153800000000004,4.8551400000000005,14560800000000.0,44.8018,1.2006199999999999e+24,4615.58,85108400000000.0,4.78926e+22,273.504,93807.2,11.638,573.0725,2376.225,51.953500000000005,65.71025,102.4025,106.6475,-0.06569775,0.00801155,12578.75,44.409,4.825075,12568500000000.0,45.422,1.19505e+24,4480.650000000001,84261250000000.0,4.76895e+22,274.20500000000004,86020.5,11.72675
25,X,False,573.4860000000001,2173.1,53.23660000000001,67.203,107.202,112.06400000000001,0.18675,0.01079828,11972.8,44.4892,4.55578,13241800000000.0,44.7834,8.45698e+23,3359.4800000000005,64335200000000.0,3.4542400000000002e+22,305.092,52268.2,14.4448,619.7533333333333,2160.6666666666665,54.01266666666667,68.93866666666666,107.25999999999999,111.18333333333334,0.12655866666666668,0.01162,11981.333333333334,44.827,4.556866666666667,15162000000000.0,45.61933333333334,8.487266666666666e+23,3317.1,63254333333333.336,3.429733333333333e+22,302.01,56207.0,14.235666666666667
36,X,True,1070.0,5943.76,51.428,59.8038,95.0478,109.65799999999999,0.0839704,-0.00607898,18733.4,46.077600000000004,5.381600000000001,24796600000000.0,46.7664,4.3784e+24,11668.0,213300000000000.0,1.2868599999999998e+23,198.964,472392.0,4.5414,1123.0,5973.76,51.2318,59.411199999999994,95.0924,108.66399999999999,0.12111000000000001,-0.0060586,18124.6,45.8848,5.3796,24301000000000.0,46.3618,4.4623999999999996e+24,11590.0,219224000000000.0,1.32476e+23,198.19,531198.0,4.43768
