,FLARE_TYPE,COINCIDENCE,ABSNJZH_1,AREA_ACR_1,MEANGAM_1,MEANGBH_1,MEANGBT_1,MEANGBZ_1,MEANJZD_1,MEANJZH_1,MEANPOT_1,MEANSHR_1,R_VALUE_1,SAVNCPP_1,SHRGT45_1,TOTPOT_1,TOTUSJH_1,TOTUSJZ_1,USFLUX_1,d_l_f_1,g_s_1,slf_1,ABSNJZH_2,AREA_ACR_2,MEANGAM_2,MEANGBH_2,MEANGBT_2,MEANGBZ_2,MEANJZD_2,MEANJZH_2,MEANPOT_2,MEANSHR_2,R_VALUE_2,SAVNCPP_2,SHRGT45_2,TOTPOT_2,TOTUSJH_2,TOTUSJZ_2,USFLUX_2,d_l_f_2,g_s_2,slf_2,ABSNJZH_3,AREA_ACR_3,MEANGAM_3,MEANGBH_3,MEANGBT_3,MEANGBZ_3,MEANJZD_3,MEANJZH_3,MEANPOT_3,MEANSHR_3,R_VALUE_3,SAVNCPP_3,SHRGT45_3,TOTPOT_3,TOTUSJH_3,TOTUSJZ_3,USFLUX_3,d_l_f_3,g_s_3,slf_3,ABSNJZH_4,AREA_ACR_4,MEANGAM_4,MEANGBH_4,MEANGBT_4,MEANGBZ_4,MEANJZD_4,MEANJZH_4,MEANPOT_4,MEANSHR_4,R_VALUE_4,SAVNCPP_4,SHRGT45_4,TOTPOT_4,TOTUSJH_4,TOTUSJZ_4,USFLUX_4,d_l_f_4,g_s_4,slf_4
0,X,False,767.926,943.882,59.6768,77.55820000000001,106.93199999999999,116.77000000000001,0.12939399999999998,0.0224284,15565.4,50.403000000000006,4.8049,13508400000000.0,55.0832,7.077900000000001e+23,2945.3,49929200000000.0,2.23942e+22,171.06599999999997,100014.6,8.297220000000001,830.066,955.89,59.938599999999994,76.6634,105.00399999999999,114.90799999999999,0.12977200000000003,0.023789799999999996,15745.8,50.6262,4.85224,16090000000000.0,55.951,7.296500000000001e+23,2962.62,50161600000000.0,2.27418e+22,169.23000000000002,103380.8,8.04206,859.324,971.124,60.44199999999999,74.8102,101.55,111.32000000000001,0.073461,0.0239582,15669.0,51.242599999999996,4.84434,18030600000000.0,57.27199999999999,7.463599999999998e+23,2902.4,49574400000000.0,2.29128e+22,168.964,102860.6,7.934900000000001,837.058,998.7279999999998,60.47279999999999,74.1104,100.13300000000001,109.54,0.0889288,0.022693200000000004,15531.0,51.38719999999999,4.92444,17810800000000.0,57.622,7.60914e+23,2876.82,50028400000000.0,2.3107e+22,171.256,104649.0,8.00684
1,X,False,159.17199999999997,1401.54,57.871,72.6892,103.048,110.92999999999999,0.43939000000000006,-0.00337184,15304.6,50.0276,4.85674,11002400000000.0,55.3624,9.59918e+23,3078.88,62194400000000.0,3.06646e+22,227.06799999999998,58403.2,10.4174,161.318,1396.48,57.484,71.6034,101.9,109.396,0.4748340000000001,-0.0033935399999999996,15092.8,49.7404,4.76828,11700000000000.0,55.1564,9.5274e+23,3027.4800000000005,61057200000000.0,3.0611400000000003e+22,227.69400000000002,52977.4,10.5108,183.528,1405.7,57.358999999999995,70.8858,101.126,108.18200000000002,0.442992,-0.0038390800000000004,15005.2,49.602199999999996,4.672759999999999,10980820000000.0,54.826800000000006,9.5278e+23,2987.1600000000003,60450600000000.0,3.06804e+22,228.65,48488.0,10.616800000000001,245.87399999999997,1402.2,57.592999999999996,70.8688,100.88199999999999,107.256,0.40896600000000005,-0.00515242,14994.2,49.76619999999999,4.6541999999999994,11472800000000.0,54.806,9.50582e+23,2992.5800000000004,60160200000000.0,3.0700999999999994e+22,229.01399999999998,58878.6,10.5306
3,X,False,203.468,1383.7199999999998,54.6922,69.4346,108.09,110.07800000000002,0.431794,0.00631776,8430.119999999999,43.950599999999994,4.428279999999999,9786280000000.0,42.8838,3.60552e+23,1714.8799999999999,36088400000000.0,1.76512e+22,79.29780000000001,11322.0,5.827859999999999,175.586,1371.32,54.9944,70.527,109.50399999999999,111.99600000000001,0.37382000000000004,0.005732180000000001,8880.66,44.1718,4.42884,8430140000000.0,43.107000000000006,3.61074e+23,1715.5,35396600000000.0,1.7213200000000002e+22,73.29060000000001,11530.8,5.31928,187.272,1362.52,55.0474,70.445,109.69800000000001,113.022,0.327138,0.0064183,9207.74,44.322799999999994,4.45312,7379180000000.0,43.1596,3.56998e+23,1704.64,34363600000000.0,1.6693599999999997e+22,65.423,16607.0,4.72574,168.83599999999998,1350.2400000000002,54.9132,71.0848,109.998,113.362,0.3465,0.005923540000000001,9391.24,44.3668,4.46314,6711800000000.0,43.507600000000004,3.55648e+23,1701.1,34370800000000.0,1.64178e+22,59.04260000000001,11682.6,4.31708
4,X,True,368.39199999999994,1210.3,49.5184,69.9888,114.52199999999998,119.04,0.238482,0.015126,10349.8,39.584,4.34878,19284600000000.0,36.9146,3.35308e+23,1658.08,29272600000000.0,1.56842e+22,48.017,12630.4,3.8876599999999994,405.356,1205.8799999999999,48.54580000000001,70.249,116.49600000000001,122.646,0.258058,0.0174678,10924.0,38.87520000000001,4.30984,19958200000000.0,35.6408,3.36682e+23,1694.6599999999999,28719400000000.0,1.5439600000000003e+22,46.015,11343.4,3.7071200000000006,427.35200000000003,1195.22,48.505199999999995,69.4488,116.25999999999999,122.378,0.277606,0.0183958,10938.6,39.0056,4.311539999999999,20393600000000.0,35.9692,3.3748e+23,1684.22,28986000000000.0,1.53662e+22,44.2102,9978.16,3.5007000000000006,395.758,1198.76,48.51180000000001,68.652,115.782,122.174,0.25917,0.016978399999999998,10891.0,38.8562,4.33176,18039200000000.0,35.653800000000004,3.3716599999999994e+23,1660.36,28930000000000.0,1.5411600000000002e+22,41.2672,10417.920000000002,3.2613
21,X,True,816.25,1921.06,43.2408,50.7068,92.45899999999999,100.1868,0.160188,-0.011104,10557.4,37.6782,4.61724,37261800000000.0,31.5788,1.03076e+24,3669.94,70310200000000.0,5.2420599999999995e+22,247.94400000000002,27715.8,12.518400000000002,766.1740000000001,1921.3799999999999,43.33040000000001,50.947,93.6626,101.016,0.1118276,-0.010500800000000001,10771.0,37.6978,4.615640000000001,34440400000000.0,31.3748,1.0437400000000001e+24,3647.1200000000003,69292400000000.0,5.2737e+22,246.564,25645.6,12.3556,788.77,1923.9,42.85719999999999,49.738800000000005,92.61999999999999,99.85560000000001,0.1104422,-0.01043066,10430.2,37.117399999999996,4.609679999999999,38529800000000.0,30.333799999999997,1.0484e+24,3674.04,69481800000000.0,5.42634e+22,249.53000000000003,31730.0,12.2648,768.9959999999999,1926.0199999999998,42.434799999999996,47.2674,89.30940000000001,96.02300000000001,0.1683,-0.00964494,9931.9,36.6094,4.600619999999999,38375400000000.0,29.462399999999995,1.0515e+24,3622.5199999999995,69057000000000.0,5.5745e+22,250.56,36310.2,12.257
23,X,False,1063.8399999999997,2331.78,43.89919999999999,49.5658,84.7678,94.6694,-0.059029200000000004,0.010945000000000002,11300.2,38.59459999999999,5.02736,37230800000000.0,33.5714,1.4588600000000003e+24,5347.039999999999,93564000000000.0,7.13774e+22,270.92199999999997,86671.4,11.109399999999999,1194.42,2332.74,43.6996,49.474000000000004,84.6934,94.4876,-0.07068440000000001,0.0121452,11196.4,38.4264,5.0092799999999995,41708200000000.0,33.2908,1.4624599999999998e+24,5411.460000000001,93851000000000.0,7.19478e+22,268.572,89636.6,10.856800000000002,1182.7,2343.12,43.6014,49.794399999999996,85.0444,94.6658,-0.0483644,0.0120142,11160.4,38.347,5.0201,41022800000000.0,32.877199999999995,1.4592000000000003e+24,5504.4,95100400000000.0,7.204879999999998e+22,266.526,80813.8,10.736999999999998,1221.1,2348.24,43.6856,51.1788,87.14059999999999,96.5468,-0.0749684,0.012675999999999998,11264.2,38.40560000000001,5.01318,42245400000000.0,32.760799999999996,1.44132e+24,5639.5599999999995,96038800000000.0,7.13552e+22,263.372,78299.8,10.5866
24,X,False,591.9959999999999,2373.4399999999996,51.55319999999999,65.243,102.55199999999999,108.46000000000001,-0.054103599999999995,0.00840426,12833.2,44.153800000000004,4.8551400000000005,14560800000000.0,44.8018,1.2006199999999999e+24,4615.58,85108400000000.0,4.78926e+22,273.504,93807.2,11.638,573.0725,2376.225,51.953500000000005,65.71025,102.4025,106.6475,-0.06569775,0.00801155,12578.75,44.409,4.825075,12568500000000.0,45.422,1.19505e+24,4480.650000000001,84261250000000.0,4.76895e+22,274.20500000000004,86020.5,11.72675,561.5975000000001,2388.225,52.3615,63.16525,98.21775,101.72,0.01174443,0.0075402,11965.75,44.90425,4.848725,10117575000000.0,45.9045,1.1837000000000001e+24,4274.775,82788250000000.0,4.711e+22,278.575,89455.5,12.024000000000001,548.2320000000001,2364.3,52.438599999999994,61.973,97.23960000000001,101.082,0.022663,0.00720816,11542.6,44.894800000000004,4.80918,9877900000000.0,45.8306,1.1659599999999999e+24,4235.76,83287800000000.0,4.69986e+22,278.674,88350.2,11.973600000000001
25,X,False,573.4860000000001,2173.1,53.23660000000001,67.203,107.202,112.06400000000001,0.18675,0.01079828,11972.8,44.4892,4.55578,13241800000000.0,44.7834,8.45698e+23,3359.4800000000005,64335200000000.0,3.4542400000000002e+22,305.092,52268.2,14.4448,619.7533333333333,2160.6666666666665,54.01266666666667,68.93866666666666,107.25999999999999,111.18333333333334,0.12655866666666668,0.01162,11981.333333333334,44.827,4.556866666666667,15162000000000.0,45.61933333333334,8.487266666666666e+23,3317.1,63254333333333.336,3.429733333333333e+22,302.01,56207.0,14.235666666666667,614.7819999999999,2152.5,54.255599999999994,69.45600000000002,106.476,109.152,0.101943,0.011386200000000003,11777.2,44.9636,4.52162,11743200000000.0,45.998400000000004,8.44522e+23,3242.56,62574400000000.0,3.41314e+22,304.45,57579.0,14.169400000000001,611.2499999999999,2143.4,54.2444,67.75340000000001,104.128,106.702,0.1373358,0.0112366,11510.2,45.0928,4.50972,10525820000000.0,46.1952,8.316519999999999e+23,3144.0199999999995,61247000000000.0,3.3710200000000003e+22,304.358,54564.8,14.2244
36,X,True,1070.0,5943.76,51.428,59.8038,95.0478,109.65799999999999,0.0839704,-0.00607898,18733.4,46.077600000000004,5.381600000000001,24796600000000.0,46.7664,4.3784e+24,11668.0,213300000000000.0,1.2868599999999998e+23,198.964,472392.0,4.5414,1123.0,5973.76,51.2318,59.411199999999994,95.0924,108.66399999999999,0.12111000000000001,-0.0060586,18124.6,45.8848,5.3796,24301000000000.0,46.3618,4.4623999999999996e+24,11590.0,219224000000000.0,1.32476e+23,198.19,531198.0,4.43768,1033.3439999999998,6023.82,51.1576,58.260400000000004,93.9032,106.434,0.12597799999999998,-0.005337400000000001,17584.6,45.7208,5.420419999999999,19713000000000.0,46.034400000000005,4.52128e+24,11417.8,219064000000000.0,1.34892e+23,198.868,580356.0,4.441280000000001,989.0279999999999,6055.119999999999,51.2586,58.903200000000005,94.29339999999999,106.91,0.14935199999999998,-0.005227899999999999,18091.4,45.7476,5.4384,16930000000000.0,46.3996,4.5466e+24,11350.2,214498000000000.0,1.34114e+23,202.022,573866.0,4.499619999999999
38,X,True,722.1659999999999,7044.56,53.125800000000005,58.181799999999996,95.9836,105.76999999999998,0.040825200000000006,-0.0034141199999999997,18375.6,47.8422,5.3532399999999996,14228200000000.0,50.7676,5.16218e+24,12347.8,228032000000000.0,1.5038800000000001e+23,265.67199999999997,661538.0,5.5285400000000005,706.5866666666667,7056.166666666667,52.41766666666667,56.26500000000001,94.95966666666665,105.07666666666667,0.10024466666666669,-0.003199733333333333,17790.333333333332,47.299,5.384066666666667,16235666666666.666,49.57266666666667,5.214133333333333e+24,12401.333333333334,232790000000000.0,1.5444666666666665e+23,267.43,575686.6666666666,5.5813999999999995,742.444,7052.58,52.275400000000005,55.19199999999999,93.9552,103.49600000000001,0.12679800000000002,-0.0031892199999999996,17060.8,47.126400000000004,5.404159999999999,15703000000000.0,49.15999999999999,5.275000000000001e+24,12533.8,239424000000000.0,1.5739600000000002e+23,268.094,650160.0,5.58802,808.9380000000001,7007.32,52.3738,56.1222,93.9764,102.87,0.10371579999999998,-0.00352018,17266.0,47.1072,5.38396,16467600000000.0,49.395399999999995,5.270579999999999e+24,12278.6,236388000000000.0,1.56364e+23,268.07399999999996,630900.0,5.56792
